strategy,subset,betas,sample,observations,gross_bps,cost_bps,net_bps,turnover,trades,max_drawdown_bps,tstat_style
enhanced_sparse_actual_bidask_boundary_cost,NVDA AVGO AMD ORCL,NVDA:0.235100 AVGO:0.072300 AMD:0.076600 ORCL:0.062600,test,16199,11.692560222484353,29.01402625288524,-17.321466030400877,3.0,3,-80.90624522947479,-0.23452184476521998
enhanced_sparse_actual_bidask_boundary_cost,NVDA AVGO AMD ORCL,NVDA:0.235100 AVGO:0.072300 AMD:0.076600 ORCL:0.062600,train,77434,76.49756725474886,669.9173416395485,-593.4197743847996,36.0,36,-639.5614213662905,-1.758267518223149
