month,horizon_min,alpha_ic_corr,direction_accuracy,low_signal_future_bps,high_signal_future_bps,contrarian_decile_edge_bps,obs
2025-11,5,-0.010780816133450234,0.4720081430856478,-0.47554049180944885,0.7354472909876101,-1.210987782797059,6877
2025-11,15,-0.04120776830018574,0.45542780349410183,-3.086483079033947,2.6748540287883342,-5.761337107822281,6697
2025-11,30,-0.07254417870591702,0.4457756340438774,-5.879720702065691,5.715017855809178,-11.59473855787487,6427
2025-11,60,-0.10468921924075801,0.4447086801426873,-10.396862254057181,9.606781656709817,-20.003643910766996,5887
2025-12,5,-0.010548874109293244,0.47056019070321814,0.06166056680526133,0.4615852869563253,-0.39992472015106395,8390
2025-12,15,-0.019404023615339917,0.45299877600979194,-0.0027474789563257844,1.2580993083976177,-1.2608467873539435,8170
2025-12,30,-0.021049585315660847,0.44221938775510206,0.03935802192733136,2.0933761498942216,-2.05401812796689,7840
2025-12,60,-0.036677162185447566,0.4309192200557103,-1.639346749201987,5.848195119659832,-7.487541868861819,7180
2026-01,5,-0.031348854254026885,0.4875472682227148,-1.4859918157532064,0.4107410898245242,-1.8967329055777307,7669
2026-01,15,-0.06516564663762961,0.4866782701834248,-5.534402913508322,1.3813068569160438,-6.915709770424366,7469
2026-01,30,-0.1121083151800649,0.47133491421397683,-11.718254274570407,2.1363762146829606,-13.854630489253367,7169
2026-01,60,-0.1591165268012343,0.45684274623230325,-21.017706642581434,4.15629362943288,-25.174000272014315,6569
2026-02,5,0.008633202355486718,0.4874724669603524,-1.759195558233767,0.1982696805521756,-1.9574652387859426,7264
2026-02,15,0.0007079483437720541,0.48968052021487135,-6.3343507564129835,0.5560219589612215,-6.890372715374205,7074
2026-02,30,-0.006088203899625883,0.48652231551038444,-10.774724100175206,1.5330851972936506,-12.307809297468857,6789
2026-02,60,0.0035315663754651103,0.4944524843222383,-14.419936507559019,2.527186333708812,-16.94712284126783,6219
2026-03,5,0.027760113575336372,0.5004167162757471,3.1493850135625387,-0.8393611342994196,3.988746147861958,8399
2026-03,15,0.04500831298338868,0.4948037657415332,8.856044284678285,-2.259912790610611,11.115957075288897,8179
2026-03,30,0.07260528608377426,0.4939482736654351,17.81281112034163,-4.400850708384764,22.213661828726394,7849
2026-03,60,0.1003256996752563,0.493392683266101,34.312273383459875,-13.02467729944191,47.33695068290179,7189
2026-04,5,0.029504586890933267,0.4535057185479861,0.21698639854288684,-0.551673122499906,0.7686595210427928,8044
2026-04,15,0.037720049283860545,0.434643860097013,-0.49309139813310254,-1.1450619448155614,0.6519705466824589,7834
2026-04,30,0.03534863756793962,0.4000531985636388,-0.9898307300504936,0.7400889942663614,-1.7299197243168551,7519
2026-04,60,0.05756411847142645,0.39454202351574974,1.751398840802541,5.17821225513984,-3.4268134143372992,6889
