stock,pair,spread_type,beta_return,alpha_price,beta_price,train_adf_p,train_half_life_minutes,ou_phi,ou_mu,ou_sigma_eq,ou_half_life_minutes,train_spread_std_bps
PLTR,XLK-PLTR,cum_residual_return,0.21118073685783995,7.689939205644624,-0.4745342573093263,0.0727941290443891,743.7147313195833,0.999068427391892,-0.026025649242425265,0.01205351979781287,743.7147313215341,125.8894806878261
ADI,XLK-ADI,price_regression_residual,0.15741618612685035,20.569828419171643,-2.7383081838850405,0.1835589311462857,1411.7679804911777,0.9995091423959659,0.0018161960259705284,0.17916373297633376,1411.7679804934135,1786.1926232705814
AMAT,XLK-AMAT,price_regression_residual,0.17272873908982198,15.934144821621667,-1.914983934028639,0.28057498916410845,1966.9940136103223,0.9996476730171155,-0.0183846458970905,0.22113321518588597,1966.9940135929642,2280.6130887081135
KLAC,XLK-KLAC,price_regression_residual,0.14045585379464928,19.203102776852464,-1.9516313590647152,0.29502385547543214,2271.5955942020255,0.9996949098506972,-0.06350157171855782,0.23441495530898854,2271.5955942136,2553.1582913999478
ORCL,XLK-ORCL,price_regression_residual,0.13645728829860154,-6.8459752997311085,2.276107286849712,0.2993418122557251,1701.7949636185328,0.9995927793571644,0.0336909704241493,0.23732149955095078,1701.7949636185328,2342.4851683836855
QCOM,XLK-QCOM,cum_residual_return,0.1627429976048066,2.7634948075232786,0.4813826966854131,0.30400970272880773,1107.7603590287088,0.9993744762914589,-0.021413575140201695,0.01642595498718988,1107.7603590283152,154.36718085462388
LRCX,XLK-LRCX,price_regression_residual,0.19254569136264268,12.481353016994472,-1.3991483721688684,0.33721116587044986,2534.632719310727,0.9997265669277146,-0.03431172019097864,0.23060614954136538,2534.63271932102,2466.681642556169
INTC,XLK-INTC,price_regression_residual,0.21251351062731796,10.017831039115352,-1.2951271835410039,0.365441729982412,3068.255778057629,0.9997741163245751,-0.10847533322167545,0.25517965518576635,3068.2557780787442,2952.9563612992556
AMD,XLK-AMD,cum_residual_return,0.1773022329256311,-0.5986188339855105,1.0765741895323442,0.3884068556400462,1045.4433531695056,0.9993372023028331,-0.01835592009045728,0.014784045123234436,1045.4433531691552,141.73068786603923
TXN,XLK-TXN,price_regression_residual,0.14152022034935785,21.36972142468858,-3.1166978035567894,0.3918539008078906,1802.2053893579237,0.9996154634172741,0.016523410715024053,0.21845811186690392,1802.2053893558418,2077.659728063342
AAPL,XLK-AAPL,price_regression_residual,0.14843544609461964,-17.46793294486632,4.05919340457234,0.3945003496646493,2669.060853189581,0.9997403366868198,-0.10031832700153205,0.2679465987753312,2669.060853187298,2983.1567015820983
