control,train_net_bps,test_net_bps,avg_pos_test
selected,-477.3329568124908,-852.4289967131025,-0.13885220314563573
sign_flip,-1041.529871088203,248.07264771738454,0.13885220314563573
active_always_long,-1282.2904754955448,87.34920822446881,0.8060391403529835
active_always_short,-236.5723524051489,-691.7055572201866,-0.8060391403529835
circular_shift_mean,,-459.1778272933939,
circular_shift_p95,,1057.1773344771018,
selected_vs_circular_pvalue,,0.667,
