pair,stock,beta,entry_z,exit_z,max_holding_minutes,stop_z,sample,execution_model,gross_bps,cost_bps,net_bps,num_trades,turnover,win_rate,avg_holding_minutes,max_drawdown_bps,sharpe_or_tstat
XLK-AAPL,AAPL,0.027742057074438543,2.5,1.25,-1,-1.0,validation,actual_bidask_fills,334.80306130239336,55.148174576586925,279.6548867258064,4,8.0,0.75,201.5,-112.3743386865339,1.0551328732556813
XLK-AAPL,AAPL,0.027742057074438543,2.5,1.25,-1,-1.0,test,actual_bidask_fills,358.55652300338824,667.1172293751671,-308.5607063717788,14,28.0,0.35714285714285715,128.07142857142858,-428.35950796013657,-1.0051833203923584
XLK-AAPL,AAPL,0.027742057074438543,2.5,1.25,-1,3.5,validation,actual_bidask_fills,353.97877787548106,58.490163965059224,295.4886139104218,7,14.0,0.7142857142857143,114.71428571428571,-101.0178453026267,1.1498040143533304
XLK-AAPL,AAPL,0.027742057074438543,2.5,1.25,-1,3.5,test,actual_bidask_fills,-136.90207712078183,1144.8412740346114,-1281.7433511553934,19,38.0,0.2631578947368421,89.84210526315789,-1281.7433511553934,-1.3964323731021393
XLK-AAPL,AAPL,0.027742057074438543,2.5,1.25,-1,4.0,validation,actual_bidask_fills,334.80306130239336,55.148174576586925,279.6548867258064,4,8.0,0.75,201.5,-112.3743386865339,1.0551328732556813
XLK-AAPL,AAPL,0.027742057074438543,2.5,1.25,-1,4.0,test,actual_bidask_fills,51.847139614569215,996.4657246555753,-944.6185850410061,15,30.0,0.3333333333333333,119.46666666666667,-1064.4173866293638,-1.0906149413715205
XLK-AAPL,AAPL,0.027742057074438543,2.5,1.25,-1,4.5,validation,actual_bidask_fills,334.80306130239336,55.148174576586925,279.6548867258064,4,8.0,0.75,201.5,-112.3743386865339,1.0551328732556813
XLK-AAPL,AAPL,0.027742057074438543,2.5,1.25,-1,4.5,test,actual_bidask_fills,358.55652300338824,667.1172293751671,-308.5607063717788,14,28.0,0.35714285714285715,128.07142857142858,-428.35950796013657,-1.0051833203923584
XLK-AAPL,AAPL,0.027742057074438543,2.5,1.25,-1,5.0,validation,actual_bidask_fills,334.80306130239336,55.148174576586925,279.6548867258064,4,8.0,0.75,201.5,-112.3743386865339,1.0551328732556813
XLK-AAPL,AAPL,0.027742057074438543,2.5,1.25,-1,5.0,test,actual_bidask_fills,358.55652300338824,667.1172293751671,-308.5607063717788,14,28.0,0.35714285714285715,128.07142857142858,-428.35950796013657,-1.0051833203923584
XLK-AMD,AMD,0.038143897640087764,2.0,1.25,240,-1.0,validation,actual_bidask_fills,708.9679196126131,442.1266868801954,266.84123273241767,14,28.0,0.7142857142857143,102.35714285714286,-208.91951285366696,0.9294139515709461
XLK-AMD,AMD,0.038143897640087764,2.0,1.25,240,-1.0,test,actual_bidask_fills,909.0484577721191,1453.1121026971582,-544.0636449250392,31,62.0,0.3870967741935484,94.0,-573.9111230533123,-1.4990159821581557
XLK-AMD,AMD,0.038143897640087764,2.0,1.25,240,3.5,validation,actual_bidask_fills,683.017043207661,486.33443241335783,196.68261079430317,21,42.0,0.5714285714285714,67.9047619047619,-249.91340647599003,0.8522707580971558
