month,gross_bps,cost_bps,net_bps,trades,avg_abs_position,long_gross_bps,short_gross_bps,long_minutes,short_minutes
2025-05,-454.10506274045304,215.033084895309,-669.138147635762,66,0.7964233219010289,126.30580649534373,-580.4108692357968,3094,3408
2025-06,26.49732964960627,237.25696507242606,-210.75963542281977,76,0.9412294238683128,153.8751270084848,-127.37779735887855,384,6935
2025-07,37.457257548947354,246.49873594265054,-209.04147839370313,82,0.9173974875562929,0.0,37.457257548947354,0,7741
2025-08,100.10513118720255,168.66393071504186,-68.55879952783934,60,0.7138121546961326,46.38344861393584,53.721682573266705,3386,2428
2025-09,195.41724321366695,161.28341209038388,34.13383112328304,68,0.8011049723756906,281.7297604241187,-86.31251721045174,1922,4603
2025-10,456.81944215039573,273.97404018004386,182.84540197035182,86,0.9274373881932021,61.690471556898885,395.12897059349683,317,7978
2025-11,12.463530508890486,353.5225755403694,-341.05904503147906,62,0.7929862715780889,-90.1337261475188,102.59725665640929,3062,2772
2025-12,-961.782558096882,285.36605242401316,-1247.1486105208949,84,0.9492941176470588,-567.9372254147363,-393.8453326821456,4643,3426
2026-01,-22.723235542825293,144.01277767073785,-166.7360132135631,58,0.7208134895095893,-171.26362659981353,148.54039105698826,627,4973
2026-02,167.88893502573288,143.34661994680297,24.542315078929825,70,0.9122163337409974,-29.75409520487915,197.64303023061203,3852,2861
2026-03,156.5678691378469,188.97238171266886,-32.40451257482201,76,0.8534492889881302,101.56600717325048,55.00186196459644,4216,3046
2026-04,-724.1592451693534,138.19526455258017,-862.3545097219337,75,0.9117683151306909,126.88178749550971,-851.0410326648632,1010,6420
