entry_bps,0,10,15,20,25,30,40,50,60
20,163.91229768713683,175.54608240095394,150.53582000361703,,,,,,
30,241.29143740365635,312.5774107640908,361.91965170055045,605.2060702369511,386.2632421900616,,,,
40,326.27752542743235,408.1951616901817,512.9520202359922,744.8644520841357,573.0163922869765,374.06655249928616,,,
50,362.53297068954373,361.9500536527262,515.6044463987278,682.4157653283364,595.993213531537,467.19203894834453,362.9649128436534,,
60,435.05496035623,356.9090072699856,549.7562741626123,634.8995704179177,560.9537234221498,581.2174510104861,474.0062594753211,439.89205687395116,
75,392.40539517873844,314.4426886551053,402.7005501874494,479.71200727283247,456.453918229619,314.19121019153584,324.9190896992908,290.5105933271118,243.6973498639377
100,521.2038572678716,442.5275531561509,446.93116224965814,482.95627012417503,371.3091378450509,262.1602877089735,262.1484381347313,234.1501085841885,234.4484095103907
125,408.8512316953648,326.5025352635696,326.5025352635696,365.4636855409782,251.61442886484164,157.8903124395778,157.87846286533556,105.42367582989355,72.54253346407228
150,-23.877090691576537,-36.760204279929624,-36.760204279929624,-43.21594778098986,-84.15390134310488,-84.15390134310488,-84.16575091734705,-90.66419177314788,-99.14566388688098
