subset,k,betas,sum_beta,train_adf_p,train_half_life_minutes,train_std_bps,train_avg_oneway_cost_bps,score
NVDA CSCO PLTR,3,NVDA:0.2437 CSCO:0.2036 PLTR:0.0893,0.5365975682195344,0.9289906950394342,11422.13926275479,300.05259937529934,3.0345591911562275,6.700751510239954
NVDA AAPL MU AMAT,4,NVDA:0.2491 AAPL:0.0816 MU:0.0868 AMAT:0.0657,0.4831672943682221,0.9289989968081744,11388.533679854741,320.25615679205544,3.948610578422807,6.702238048304002
NVDA AAPL AMD CSCO AMAT,5,NVDA:0.2297 AAPL:0.0708 AMD:0.0714 CSCO:0.1881 AMAT:0.0608,0.6208840811838076,0.9454094245328091,11357.091502613723,303.6624302603547,4.017406517408071,6.704303306187832
AVGO AMD CSCO AMAT,4,AVGO:0.0957 AMD:0.1020 CSCO:0.2306 AMAT:0.0797,0.5079558511487576,0.9552898520323512,11328.962171731637,312.96747187955975,4.532393033721695,6.710418798572603
AAPL AMD PLTR LRCX AMAT,5,AAPL:0.0834 AMD:0.0886 PLTR:0.1083 LRCX:0.0968 AMAT:0.0668,0.4439233962821236,0.9119730863381172,11432.83137277125,338.18174366883545,4.579245577489481,6.719973684273532
NVDA CSCO LRCX AMAT ORCL,5,NVDA:0.2342 CSCO:0.1868 LRCX:0.0805 AMAT:0.0528 ORCL:0.0604,0.6146423992469489,0.9541941138714187,11399.759701411313,303.2383296642726,4.209958082825763,6.73827312623359
MU LRCX ORCL,3,MU:0.1135 LRCX:0.1210 ORCL:0.0875,0.32198868276157555,0.9128888317020947,11489.611086182378,344.053486281421,4.041382445939591,6.7385220237120755
AAPL AMD INTC PLTR,4,AAPL:0.0834 AMD:0.0875 INTC:0.1199 PLTR:0.1075,0.39831236348153926,0.8701859251877747,11608.999176203672,334.7442488973832,3.4738613871084687,6.744162741031779
AAPL AVGO INTC,3,AAPL:0.0965 AVGO:0.1126 INTC:0.1519,0.36091672249742096,0.905986367183391,11537.158196297722,322.45406037236137,3.5037245285907894,6.744639955904067
NVDA MSFT AMD CSCO LRCX,5,NVDA:0.2240 MSFT:0.0537 AMD:0.0677 CSCO:0.1855 LRCX:0.0820,0.6129482296383797,0.9339478438394324,11468.798690242924,311.1660878315995,3.922403770037091,6.746795264361635
NVDA AVGO MU INTC AMAT,5,NVDA:0.2138 AVGO:0.0640 MU:0.0660 INTC:0.0914 AMAT:0.0510,0.4862131664483053,0.9120683813804265,11539.599021363812,317.5391221515124,4.031815483557512,6.762504201733483
NVDA AVGO MU CSCO,4,NVDA:0.2302 AVGO:0.0671 MU:0.0785 CSCO:0.1929,0.5687412985125329,0.9504261671157215,11503.860499115335,300.22581422725847,3.6889054780043526,6.776134526233476
AAPL MSFT AMD LRCX AMAT,5,AAPL:0.0905 MSFT:0.0703 AMD:0.1045 LRCX:0.1100 AMAT:0.0752,0.45059291398964824,0.9110561152648766,11553.87207836091,348.9391858024191,4.867715340826316,6.785346461261857
NVDA AAPL MU LRCX,4,NVDA:0.2418 AAPL:0.0797 MU:0.0803 LRCX:0.0861,0.4880305924162345,0.9125664741622987,11609.904647577936,328.98983099951937,3.735965343538992,6.792238104822046
MU AMD CSCO PLTR ORCL,5,MU:0.0865 AMD:0.0814 CSCO:0.1932 PLTR:0.0943 ORCL:0.0620,0.5173053583727255,0.9470527227547886,11564.90238524073,309.74244595064835,4.1228878974938095,6.81196167332503
NVDA AAPL MU PLTR LRCX,5,NVDA:0.2098 AAPL:0.0734 MU:0.0706 PLTR:0.0810 LRCX:0.0778,0.5127056942849996,0.9115509929746902,11656.475998140015,323.49557523526937,3.8832248258845534,6.817453488562389
NVDA AAPL AMD CSCO LRCX,5,NVDA:0.2228 AAPL:0.0694 AMD:0.0673 CSCO:0.1816 LRCX:0.0810,0.6220357495407303,0.9385203438114915,11609.375368199138,309.544451480112,3.8328757677113137,6.819865543265287
NVDA AAPL MU AMD INTC,5,NVDA:0.2113 AAPL:0.0735 MU:0.0681 AMD:0.0604 INTC:0.0877,0.5009828775039964,0.8992408639733476,11708.752544837856,321.47849552673426,3.6044178712106354,6.825705493816489
AAPL AVGO AMD CSCO LRCX,5,AAPL:0.0800 AVGO:0.0884 AMD:0.0925 CSCO:0.2087 LRCX:0.1003,0.5699434487695514,0.9566825780629452,11586.984413298906,313.3270409844228,4.487851576661968,6.839931816245637
NVDA AVGO MU INTC LRCX,5,NVDA:0.2095 AVGO:0.0621 MU:0.0617 INTC:0.0876 LRCX:0.0678,0.48878101977989163,0.8927030448245699,11746.098245154397,326.8206842179642,3.8607394754540727,6.84296695691085
MSFT AVGO MU PLTR AMAT,5,MSFT:0.0638 AVGO:0.0845 MU:0.0959 PLTR:0.1077 AMAT:0.0752,0.42712284865982075,0.9441552304726177,11605.295247006152,322.51915681541766,4.8676124099311355,6.844155102174317
