strategy,family,signal_view,hedge_method,subset,betas,threshold_mode,center_mode,entry,exit_band,hedge_fraction,orientation,cost_gate_mult,center_window,trade_start,trade_end,max_hold_minutes,train_observations,train_trades,train_avg_abs_position,train_gross_bps,train_cost_bps,train_net_bps,train_sharpe_ann,train_max_drawdown_bps,train_long_gross_bps,train_short_gross_bps,test_observations,test_trades,test_avg_abs_position,test_gross_bps,test_cost_bps,test_net_bps,test_sharpe_ann,test_max_drawdown_bps,test_long_gross_bps,test_short_gross_bps,fold_median_net_bps,fold_min_net_bps,fold_std_net_bps,fold_positive_rate,train_month_positive_rate,train_month_min_net_bps,train_month_median_net_bps,base_train_selection_score,family_median_train_net_bps,family_mean_train_net_bps,family_std_train_net_bps,family_positive_rate,family_rule_count,final_train_selection_score
xlk_only_timing_mid_ridge_pos_k5_fixed_bps_mean_e50_x25_h0_flip_nogate_cw1950_mh180,xlk_only_timing,mid,ridge_pos,NVDA AAPL MSFT AVGO MU,NVDA:0.25435 AAPL:0.07600 MSFT:0.05793 AVGO:0.06934 MU:0.08301,fixed_bps,mean,50.0,25.0,0.0,-1,0.0,1950,09:35,15:45,180,77434,20622.0,0.13315856083890798,-1224.5460891155612,37213.737919339095,-38438.28400845466,-47.738430990304835,-38438.284008454306,-797.4463758054374,-427.099713310124,16199,8920.0,0.27532563738502375,-425.9639189449782,14229.805974829342,-14655.769893774319,-65.10565659263622,-14660.016359315105,7.219160101694655,-433.18307904667284,-9836.746412890976,-14041.841489389795,4561.3131614634485,0.0,0.0,-6705.404913124806,-4321.260956825455,-inf,-38438.28400845466,-38438.28400845466,0.0,0.0,1,-1000000021141.0562
xlk_only_timing_micro_conf_0.5_ridge_pos_k5_fixed_bps_mean_e50_x25_h0_flip_nogate_cw1950_mh180,xlk_only_timing,micro_conf_0.5,ridge_pos,NVDA AAPL MSFT AVGO MU,NVDA:0.25398 AAPL:0.07658 MSFT:0.05803 AVGO:0.06975 MU:0.08316,fixed_bps,mean,50.0,25.0,0.0,-1,0.0,1950,09:35,15:45,180,77434,20504.0,0.1323966216390733,-1475.005729108716,37048.22479776777,-38523.23052687648,-47.92412199247744,-38523.230526876156,-779.1278834494353,-695.8778456592806,16199,8822.0,0.27230075930613,-181.62734525636992,14045.226960296788,-14226.854305553159,-63.98146348086628,-14231.10077109396,-7.951891393433996,-173.6754538629359,-9662.503660028518,-14404.125673155027,4624.516631630713,0.0,0.0,-6740.382453287225,-4433.917544013497,-inf,-38523.23052687648,-38523.23052687648,0.0,0.0,1,-1000000021187.7767
xlk_only_timing_micro_shrink_0.5_ridge_pos_k5_fixed_bps_mean_e50_x25_h0_flip_nogate_cw1950_mh180,xlk_only_timing,micro_shrink_0.5,ridge_pos,NVDA AAPL MSFT AVGO MU,NVDA:0.24723 AAPL:0.07882 MSFT:0.05988 AVGO:0.07164 MU:0.08406,fixed_bps,mean,50.0,25.0,0.0,-1,0.0,1950,09:35,15:45,180,77434,20332.0,0.13128599839863625,-1603.9111855836552,36943.809981405764,-38547.72116698942,-47.65390273630129,-38557.4510398534,-705.3116363542689,-898.5995492293863,16199,8754.0,0.2702018643126119,-225.48518046042966,13935.59026270613,-14161.07544316656,-64.3648734308922,-14165.321908707352,-4.729511030365785,-220.75566943006385,-9651.700252666566,-14382.370183701618,4569.886729081012,0.0,0.0,-6587.701610659693,-4445.7256640241685,-inf,-38547.72116698942,-38547.72116698942,0.0,0.0,1,-1000000021201.2466
xlk_only_timing_micro_shrink_0.5_ridge_pos_k4_fixed_bps_mean_e50_x25_h0_flip_nogate_cw1950_mh180,xlk_only_timing,micro_shrink_0.5,ridge_pos,NVDA AAPL MSFT AVGO,NVDA:0.28038 AAPL:0.08404 MSFT:0.06376 AVGO:0.08479,fixed_bps,mean,50.0,25.0,0.0,-1,0.0,1950,09:35,15:45,180,77434,26148.0,0.16884056099387865,-1326.7085807030733,45614.60418452482,-46941.3127652279,-54.10013470806373,-46951.04263809245,-940.9870912657325,-385.72148943734067,16199,8838.0,0.2727946169516637,-476.6479756048003,13847.55928707737,-14324.20726268217,-64.86584514236522,-14328.45372822295,-287.1356083920151,-189.5123672127852,-11877.69917292182,-16158.544660199683,5048.930951388234,0.0,0.0,-9443.538496614989,-4473.467506475216,-inf,-46941.3127652279,-46941.3127652279,0.0,0.0,1,-1000000025817.722
xlk_only_timing_micro_conf_0.5_ridge_pos_k4_fixed_bps_mean_e50_x25_h0_flip_nogate_cw1950_mh180,xlk_only_timing,micro_conf_0.5,ridge_pos,NVDA AAPL MSFT AVGO,NVDA:0.28764 AAPL:0.08170 MSFT:0.06178 AVGO:0.08251,fixed_bps,mean,50.0,25.0,0.0,-1,0.0,1950,09:35,15:45,180,77434,26218.0,0.16929255882428906,-1355.3761181485058,45724.09653347917,-47079.47265162767,-54.233183291712734,-47089.20252449214,-766.0734407495529,-589.3026773989529,16199,8948.0,0.2761898882647077,-611.6706601916188,14019.202854687757,-14630.873514879377,-65.80285468058837,-14635.119980420164,-294.030755372301,-317.6399048193179,-11827.377475623365,-16253.997449280547,4940.471679427515,0.0,0.0,-9216.065576352281,-4617.587217767417,-inf,-47079.47265162767,-47079.47265162767,0.0,0.0,1,-1000000025893.71
xlk_only_timing_mid_ridge_pos_k4_fixed_bps_mean_e50_x25_h0_flip_nogate_cw1950_mh180,xlk_only_timing,mid,ridge_pos,NVDA AAPL MSFT AVGO,NVDA:0.28804 AAPL:0.08111 MSFT:0.06166 AVGO:0.08202,fixed_bps,mean,50.0,25.0,0.0,-1,0.0,1950,09:35,15:45,180,77434,26406.0,0.17050649585453417,-1554.6868542254267,45976.61731789358,-47531.304172119,-54.62079014791254,-47541.03404498328,-863.6219976156223,-691.0648566098043,16199,9006.0,0.27798012222976726,-748.8233609931516,14164.599041185855,-14913.422402179001,-66.64199678532732,-14917.668867719798,-278.17398875766844,-470.6493722354832,-11943.215276743911,-16234.905910072526,4837.738821447606,0.0,0.0,-9140.39812069525,-4660.285139172455,-inf,-47531.304172119,-47531.304172119,0.0,0.0,1,-1000000026142.2173
xlk_only_timing_micro_conf_0.5_ridge_pos_k3_fixed_bps_mean_e50_x25_h0_flip_nogate_cw1950_mh180,xlk_only_timing,micro_conf_0.5,ridge_pos,NVDA AMD PLTR,NVDA:0.25318 AMD:0.07448 PLTR:0.09052,fixed_bps,mean,50.0,25.0,0.0,-1,0.0,1950,09:35,15:45,180,77434,27334.0,0.17649869566340368,-1066.0590915927148,48168.59475408474,-49234.65384567746,-56.5040880578775,-49244.383718542216,-1648.1664114430216,582.1073198503068,16199,10030.0,0.3095870115439225,37.26344851318508,15697.520784404542,-15660.25733589136,-67.74527302393975,-15663.246721586907,85.32054885386664,-48.05710034068156,-13140.267560531021,-15695.016325270777,3904.565178787749,0.0,0.0,-8312.147229065802,-4385.351276893252,-inf,-49234.65384567746,-49234.65384567746,0.0,0.0,1,-1000000027079.0596
xlk_only_timing_mid_ridge_pos_k3_fixed_bps_mean_e50_x25_h0_flip_nogate_cw1950_mh180,xlk_only_timing,mid,ridge_pos,NVDA AMD PLTR,NVDA:0.25353 AMD:0.07431 PLTR:0.09031,fixed_bps,mean,50.0,25.0,0.0,-1,0.0,1950,09:35,15:45,180,77434,27380.0,0.17679572280910194,-1484.3724794508882,48075.579160708316,-49559.951640159205,-56.64341712540105,-49569.68151302409,-1837.5070312137254,353.134551762837,16199,10046.0,0.31008086918945615,10.742262075948972,15714.205796176453,-15703.463534100503,-67.28543415240947,-15709.638054346935,185.35998033269328,-174.61771825674433,-13152.500895877356,-15734.78701476881,3908.121115941448,0.0,0.0,-8397.260239755797,-4539.306652860362,-inf,-49559.951640159205,-49559.951640159205,0.0,0.0,1,-1000000027257.9734
xlk_only_timing_micro_shrink_0.5_ridge_pos_k3_fixed_bps_mean_e50_x25_h0_flip_nogate_cw1950_mh180,xlk_only_timing,micro_shrink_0.5,ridge_pos,NVDA AMD PLTR,NVDA:0.24692 AMD:0.07641 PLTR:0.09067,fixed_bps,mean,50.0,25.0,0.0,-1,0.0,1950,09:35,15:45,180,77434,27644.0,0.1785004003409355,-1038.9201124803815,49003.57450615489,-50042.49461863527,-57.36103306751064,-50052.224491500456,-1230.5317345877852,191.61162210740378,16199,10108.0,0.3119945675658991,447.0695410520964,15791.615985066606,-15344.546444014512,-66.62741308792522,-15347.535829710065,442.6962989578698,4.373242094226626,-13647.741460911166,-15498.216077359302,3837.022310277476,0.0,0.0,-8230.803523661181,-4475.330830902845,-inf,-50042.49461863527,-50042.49461863527,0.0,0.0,1,-1000000027523.3721
xlk_only_timing_micro_shrink_0.5_ridge_pos_k3_fixed_bps_mean_e50_x25_h0_flip_nogate_cw1950_mh180,xlk_only_timing,micro_shrink_0.5,ridge_pos,NVDA AAPL MSFT,NVDA:0.31126 AAPL:0.08876 MSFT:0.06906,fixed_bps,mean,50.0,25.0,0.0,-1,0.0,1950,09:35,15:45,180,77434,29260.0,0.18893509311155307,-1257.5842161428063,52080.87690321157,-53338.461119354375,-58.80835169473584,-53348.19099221936,-1257.5976274963807,0.01341135357435519,16199,9816.0,0.30298166553490957,-322.3847775379429,15722.711430800251,-16045.096208338193,-68.47938373102076,-16049.342673878944,-85.89681610641442,-236.4879614315285,-14332.045591981721,-17279.653197848573,4641.161184088663,0.0,0.0,-9917.817261106551,-5120.175097551615,-inf,-53338.461119354375,-53338.461119354375,0.0,0.0,1,-1000000029336.1536
