strategy,execution_model,latency_min,nov_gross_bps,nov_cost_bps,nov_net_bps,nov_trades,nov_avg_abs_position,dec_gross_bps,dec_cost_bps,dec_net_bps,dec_trades,dec_avg_abs_position,jan_gross_bps,jan_cost_bps,jan_net_bps,jan_trades,jan_avg_abs_position,feb_gross_bps,feb_cost_bps,feb_net_bps,feb_trades,feb_avg_abs_position,mar_gross_bps,mar_cost_bps,mar_net_bps,mar_trades,mar_avg_abs_position,apr_gross_bps,apr_cost_bps,apr_net_bps,apr_trades,apr_avg_abs_position,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_avg_abs_position,train_net_bps,train_trades,train_fold_positive_rate,all_net_bps
micro_shrink_0.75_cw10d_e60_x0_mh240,halfspread,0,-578.9522843899331,326.23090236337026,-905.1831867533033,62,0.805491368764442,-961.782558096882,285.43822117037104,-1247.2207792672532,84,0.9492941176470588,-22.723235542825293,143.97523516309377,-166.69847070591914,58,0.7208134895095893,167.88893502573288,143.35009768798622,24.5388373377467,70,0.9122163337409974,156.5678691378469,189.01300736724212,-32.44513822939526,76,0.8534492889881302,-724.1592451693534,138.18653759818895,-862.3457827675423,75,0.9117683151306909,-567.5913760315066,327.1995449654311,-894.7909209969378,151,0.8819786288870213,-142.15963336817242,128,0.5,-1036.9505543651103
micro_shrink_0.75_cw10d_e60_x0_mh240,exact_bidask,0,-578.9522843899331,326.1610210101816,-905.1133054001148,62,0.805491368764442,-961.782558096882,285.36605242401316,-1247.1486105208949,84,0.9492941176470588,-22.723235542825293,144.01277767073785,-166.7360132135631,58,0.7208134895095893,167.88893502573288,143.34661994680297,24.542315078929825,70,0.9122163337409974,156.5678691378469,188.97238171266886,-32.40451257482201,76,0.8534492889881302,-724.1592451693534,138.19526455258017,-862.3545097219337,75,0.9117683151306909,-567.5913760315066,327.16764626524906,-894.7590222967557,151,0.8819786288870213,-142.19369813463328,128,0.5,-1036.952720431389
micro_shrink_0.75_cw10d_e60_x0_mh240,exact_bidask,1,-790.4729056166104,363.6259338232521,-1154.0988394398623,61,0.805491368764442,-907.0695627097614,319.90224300479633,-1226.9718057145576,84,0.9492941176470588,9.256365113241571,131.0090475603546,-121.75268244711299,58,0.7208134895095893,157.23711326350198,156.26110396716194,0.9760092963400149,70,0.9122163337409974,110.32348711104589,286.8663620080107,-176.54287489696483,76,0.8534492889881302,-752.1941181309267,161.48066319750944,-913.674781328436,76,0.9116456006872009,-641.8706310198808,448.3470252055201,-1090.2176562254008,152,0.8819185976707888,-120.77667315077298,128,0.5,-1210.9943293761737
micro_shrink_0.75_cw10d_e60_x0_mh240,exact_bidask,2,-711.4665924643582,345.6774064376877,-1057.1439989020457,61,0.8034524942231888,-926.6285725356838,247.05239878578163,-1173.6809713214654,84,0.9468235294117647,-89.6361280222191,131.89045672268696,-221.52658474490605,58,0.7191401724803707,85.21241808023383,183.10694135454384,-97.89452327430986,70,0.9099062372604974,280.41636579475335,191.81045332500676,88.60591246974654,76,0.8512163591491362,-652.7124128603301,189.11006718408328,-841.8224800444134,76,0.9094367407043809,-372.2960470655767,380.92052050909007,-753.2165675746669,152,0.8796974426701885,-319.4211080192159,128,0.0,-1072.6376755938827
micro_shrink_0.75_cw10d_e60_x0_mh240,exact_bidask,5,-710.1241571283979,340.99101498828793,-1051.1151721166855,61,0.7973358705994291,-780.2510036364918,233.83902453572833,-1014.0900281722201,84,0.9394117647058824,-109.58781771483572,102.78355616517017,-212.3713738800059,56,0.7141202213927146,64.79138597773826,119.60019894859374,-54.808812970855435,70,0.9029759478189971,175.19169237411703,195.54075334265607,-20.349060968539064,76,0.8445175696321542,-710.1981082505837,156.0811557897307,-866.2792640403144,76,0.902810160755921,-535.0064158764667,351.6219091323868,-886.6283250088535,152,0.8730339776683875,-267.18018685086133,126,0.0,-1153.8085118597148
