symbol,time_bucket,spread_bucket,imb_bucket,obs,buy_bid_fill_prob,sell_ask_fill_prob,buy_passive_markout_cost_bps_median_if_filled,sell_passive_markout_cost_bps_median_if_filled,buy_passive_markout_cost_bps_p75_if_filled,sell_passive_markout_cost_bps_p75_if_filled
AAPL,open30,s_q1,balanced,58,0.8103448275862069,0.7241379310344828,-5.9562587249871815,14.5140921390193,15.274880234242143,24.988172594562528
AAPL,open30,s_q2,ask_heavy,147,0.7074829931972789,0.7755102040816326,3.825386463385104,7.535785221086514,16.86365845572744,27.77362019476195
AAPL,open30,s_q2,balanced,360,0.7138888888888889,0.7416666666666667,5.8407803282531825,9.811616954472981,22.46736160307689,28.93524351835692
AAPL,open30,s_q2,bid_heavy,124,0.717741935483871,0.7096774193548387,4.4760353069665015,5.919131694276462,21.46319801650387,23.439908691810256
AAPL,open30,s_q3,ask_heavy,240,0.6833333333333333,0.6625,6.398571594560032,8.73948213487155,25.390815307119933,26.06425248638178
AAPL,open30,s_q3,balanced,712,0.6741573033707865,0.7008426966292135,6.120040085502027,7.357781822406293,24.20123611305595,32.58710379516449
AAPL,open30,s_q3,bid_heavy,237,0.6751054852320675,0.6877637130801688,5.737936843214364,15.252125067426483,29.78891282499749,33.95807397661878
AAPL,open30,s_q4,ask_heavy,234,0.5512820512820513,0.4700854700854701,8.169508612748384,6.339040159468871,27.84778892080877,32.7635882164176
AAPL,open30,s_q4,balanced,740,0.45,0.46216216216216216,6.127693220003999,7.887125284404828,25.362936043761135,27.21029985775718
AAPL,open30,s_q4,bid_heavy,270,0.44814814814814813,0.5851851851851851,7.225143499378109,6.549064504045686,28.239599077241586,32.70226974263798
AAPL,mid_morning,s_q1,ask_heavy,326,0.7300613496932515,0.7423312883435583,5.0674346871900475,1.0934496124051185,16.294577782977292,10.679019260548822
AAPL,mid_morning,s_q1,balanced,820,0.7378048780487805,0.724390243902439,4.068269435671413,2.916804497234149,16.33578690446273,14.47040442501438
AAPL,mid_morning,s_q1,bid_heavy,384,0.7161458333333334,0.7239583333333334,4.604984435154703,0.8609309935017619,15.207739323937263,12.44225763158467
AAPL,mid_morning,s_q2,ask_heavy,616,0.6883116883116883,0.737012987012987,5.5051989283877205,1.5955905198161051,16.477880881665627,15.656665054569105
AAPL,mid_morning,s_q2,balanced,1575,0.7041269841269842,0.7403174603174603,3.670532961386828,3.72736476167306,15.723873441995206,16.482978843677433
AAPL,mid_morning,s_q2,bid_heavy,668,0.6901197604790419,0.7305389221556886,3.6549707602349684,4.34677651969165,14.896703124387292,16.22073968971584
AAPL,mid_morning,s_q3,ask_heavy,469,0.6396588486140725,0.6481876332622601,4.909073163815034,2.1920797254919253,14.96749539926332,19.01963922192365
AAPL,mid_morning,s_q3,balanced,1808,0.639933628318584,0.6653761061946902,4.606936203147459,2.0188672319476555,17.784705153567657,16.740675367990768
AAPL,mid_morning,s_q3,bid_heavy,545,0.6788990825688074,0.6440366972477064,4.654640011226749,2.736177742107786,17.319359693960013,16.570656338989885
AAPL,mid_morning,s_q4,ask_heavy,608,0.4375,0.26973684210526316,3.4215561808227197,4.362465206167853,18.968059130734165,18.925269488675838
AAPL,mid_morning,s_q4,balanced,1434,0.3688981868898187,0.3793584379358438,2.293402645057804,6.390420996784643,16.490826977493683,19.349014619300736
AAPL,mid_morning,s_q4,bid_heavy,506,0.3142292490118577,0.5197628458498024,1.9270050487536656,3.900590660872179,13.686393557595906,18.67138404454331
AAPL,midday,s_q1,ask_heavy,1265,0.7525691699604743,0.7225296442687748,1.9552268050827164,1.9975911643128774,10.629872764798815,9.925848482098441
AAPL,midday,s_q1,balanced,2818,0.7200141944641589,0.7264017033356991,2.8527414845662364,2.3917723032787364,10.968993007267002,10.259217635606715
AAPL,midday,s_q1,bid_heavy,1322,0.7170953101361573,0.7337367624810892,2.0620985310612188,2.7466342358278366,10.639964838226136,10.612071327583088
AAPL,midday,s_q2,ask_heavy,1165,0.7261802575107296,0.7072961373390558,2.128841162449275,2.586942038808986,10.672896032564262,11.810883700366277
AAPL,midday,s_q2,balanced,2716,0.6995581737849779,0.7080265095729014,3.239671218498575,2.3575638506865952,12.524740998302224,12.179627998817484
AAPL,midday,s_q2,bid_heavy,1178,0.7147707979626485,0.7139219015280136,2.9585651088797977,2.400605691282024,11.821973852063017,12.235222145751825
AAPL,midday,s_q3,ask_heavy,868,0.6129032258064516,0.5737327188940092,3.3010285117840836,2.7222675248318042,12.628874158463287,12.080624098458374
AAPL,midday,s_q3,balanced,2948,0.5980325644504749,0.6241519674355496,2.6861983130690876,2.9189565715366754,11.560129763938843,12.14739993950903
AAPL,midday,s_q3,bid_heavy,818,0.6124694376528117,0.5880195599022005,2.624573506804888,2.14861235452112,12.17038539553694,11.770200840728547
AAPL,midday,s_q4,ask_heavy,1126,0.33658969804618116,0.28596802841918295,1.4337431449163218,3.1860495812803373,9.998769055429756,11.88788382940189
AAPL,midday,s_q4,balanced,2514,0.27048528241845665,0.28202068416865556,2.8754607948488493,2.5612879619463294,12.160536833404121,12.39204621279743
