pair,beta,ADF p-value,half-life,best validation entry_z,best validation exit_z,best validation max_holding_minutes,best validation stop_z,validation net bps,test net bps,test trades,test max drawdown,avg holding minutes
XLK-ORCL,0.029167841206824113,0.23254097847982264,276.7394620759751,1.0,0.75,240,-1.0,3665.348538020998,10248.71529165738,112,-967.4655705941423,48.705357142857146
XLK-MSFT,0.027740336084809893,0.35971689157350883,357.1156538070021,2.5,1.25,240,-1.0,234.67441604431372,-232.95911623391063,17,-418.6742348936434,105.88235294117646
XLK-AAPL,0.027742057074438543,0.3475142456381095,370.29131229024966,2.5,1.25,-1,-1.0,279.6548867258064,-308.5607063717788,14,-428.35950796013657,128.07142857142858
XLK-CRM,0.010665698752082134,0.30412770531045424,350.8789939947035,2.5,1.25,-1,-1.0,233.62900089613169,-312.7510529663624,14,-430.75290955586706,129.57142857142858
XLK-AVGO,0.03951067233953714,0.3531732403512977,338.73554775298453,2.25,1.25,-1,-1.0,104.11684699677794,-401.0355014566258,19,-468.6390613910518,123.89473684210526
XLK-NVDA,0.1325445975680742,0.45493878711650815,241.14689946228836,2.0,1.0,240,-1.0,337.8791750769583,-483.73274543498826,32,-542.0941899345611,97.03125
XLK-AMD,0.038143897640087764,0.37541369796256774,357.0935644952434,2.0,1.25,240,-1.0,266.84123273241767,-544.0636449250392,31,-573.9111230533123,94.0
XLK-CSCO,0.06311069129999163,0.4875060842118248,357.8415132981589,2.0,1.25,120,-1.0,215.24546987102153,-640.6338857893168,38,-800.6301233899915,80.34210526315789
