control,train_net_bps,test_net_bps,test_trades,test_avg_abs_position
selected,472.5459568673186,-17.72538874632618,10.0,0.033671899045860265
sign_flip,-484.4585672090739,-23.471806642001827,10.0,0.033671899045860265
active_always_long,312.15148020501414,-11.460902069797942,10.0,0.033671899045860265
active_always_short,-324.0640905467695,-29.736293318530063,10.0,0.033671899045860265
circular_shift_mean,,-61.69792028010662,,
circular_shift_p95,,42.759341091251486,,
selected_vs_circular_pvalue,,0.24390243902439024,,
