threshold_pred_bps,train_gross_bps,train_cost_bps,train_net_bps,train_trades,train_avg_abs_position,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_avg_abs_position,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_avg_abs_position
0.5,275.66021600414103,8425.43256228131,-8149.772346277167,4933,0.250560195559177,-26.017231387029938,3651.7130476604884,-3677.7302790475187,2047,0.48287506029908345,-37.39177997941212,8231.380445845236,-8268.77222582465,4516,0.3831510157692854
1.0,266.9050273543405,8392.267302859944,-8125.362275505602,4912,0.24943980444082298,-26.017231387029938,3651.7130476604884,-3677.7302790475187,2047,0.48287506029908345,-37.39177997941212,8231.380445845236,-8268.77222582465,4516,0.3831510157692854
1.5,268.2333923027258,8243.243190126712,-7975.009797823983,4838,0.24399062945610103,-26.017231387029938,3651.7130476604884,-3677.7302790475187,2047,0.48287506029908345,-37.39177997941212,8231.380445845236,-8268.77222582465,4516,0.3831510157692854
2.0,161.80916297956037,7393.9493104128605,-7232.140147433301,4308,0.21649012018741087,-175.03015182327886,3459.881537570494,-3634.9116893937735,1927,0.4573082489146165,-102.32088945805629,7906.060908511942,-8008.38179797,4254,0.36148600653501917
3.0,557.8228270699981,5011.539042957514,-4453.716215887514,2833,0.13821552250967611,-144.20044664437802,2817.800932009932,-2962.0013786543104,1593,0.37015597362920083,-221.81844972155142,6047.437810060334,-6269.256259781886,3312,0.2774541838329308
5.0,588.7579212708438,1959.2611883263899,-1370.503267055546,1140,0.049653697290690565,-109.81284642112676,1684.8553691662519,-1794.6682155873787,986,0.21434314198424184,-101.47271518050616,3027.8068030731197,-3129.279518253626,1782,0.12466259411848274
8.0,280.43377294373784,518.0667565244161,-237.63298358067823,300,0.010236300672234671,109.94567363887597,666.1794932919373,-556.2338196530615,470,0.07718282682103232,-434.09178107403966,633.3232704290945,-1067.415051503134,470,0.02493251882369655
12.0,89.12887866010522,104.02976448021705,-14.900885820111858,42,0.0011203911183540437,-15.71691545391829,197.61369539245254,-213.33061084637083,138,0.01897411159350378,15.844317527848872,63.14434661833672,-47.30002909048786,40,0.0022020173320073874
