month,gross_bps,cost_bps,net_bps,trades,avg_abs_position
2025-05,-392.6963445474474,171.52365807383674,-564.2200026212842,36,0.7747427731504165
2025-06,10.942093745871517,168.37035936972646,-157.42826562385494,40,0.9569187242798354
2025-07,144.51824567453642,197.43905286801305,-52.92080719347663,44,0.8855178952358379
2025-08,65.76865735461013,134.56386541892456,-68.79520806431438,42,0.6915899324739104
2025-09,156.22568692695182,154.45713781040706,1.76854911654473,42,0.8261510128913444
2025-10,374.1692550589093,236.28037914213292,137.8888759167764,48,0.9087656529516994
2025-11,-172.7986085636868,241.5747477320689,-414.3733562957558,46,0.8058991436726927
2025-12,-916.798282894522,169.94973105679466,-1086.7480139513168,46,0.9470588235294117
2026-01,-231.6356109565465,135.57405821347342,-367.2096691700199,44,0.716565838589265
2026-02,96.74324329626671,141.87042428312074,-45.12718098685402,40,0.8821850794944965
2026-03,197.41815414224817,126.35475012983437,71.06340401241376,42,0.8655541191679398
2026-04,-939.9827339719646,108.31975316652576,-1048.3024871384905,41,0.9390109215854706
