entry_bps,exit_bps,period,gross_bps,cost_bps,net_bps,trades
20,0,jan,-39.33970641034179,129.53231693333694,-168.87202334367876,38.0
20,0,feb,109.7440709444264,175.7319036454001,-65.98783270097373,38.0
20,0,mar,383.69439601646957,219.78209832933283,163.91229768713683,43.0
20,10,jan,290.5967624103578,441.61285446886745,-151.01609205850977,92.0
20,10,feb,148.40568470175342,393.02356906843596,-244.61788436668255,94.0
20,10,mar,587.7521943565522,412.2061119555984,175.54608240095394,89.0
20,15,jan,234.43636400903856,502.70393274528175,-268.2675687362433,134.0
20,15,feb,204.1062037308805,555.9210019424178,-351.8147982115373,128.0
20,15,mar,712.621316135662,562.085496132045,150.53582000361703,137.0
20,20,jan,,,,
20,20,feb,,,,
20,20,mar,,,,
20,25,jan,,,,
20,25,feb,,,,
20,25,mar,,,,
20,30,jan,,,,
20,30,feb,,,,
20,30,mar,,,,
20,40,jan,,,,
20,40,feb,,,,
20,40,mar,,,,
20,50,jan,,,,
20,50,feb,,,,
20,50,mar,,,,
20,60,jan,,,,
20,60,feb,,,,
20,60,mar,,,,
30,0,jan,-25.489288683724354,129.5303985923163,-155.01968727604066,38.0
30,0,feb,18.16036392971121,175.36831021612318,-157.20794628641195,38.0
30,0,mar,465.7633204799971,224.47188307634082,241.29143740365635,43.0
30,10,jan,199.45532590194048,255.41492860523846,-55.95960270329791,56.0
30,10,feb,278.7338195956224,296.7848582391202,-18.051038643497815,64.0
30,10,mar,591.0628804440954,278.4854696800046,312.5774107640908,59.0
30,15,jan,195.4300369582196,277.00456919399596,-81.57453223577645,66.0
30,15,feb,282.712932925886,322.98784278641585,-40.27490986052991,70.0
30,15,mar,691.2557527854624,329.33610108491195,361.91965170055045,71.0
30,20,jan,155.7053182034718,338.5346061692569,-182.82928796578514,78.0
30,20,feb,277.2369937009156,311.67044176898946,-34.43344806807393,80.0
30,20,mar,964.118727347234,358.9126571102829,605.2060702369511,103.0
30,25,jan,185.57467581254983,497.7454616466705,-312.1707858341207,124.0
30,25,feb,258.5680603871765,363.70638493492896,-105.13832454775242,122.0
30,25,mar,899.8804981446717,513.6172559546103,386.2632421900616,143.0
30,30,jan,,,,
30,30,feb,,,,
30,30,mar,,,,
30,40,jan,,,,
30,40,feb,,,,
30,40,mar,,,,
30,50,jan,,,,
30,50,feb,,,,
30,50,mar,,,,
30,60,jan,,,,
30,60,feb,,,,
30,60,mar,,,,
40,0,jan,-54.40687639501007,112.72399096266065,-167.13086735767075,36.0
40,0,feb,80.0768505794025,174.30627584287254,-94.22942526347008,38.0
40,0,mar,551.818612438053,225.5410870106207,326.27752542743235,43.0
40,10,jan,130.18347912643335,151.61169495215614,-21.428215825722713,42.0
40,10,feb,408.1244942943041,264.0878471062902,144.03664718801383,56.0
40,10,mar,679.2145193584087,271.01935766822703,408.1951616901817,53.0
40,15,jan,120.2031089350708,159.8999800006335,-39.696871065562696,46.0
40,15,feb,460.7054907965669,290.28183175461965,170.4236590419472,62.0
40,15,mar,821.4148699343848,308.4628496983927,512.9520202359922,59.0
40,20,jan,169.5552723615812,210.6933014651359,-41.138029103554686,54.0
40,20,feb,479.3338100272315,274.66365362708063,204.6701564001509,68.0
40,20,mar,1053.3605271834379,308.4960750993024,744.8644520841357,73.0
40,25,jan,179.4468606702715,231.47994953473548,-52.033088864463984,64.0
40,25,feb,379.12807916669954,252.87214336682345,126.25593579987618,80.0
40,25,mar,942.3106077923204,369.29421550534397,573.0163922869765,81.0
40,30,jan,358.94092853475,371.8731524447058,-12.932223909955816,94.0
40,30,feb,319.6127917925562,316.55790571646486,3.0548860760913272,96.0
40,30,mar,787.8961352097402,413.8295827104542,374.06655249928616,99.0
40,40,jan,,,,
40,40,feb,,,,
40,40,mar,,,,
40,50,jan,,,,
40,50,feb,,,,
40,50,mar,,,,
40,60,jan,,,,
40,60,feb,,,,
40,60,mar,,,,
50,0,jan,-1.2314403289170883,111.36568964619796,-112.59712997511505,32.0
50,0,feb,230.31392874141687,159.48997887223337,70.82394986918351,38.0
50,0,mar,564.2182685330521,201.68529784350847,362.53297068954373,41.0
50,10,jan,204.80960646922063,149.41244120208393,55.39716526713673,36.0
50,10,feb,375.3543741729626,206.26520473412273,169.0891694388398,44.0
50,10,mar,578.1394972360677,216.18944358334133,361.9500536527262,44.0
50,15,jan,272.82074922942104,133.4728929068877,139.34785632253335,38.0
50,15,feb,371.8156464529443,205.91547397823607,165.9001724747082,44.0
50,15,mar,742.7139017261908,227.1094553274629,515.6044463987278,48.0
50,20,jan,271.85751802874415,133.14150010134804,138.7160179273961,38.0
50,20,feb,418.4087177269458,187.81371927607904,230.59499845086665,46.0
50,20,mar,905.7127638564211,223.29699852808457,682.4157653283364,54.0
50,25,jan,287.1849592791076,172.4861973317739,114.6987619473337,44.0
50,25,feb,402.05472825238786,173.00790865075987,229.046819601628,50.0
50,25,mar,870.7429451645155,274.7497316329785,595.993213531537,58.0
50,30,jan,409.6640511407923,195.67526235046248,213.98878879032978,56.0
50,30,feb,313.1530671911076,197.4047704959962,115.74829669511136,54.0
50,30,mar,767.2818963256933,300.0898573773489,467.19203894834453,64.0
50,40,jan,315.161821487937,278.81002925053576,36.35179223740121,84.0
50,40,feb,382.49034283261983,302.36016616257274,80.13017667004702,78.0
50,40,mar,691.2081747137933,328.24326187013986,362.9649128436534,80.0
50,50,jan,,,,
50,50,feb,,,,
50,50,mar,,,,
50,60,jan,,,,
50,60,feb,,,,
50,60,mar,,,,
60,0,jan,-16.22476659624006,102.75732353373489,-118.98209012997495,32.0
60,0,feb,181.2002627950182,162.0620714111926,19.138191383825628,36.0
60,0,mar,650.7051056496139,215.65014529338382,435.05496035623,41.0
60,10,jan,314.64897856122496,114.88845164375593,199.76052691746904,34.0
60,10,feb,275.3469190050151,209.96091364592772,65.38600535908732,38.0
60,10,mar,577.4201008654156,220.51109359543003,356.9090072699856,42.0
60,15,jan,217.63497869470962,101.29434862535284,116.34063006935675,34.0
60,15,feb,296.9895278520163,209.96183103312003,87.0276968188962,38.0
60,15,mar,763.4497653416083,213.69349117899606,549.7562741626123,46.0
60,20,jan,224.91011127180548,100.96408699717277,123.9460242746327,34.0
60,20,feb,368.82123969066424,207.07865006136848,161.7425896292958,40.0
60,20,mar,839.613891512938,204.7143210950203,634.8995704179177,46.0
60,25,jan,193.8215972677071,133.78050282319492,60.041094444512176,36.0
60,25,feb,403.02460279781906,195.48593454755414,207.53866825026495,44.0
60,25,mar,807.633563621959,246.67984019980912,560.9537234221498,48.0
60,30,jan,258.452536989946,126.45582997979128,131.99670701015464,38.0
60,30,feb,354.4587979821312,186.32309774566386,168.1357002364673,46.0
60,30,mar,838.3682410300875,257.1507900196015,581.2174510104861,54.0
60,40,jan,92.24446911613171,149.94660990210997,-57.70214078597829,42.0
60,40,feb,408.9765418336277,244.3562392242281,164.6203026093996,56.0
60,40,mar,740.5119105507474,266.5056510754262,474.0062594753211,58.0
60,50,jan,208.95212174049328,227.94535640518933,-18.993234664696065,62.0
60,50,feb,547.2213008840221,372.10245402695386,175.11884685706812,88.0
60,50,mar,786.5437878969228,346.65173102297166,439.89205687395116,90.0
60,60,jan,,,,
60,60,feb,,,,
60,60,mar,,,,
