strategy,train_scheme,model_name,horizon_min,label_edge_bps,confidence,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_mr_frac,train_trend_frac,validation_mr_frac,validation_trend_frac,test_mr_frac,test_trend_frac,2025_05_gross_bps,2025_05_cost_bps,2025_05_net_bps,2025_05_trades,2025_06_gross_bps,2025_06_cost_bps,2025_06_net_bps,2025_06_trades,2025_07_gross_bps,2025_07_cost_bps,2025_07_net_bps,2025_07_trades,2025_08_gross_bps,2025_08_cost_bps,2025_08_net_bps,2025_08_trades,2025_09_gross_bps,2025_09_cost_bps,2025_09_net_bps,2025_09_trades,2025_10_gross_bps,2025_10_cost_bps,2025_10_net_bps,2025_10_trades,2025_11_gross_bps,2025_11_cost_bps,2025_11_net_bps,2025_11_trades,2025_12_gross_bps,2025_12_cost_bps,2025_12_net_bps,2025_12_trades,2026_01_gross_bps,2026_01_cost_bps,2026_01_net_bps,2026_01_trades,2026_02_gross_bps,2026_02_cost_bps,2026_02_net_bps,2026_02_trades,2026_03_gross_bps,2026_03_cost_bps,2026_03_net_bps,2026_03_trades,2026_04_gross_bps,2026_04_cost_bps,2026_04_net_bps,2026_04_trades,2026_05_gross_bps,2026_05_cost_bps,2026_05_net_bps,2026_05_trades,train_gross_bps,train_cost_bps,train_net_bps,train_trades,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,test_gross_bps,test_cost_bps,test_net_bps,test_trades,validation_always_long_net_bps,validation_always_short_net_bps,test_always_long_net_bps,test_always_short_net_bps,validation_excess_vs_best_directional_bps,test_excess_vs_best_directional_bps,validation_score
recent_1m_rf_depth4_h120_edge10_p0.5,recent_1m,rf_depth4,120,10.0,0.5,0.8628417795008692,0.3622724595145403,0.3759282148022691,0.10207233878234007,0.1487964989059081,0.0,0.03206957467047153,0.06297274582783047,0.06219234001680874,-33.17248928273564,15.872544222423866,-49.045033505159495,8,-35.31661390515417,592.0234907474392,-627.3401046525934,166,-110.81412099206212,330.8544192887002,-441.66854028076233,186,29.450144891871588,2.0934458642709455,27.35669902760064,4,-6.147468112747134,89.4715780133463,-95.61904612609341,126,1.0026172510713138,125.18074973234572,-124.17813248127442,96,-160.8710620984599,323.89103585054255,-484.7620979490025,64,-50.408820493554884,251.07266205736812,-301.48148255092303,92,427.24332201886205,145.39806122512576,281.8452607937363,76,145.07049309875342,30.159262133980075,114.91123096477335,26,-35.93171805385431,223.1440272692325,-259.07574532308684,90,53.969514971203836,434.9112296318049,-380.941714660601,294,0.0,0.0,0.0,0,60.9655092770911,1875.8579870015624,-1814.8924777244713,818,145.07049309875342,30.159262133980075,114.91123096477335,26,18.037796917349525,658.0552569010373,-640.0174599836878,384,-175.22094732710505,114.91123096477335,-668.3306238713075,-647.8421892045217,0.0,7.824729220833888,117.02599245321974
recent_3m_rf_depth2_h30_edge5_p0.4,recent_3m,rf_depth2,30,5.0,0.4,0.45394874123412543,0.3772652949993187,0.36975870798577287,0.06230424109032422,0.12075679336324388,0.0,0.14607963038456312,0.0,0.1712690599111538,93.61792444757988,81.84168712772409,11.776237319855763,58,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.6553187595611547,59.026598016533924,-55.37127925697277,50,-180.49137253856708,45.496701226683385,-225.98807376525045,40,0.0,0.0,0.0,0,380.02832974703085,26.62852501785516,353.3998047291757,30,540.1703327428198,75.59402065649152,464.57631208632824,56,68.87379531316462,18.996252590622888,49.877542722541726,4,126.42822451512714,16.674684966424568,109.75353954870258,16,-26.72279428073132,142.18932248269832,-168.91211676342965,62,-98.51700563960897,24.677655061299248,-123.19466070090822,22,0.0,0.0,0.0,0,905.8543284715892,307.583784635911,598.2705438356782,238,126.42822451512714,16.674684966424568,109.75353954870258,16,-125.23979992034029,166.86697754399754,-292.1067774643378,84,-143.10857982986687,109.75353954870258,-78.99130878077543,-254.75747414564026,0.0,-213.1154686835624,112.69245825037453
recent_1m_rf_depth3_h30_edge10_p0.5,recent_1m,rf_depth3,30,10.0,0.5,0.5758457122465571,0.35650743765800397,0.3344130586735743,0.08147766765349466,0.06358604711031021,0.0,0.02147030846582416,0.0021611237843678715,0.022631768519630207,-38.329544599777776,48.00733167791153,-86.33687627768933,26,0.0,0.0,0.0,0,20.22317700320464,13.995458269895245,6.2277187333093975,22,-84.81043772674113,17.669551559513323,-102.47998928625444,12,-8.882795642275454,3.20660766245517,-12.089403304730626,10,5.7377268487535105,26.834545193176133,-21.096818344422623,16,29.48118561636015,88.1845727183357,-58.703387101975544,38,0.0,0.0,0.0,0,374.50597897959346,140.12865301002978,234.37732596956369,104,188.98983404104007,80.8610384476199,108.1287955934202,50,-152.60482320487156,68.13092688238699,-220.7357500872586,26,-9.568573580827078,42.05187164877312,-51.6204452296002,48,0.0,0.0,0.0,0,297.9252904791174,338.02672009131686,-40.10142961219945,228,188.98983404104007,80.8610384476199,108.1287955934202,50,-162.17339678569863,110.1827985311601,-272.35619531685876,74,-269.8384721598394,108.1287955934202,51.9764863782501,-272.35619531685876,0.0,-324.3326816951089,107.65081804761924
recent_6m_rf_depth3_h60_edge10_p0.4,recent_6m,rf_depth3,60,10.0,0.4,0.48222606314369737,0.383306284756916,0.37911619640633437,0.06508391322144903,0.0651862464183381,0.0,0.2148389726865063,0.016748709328851002,0.1587825669348061,9.261068942514328,181.2807691075577,-172.01970016504336,62,-18.259729846965556,10.280507438816949,-28.540237285782506,4,0.0,0.0,0.0,0,43.71884923785707,70.17829101487841,-26.459441777021315,54,178.5685828675554,55.28643419339928,123.2821486741561,54,329.9951671137968,136.26675148096086,193.72841563283595,102,702.4476838622818,165.2082347480274,537.2394491142542,114,402.4641967637788,143.39732501199632,259.06687175178246,126,122.21105190715065,57.94603437142975,64.26501753572092,32,141.99840132032904,106.92921281053765,35.06918850979137,88,364.2103656953921,287.7531432730508,76.45722242234135,166,52.55188757885776,296.3215972514366,-243.7697096725788,184,0.0,0.0,0.0,0,1770.4068708479692,819.8443473670666,950.5625234809025,548,141.99840132032904,106.92921281053765,35.06918850979137,88,416.7622532742499,584.0747405244873,-167.3124872502375,350,-17.366061253317476,-196.49567833367362,-591.8474094086371,-576.2055661041148,52.43524976310884,408.89307885387734,85.9910404799425
recent_1m_rf_depth4_h30_edge10_p0.5,recent_1m,rf_depth4,30,10.0,0.5,0.684298610797467,0.3635400957116273,0.34000869304233666,0.1050328227571116,0.12202342643840906,0.00013588802826470988,0.025818725370294875,0.00756393324528755,0.005702965542081883,-82.94437148682832,29.73786214082393,-112.68223362765225,10,5.190139755670842,14.50062959272868,-9.310489837057833,24,12.415209752445477,358.00933207184164,-345.5941223193962,190,-83.94979915187228,124.6990370286996,-208.6488361805719,66,-36.0212511361091,12.242162366782692,-48.2634135028918,14,-30.460034027992577,12.82557539738041,-43.28560942537299,10,-62.26273254210213,4.596678904985249,-66.85941144708738,8,44.17778040884279,142.33424031259133,-98.15645990374853,56,617.4557478848897,229.81184153939546,387.64390634549414,130,103.95276352578975,27.127460085927353,76.82530343986241,30,-12.73796834144747,50.81891000493617,-63.55687834638364,20,-1.7213524589987372,58.04337175237369,-59.764724211372425,56,0.0,0.0,0.0,0,383.60068945694434,928.7573593552289,-545.1566698982846,508,103.95276352578975,27.127460085927353,76.82530343986241,30,-14.459320800446207,108.86228175730987,-123.32160255775608,76,-131.0895680467441,76.82530343986241,-94.41468746647766,-123.32160255775608,0.0,-28.90691509127842,79.10433139268231
recent_6m_rf_depth3_h30_edge5_p0.4,recent_6m,rf_depth3,30,5.0,0.4,0.4929783582665896,0.403181632374983,0.42448207282346034,0.09662300450266066,0.08213262382316823,0.03193368664220682,0.19459165647506454,0.03247688798175051,0.18855805018609678,3.452462958639657,244.01256066109502,-240.56009770245538,94,282.31260918436084,546.7080568247039,-264.395447640343,136,42.525116872766944,74.35133531424802,-31.826218441481075,54,239.87180052362334,94.96500222292858,144.9067983006948,78,143.1157887581591,184.48085389747226,-41.36506513931317,130,1011.1382379100764,571.6657445867103,439.47249332336617,278,935.1671187963894,315.315741044329,619.8513777520604,138,549.2745490604456,282.9842599466617,266.29028911378384,156,250.6381910758826,133.98648295502423,116.65170812085834,96,158.23340457309598,197.09623371163346,-38.862829138537485,206,103.26576799004172,596.2579618293955,-492.99219383935383,314,50.71235817021069,245.62948834304882,-194.91713017283814,182,0.0,0.0,0.0,0,3457.4958751403437,2448.470037453173,1009.0258376871712,1160,158.23340457309598,197.09623371163346,-38.862829138537485,206,153.97812616025243,841.8874501724443,-687.909324012192,496,-162.46847823209038,-231.6739598809746,-1128.995651780071,-554.5630024458101,123.6056490935529,-133.3463215663819,78.91982459318359
recent_1m_rf_depth3_h30_edge2.5_p0.4,recent_1m,rf_depth3,30,2.5,0.4,0.722610091181585,0.405722786120708,0.4622135683024666,0.18483717338138755,0.2337495173123954,0.05680119581464873,0.14118766136703356,0.12744627206147197,0.3531036138792172,297.1975615168887,381.2755407740972,-84.07797925720848,110,-236.0233738893047,366.75131870096607,-602.7746925902707,126,-36.35770506383196,198.52081140649977,-234.87851647033173,98,9.630126261468419,139.37561202786057,-129.74548576639214,134,22.783062066507043,215.70841253208084,-192.9253504655738,80,-56.72275304061003,509.4951886140133,-566.2179416546232,324,128.33212446219378,291.420718590557,-163.08859412836318,102,-19.424665791980544,160.03541387405156,-179.46007966603213,78,651.3821776812545,231.10418375587562,420.2779939253789,126,237.80292001748472,157.5811157043591,80.22180431312567,122,-220.78885275369942,404.9294827095591,-625.7183354632587,188,168.38394795479772,678.4052427875162,-510.02129483271847,452,0.0,0.0,0.0,0,760.7965542025852,2493.6872002760015,-1732.8906460734165,1178,237.80292001748472,157.5811157043591,80.22180431312567,122,-52.4049047989017,1083.3347254970754,-1135.739630295977,640,-395.6947012003867,80.51856187370336,-627.6603310334488,-1539.420748375198,-0.29675756057768865,-508.07929926252814,76.10321882853711
recent_1m_rf_depth4_h60_edge5_p0.5,recent_1m,rf_depth4,60,5.0,0.5,0.764284788633713,0.3515840073665209,0.3765152344186502,0.15806410091388853,0.16681683614364784,0.0,0.05462698736241337,0.03655901068555649,0.09058710529475328,104.19602625636237,218.64437017764956,-114.44834392128723,76,-87.98584059517722,409.94358331623965,-497.92942391141696,182,0.29642225461756766,611.6832616236447,-611.3868393690273,402,37.8442734128992,182.3092220425828,-144.46494862968362,96,-29.663395563002126,187.75245323039223,-217.41584879339433,186,-210.62910555500025,312.8210303326277,-523.4501358876279,154,-68.37781709946533,166.86591759392806,-235.24373469339332,50,73.36457527366669,212.77916258259074,-139.41458730892407,114,627.6462571318309,202.79527031804895,424.85098681378196,110,148.1787249905242,64.37713594667747,83.80158904384673,48,-172.95986657493324,232.04475591012908,-405.0046224850623,128,-71.03817715266025,640.698291386636,-711.7364685392963,382,0.0,0.0,0.0,0,446.69139551673175,2505.5942712177043,-2058.902875700973,1370,148.1787249905242,64.37713594667747,83.80158904384673,48,-243.99804372759348,872.7430472967651,-1116.7410910243586,510,-226.74612554465318,97.9963468121468,-687.5429272879571,-1058.1739479926596,-14.194757768300065,-429.1981637364015,69.903814551878
recent_1m_rf_depth4_h30_edge5_p0.4,recent_1m,rf_depth4,30,5.0,0.4,0.7373824466236618,0.3753715797347265,0.40739781874881764,0.2067190114557858,0.21109537907066547,0.03614621551841283,0.09022965076776736,0.09172769840316965,0.279685436426942,171.93918438231924,343.2826997792431,-171.34351539692383,152,-165.29692002031027,306.15958611818485,-471.4565061384951,160,8.544142063851012,244.28081178524909,-235.73666972139807,152,9.776618701682338,295.57575610197466,-285.79913740029235,152,-24.314284290110066,518.6916103423972,-543.0058946325073,424,-24.114707996032436,870.0939493554874,-894.2086573515198,600,-23.007509194057363,266.1519694838585,-289.15947867791584,50,-109.13946897585625,260.3826076077483,-369.5220765836046,148,728.3500183847558,147.64576868076117,580.7042497039946,98,139.65143545398462,71.29389194927596,68.35754350470864,76,-383.17247517996475,201.4463716180934,-584.6188467980583,132,162.7195612520893,196.47775412950332,-33.75819287741401,164,0.0,0.0,0.0,0,572.737073056242,3252.264759254904,-2679.527686198662,1936,139.65143545398462,71.29389194927596,68.35754350470864,76,-220.45291392787547,397.9241257475967,-618.3770396754724,296,-225.12508505256878,82.54203615284655,-140.8024837232909,-655.1061206717013,-14.184492648137905,-477.57455595218147,54.36207205645421
recent_1m_rf_depth3_h30_edge2.5_p0.5,recent_1m,rf_depth3,30,2.5,0.5,0.6283223367369278,0.33586534854205413,0.3429251819411658,0.12305315999485134,0.12742952760973097,0.00040766408479412964,0.002717760565294198,0.014167367030856045,0.018549645815824228,-88.79971086226846,9.12080726778307,-97.92051813005152,6,46.245773193280826,96.28982024918764,-50.0440470559068,68,99.555718335127,354.8039795512721,-255.24826121614507,270,-72.90889731285333,98.86246178585661,-171.77135909870995,80,71.60737490099045,94.03472705819102,-22.427352157200577,128,-34.81325813174507,206.3628944757002,-241.1761526074453,120,3.4615377444069395,108.44851508156079,-104.98697733715383,74,14.765590511061077,119.19809197117377,-104.43250146011266,58,535.8080278348255,274.7093630933452,261.09866474148026,150,46.43709355791614,18.29701239806434,28.140081159851803,28,-79.07969343579957,56.967672352637585,-136.04736578843716,20,-100.25454080425433,129.36687039189624,-229.6214111961506,102,0.0,0.0,0.0,0,574.9221562128248,1361.8306605340701,-786.9085043212455,954,46.43709355791614,18.29701239806434,28.140081159851803,28,-179.3342342400539,186.33454274453385,-365.66877698458774,122,-44.83315428226948,8.236616532908215,-58.02061567789306,-314.76853127649474,19.903464626943588,-307.64816130669465,50.48734865231271
