signal_view,center_days,entry_bps,rules,valid_rules,median_train_net_bps,p25_train_net_bps,median_validation_net_bps,median_test_net_bps,positive_test_rate,train_island_score
micro,5,30.0,9,0,-1797.3856208019395,-2599.3505267727196,263.85477238558923,-968.905267216805,0.0,-3097.0608841882995
micro,10,75.0,9,0,-2457.974838999922,-3213.2005455867907,162.3294830698924,-941.9173182859572,0.0,-4064.575111793318
micro_shrink_0.50,10,75.0,9,0,-2444.6746972275128,-3416.3683620669894,149.7556059484182,-943.7745494081814,0.0,-4152.858878261008
micro_shrink_0.75,10,75.0,9,0,-2522.7775989199226,-3494.0473400160427,160.94476363123633,-986.4155799761555,0.0,-4269.801268927944
micro_shrink_0.25,10,75.0,9,0,-2625.1601256377626,-3436.777397527327,139.4926984830722,-943.7745494081814,0.0,-4343.548824401426
mid,10,75.0,9,0,-2777.008165030266,-3524.879362495672,161.78724273508345,-872.597055155869,0.0,-4539.447846278102
micro,10,60.0,9,0,-2760.9339767312254,-3569.4727919615693,-88.57436352758906,-1030.1090539851698,0.0,-4545.67037271201
micro_shrink_0.50,10,60.0,9,0,-2830.1475230500423,-3646.4594777449183,-52.09881235223167,-1023.8930853723969,0.0,-4653.377261922502
micro_shrink_0.75,10,60.0,9,0,-2843.8088862235154,-3664.8735889513955,-65.7013844904061,-1020.4089666331363,0.0,-4676.245680699213
micro_shrink_0.25,10,60.0,9,0,-2862.876659323171,-3635.54357811038,-79.52746189160781,-1032.5622332803123,0.0,-4680.6484483783615
micro_shrink_0.75,10,50.0,9,0,-2987.787916897796,-3475.96564287633,-97.7582827802985,-987.770879980296,0.0,-4725.770738335961
mid,10,60.0,9,0,-2886.197635500783,-3679.8550017188904,-79.52746189160781,-1035.7155292007858,0.0,-4726.125136360228
mid,10,50.0,9,0,-2946.6287470226866,-3571.2778445685567,-121.27076605071449,-1054.715321815707,0.0,-4732.267669306965
micro_shrink_0.25,10,50.0,9,0,-3001.068635127878,-3511.775810796725,-67.06311105519221,-1070.1926972520125,0.0,-4756.956540526241
