control,2025_05_gross_bps,2025_05_cost_bps,2025_05_net_bps,2025_05_trades,2025_06_gross_bps,2025_06_cost_bps,2025_06_net_bps,2025_06_trades,2025_07_gross_bps,2025_07_cost_bps,2025_07_net_bps,2025_07_trades,2025_08_gross_bps,2025_08_cost_bps,2025_08_net_bps,2025_08_trades,2025_09_gross_bps,2025_09_cost_bps,2025_09_net_bps,2025_09_trades,2025_10_gross_bps,2025_10_cost_bps,2025_10_net_bps,2025_10_trades,2025_11_gross_bps,2025_11_cost_bps,2025_11_net_bps,2025_11_trades,2025_12_gross_bps,2025_12_cost_bps,2025_12_net_bps,2025_12_trades,2026_01_gross_bps,2026_01_cost_bps,2026_01_net_bps,2026_01_trades,2026_02_gross_bps,2026_02_cost_bps,2026_02_net_bps,2026_02_trades,2026_03_gross_bps,2026_03_cost_bps,2026_03_net_bps,2026_03_trades,2026_04_gross_bps,2026_04_cost_bps,2026_04_net_bps,2026_04_trades,2026_05_gross_bps,2026_05_cost_bps,2026_05_net_bps,2026_05_trades,train_gross_bps,train_cost_bps,train_net_bps,train_trades,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,test_gross_bps,test_cost_bps,test_net_bps,test_trades
selected_classifier,587.9704566967714,228.02219053507613,359.94826616169524,104,346.8854094506124,340.8805813132026,6.004828137409837,136,302.7949901859106,260.5638594245439,42.23113076136671,136,218.87068874968384,84.69689538932259,134.1737933603613,114,379.5082181195042,234.30833680973873,145.1998813097655,228,643.4485736186879,567.2263142606218,76.22225935806618,278,938.6760693042539,336.8142429112586,601.8618263929955,132,576.3088935117455,368.49972341658946,207.80917009515596,188,301.0075209780805,245.40689026150045,55.60063071658003,146,239.80192464843066,135.48424429835637,104.31768035007427,148,283.03029588838234,301.5637729613621,-18.533477072979746,234,104.88166993787296,358.0206186526552,-253.1389487147822,246,0.0,0.0,0.0,0,4295.47082061525,2666.4190343218543,1629.0517862933962,1462,239.80192464843066,135.48424429835637,104.31768035007427,148,387.9119658262553,659.5843916140171,-271.6724257877619,480
sign_flip,-587.9704566967714,228.0727024407381,-816.0431591375095,104,-346.8854094506124,340.8241885505734,-687.7095980011858,136,-302.7949901859106,260.5886684075215,-563.3836585934321,136,-218.87068874968384,84.69069422498525,-303.5613829746691,114,-379.5082181195042,234.29756715028776,-613.805785269792,228,-643.4485736186879,567.262226592217,-1210.7108002109048,278,-938.6760693042539,336.56709212384885,-1275.243161428103,132,-576.3088935117455,368.5049393301754,-944.8138328419209,188,-301.0075209780805,245.34844110832185,-546.3559620864024,146,-239.80192464843066,135.51160189793853,-375.31352654636925,148,-283.03029588838234,301.6203452301985,-584.6506411185809,234,-104.88166993787296,358.01544525113303,-462.897115189006,246,0.0,0.0,0.0,0,-4295.47082061525,2666.1565199286683,-6961.627340543919,1462,-239.80192464843066,135.51160189793853,-375.31352654636925,148,-387.9119658262553,659.6357904813315,-1047.547756307587,480
classifier_active_always_long,12.977426269165093,228.05624943969516,-215.07882317053011,104,-112.63968399714663,340.8688432497864,-453.508527246933,136,26.43606593513148,260.62080965923997,-234.18474372410844,136,38.121658290188876,84.69069001307037,-46.56903172288147,114,238.3203448799165,234.3316289703863,3.9887159095302076,228,15.3085455376889,567.3726375161209,-552.0640919784319,278,-254.17354831578365,336.568397359686,-590.7419456754697,132,510.3869767452718,368.54760129204413,141.83937545322766,188,-17.10660470304326,245.32444864701594,-262.4310533500592,146,95.84647280630243,135.47720837162595,-39.6307355653235,148,-57.162669700714375,301.6188651979589,-358.7815348986733,234,142.057484106628,358.0319423494787,-215.97445824285072,246,0.0,0.0,0.0,0,457.63118064138905,2666.3813061470455,-2208.7501255056563,1462,95.84647280630243,135.47720837162595,-39.6307355653235,148,84.89481440591362,659.6508075474376,-574.755993141524,480
classifier_active_always_short,-12.977426269165093,228.03864353611908,-241.0160698052842,104,112.63968399714663,340.8359266139895,-228.19624261684294,136,-26.43606593513148,260.5317181728255,-286.967784107957,136,-38.121658290188876,84.69689960123746,-122.81855789142637,114,-238.3203448799165,234.27427498964016,-472.5946198695566,228,-15.3085455376889,567.1159033367177,-582.4244488744066,278,254.17354831578365,336.81293767542144,-82.63938935963782,132,-510.3869767452718,368.4570614547207,-878.8440381999925,188,17.10660470304326,245.43088272280636,-228.32427801976309,146,-95.84647280630243,135.51863782466899,-231.36511063097143,148,57.162669700714375,301.56525299360163,-244.40258329288727,234,-142.057484106628,358.00412155430945,-500.0616056609374,246,0.0,0.0,0.0,0,-457.63118064138905,2666.194248103478,-3123.8254287448667,1462,-95.84647280630243,135.51863782466899,-231.36511063097143,148,-84.89481440591362,659.5693745479111,-744.4641889538246,480
