hedge,signal_price,signal_kind,hedge_frac,mode,threshold_bps,exit_bps,max_hold,jan_net_bps,jan_gross_bps,jan_cost_bps,jan_trades,jan_avgpos,feb_net_bps,feb_gross_bps,feb_cost_bps,feb_trades,feb_avgpos,train_net_bps,train_gross_bps,train_cost_bps,train_trades,train_avgpos,test_net_bps,test_gross_bps,test_cost_bps,test_trades,test_avgpos
official8,micro,raw,0.0,threshold,50,0,60,-151.15796899086024,228.35497179780617,379.51294078866647,266,0.9330149716055757,-142.874921751322,276.1399708240919,419.014892575414,266,0.9818751703461434,-294.03289074218236,504.4949426218981,798.5278333640805,532,0.9567811215696672,-86.97975205571245,340.64109244726916,427.62084450298164,261,0.8324286051451498
official8,micro,raw,0.0,threshold,50,0,390,78.16336880973775,193.96446551174228,115.80109670200456,38,0.9477284460505937,166.73052996562126,307.2405658348387,140.51003586921738,38,0.9974107386208776,244.89389877535913,501.205031346581,256.31113257122195,76,0.9718944716956118,277.3738121173952,415.9869783732795,138.61316625588427,37,0.8461175359924474
official8,micro,raw,0.0,threshold,50,25,60,-151.15796899086024,228.35497179780617,379.51294078866647,266,0.9330149716055757,-142.874921751322,276.1399708240919,419.014892575414,266,0.9818751703461434,-294.03289074218236,504.4949426218981,798.5278333640805,532,0.9567811215696672,-86.97975205571245,340.64109244726916,427.62084450298164,261,0.8324286051451498
official8,micro,raw,0.0,threshold,50,25,390,78.16336880973775,193.96446551174228,115.80109670200456,38,0.9477284460505937,166.73052996562126,307.2405658348387,140.51003586921738,38,0.9974107386208776,244.89389877535913,501.205031346581,256.31113257122195,76,0.9718944716956118,277.3738121173952,415.9869783732795,138.61316625588427,37,0.8461175359924474
official8,micro,raw,0.0,threshold,100,0,60,-151.15796899086024,228.35497179780617,379.51294078866647,266,0.9330149716055757,-86.42602317274705,305.48908026305276,391.91510343579995,266,0.9806486781139275,-237.5839921636075,533.844052060859,771.4280442244665,532,0.9561845419594326,146.83190363476663,475.4858518002259,328.6539481654592,217,0.7035638423412792
official8,micro,raw,0.0,threshold,100,0,390,78.16336880973775,193.96446551174228,115.80109670200456,38,0.9477284460505937,158.67516382563417,285.6829273638528,127.00776353821855,38,0.9972744617061869,236.83853263537205,479.6473928755951,242.80886024022314,76,0.9718281850722524,458.118543356901,564.3056483106257,106.18710495372476,31,0.7255133349067736
official8,micro,raw,0.0,threshold,100,25,60,-151.15796899086024,228.35497179780617,379.51294078866647,266,0.9330149716055757,-86.42602317274705,305.48908026305276,391.91510343579995,266,0.9806486781139275,-237.5839921636075,533.844052060859,771.4280442244665,532,0.9561845419594326,146.83190363476663,475.4858518002259,328.6539481654592,217,0.7035638423412792
official8,micro,raw,0.0,threshold,100,25,390,78.16336880973775,193.96446551174228,115.80109670200456,38,0.9477284460505937,158.67516382563417,285.6829273638528,127.00776353821855,38,0.9972744617061869,236.83853263537205,479.6473928755951,242.80886024022314,76,0.9718281850722524,458.118543356901,564.3056483106257,106.18710495372476,31,0.7255133349067736
official8,micro,raw,0.0,threshold,150,0,60,-180.72180684498238,196.07684069827158,376.798647543254,266,0.9326277749096541,-206.77808628520208,164.30020303537242,371.07828932057464,250,0.9235486508585445,-387.4998931301847,360.377043733644,747.8769368638285,516,0.9282115869017632,-65.44996077864273,190.39256539143068,255.84252617007343,151,0.4892612697663441
official8,micro,raw,0.0,threshold,150,0,390,56.886197705179676,168.23502199632577,111.34882429114613,38,0.9473412493546721,58.37610110918788,183.54906804091797,125.17296693173002,36,0.9448078495502862,115.2622988143677,351.78409003724374,236.52179122287612,74,0.9461089752088029,256.5028846726503,336.9653887770596,80.46250410440939,27,0.6215482652820392
official8,micro,raw,0.0,threshold,150,25,60,-180.72180684498238,196.07684069827158,376.798647543254,266,0.9326277749096541,-206.77808628520208,164.30020303537242,371.07828932057464,250,0.9235486508585445,-387.4998931301847,360.377043733644,747.8769368638285,516,0.9282115869017632,-65.44996077864273,190.39256539143068,255.84252617007343,151,0.4892612697663441
official8,micro,raw,0.0,threshold,150,25,390,56.886197705179676,168.23502199632577,111.34882429114613,38,0.9473412493546721,58.37610110918788,183.54906804091797,125.17296693173002,36,0.9448078495502862,115.2622988143677,351.78409003724374,236.52179122287612,74,0.9461089752088029,256.5028846726503,336.9653887770596,80.46250410440939,27,0.6215482652820392
official8,micro,raw,0.0,threshold,200,0,60,-155.31929902988819,232.88005826585413,388.19935729574235,264,0.924496644295302,-330.647298023445,31.7393876564509,362.386685679896,240,0.8868901608067593,-485.96659705333343,264.61944592230503,750.5860429756384,504,0.9062044279464404,-310.4966548198825,-141.30390064488907,169.1927541749934,129,0.4149162143025726
official8,micro,raw,0.0,threshold,200,0,390,71.30381318887214,182.30865342764525,111.00484023877313,38,0.9395973154362416,58.37610110918788,183.54906804091797,125.17296693173002,36,0.9448078495502862,129.67991429806014,365.8577214685632,236.17780717050312,74,0.9421317778072384,-148.77437308444385,-94.34199006295607,54.43238302148783,19,0.45279679018173236
official8,micro,raw,0.0,threshold,200,25,60,-155.31929902988819,232.88005826585413,388.19935729574235,264,0.924496644295302,-330.647298023445,31.7393876564509,362.386685679896,240,0.8868901608067593,-485.96659705333343,264.61944592230503,750.5860429756384,504,0.9062044279464404,-310.4966548198825,-141.30390064488907,169.1927541749934,129,0.4149162143025726
official8,micro,raw,0.0,threshold,200,25,390,71.30381318887214,182.30865342764525,111.00484023877313,38,0.9395973154362416,58.37610110918788,183.54906804091797,125.17296693173002,36,0.9448078495502862,129.67991429806014,365.8577214685632,236.17780717050312,74,0.9421317778072384,-148.77437308444385,-94.34199006295607,54.43238302148783,19,0.45279679018173236
