trial_id,strategy_family,universe,pair_or_basket,method,signal,hedge_method,execution_mode,passive_fill_prob,adverse_selection_bps,entry_z,exit_z,max_hold,z_stop,beta,adf_p,ou_half_life_minutes,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_cost_share,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_cost_share,test_2x_cost_net_bps,test_latency1_net_bps,sharpe,dsr_pvalue,selected_flag,gate_selected_flag,skip_reason,gate_reason
10,pair_trading,XLK_top20_cleaned,XLK-AAPL,baseline,zscore,ols,aggressive_cross,0.0,0.0,2.0,0.5,120.0,4.0,0.13016682388301618,0.189768076937123,238.85365754927724,220.50197021209559,76.23550416414997,144.2664660479455,36.0,0.34573615868747504,1.4570540840266704,290.42631554856285,-288.96926146453626,100.0,199.32432071838372,-579.395577013099,-321.87293122938223,-1.5456626526417823,1.0,False,False,,2x_cost_net<0
165,pair_trading,XLK_top20_cleaned,XLK-AAPL,kalman_lagged,zscore,kalman_lagged,aggressive_cross,0.0,0.0,2.0,0.5,120.0,4.0,0.1239698593839163,0.189768076937123,216.37550743972142,53.46922704469976,76.84938812502163,-23.38016108032184,32.0,1.4372638688189057,290.9605051374115,329.00678184279707,-38.04627670538559,106.0,1.130760965951092,-367.05305854818266,-58.14104902355787,-0.20195983521119665,1.0,False,False,,validation_net<=0
406,pair_trading,XLK_top20_cleaned,XLK-AAPL,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,,0.13016682388301618,0.189768076937123,238.85365754927724,192.8937647390304,49.03504782679853,143.8587169122318,34.0,0.2542075317630872,-108.63555789637252,124.98578669063062,-233.62134458700314,96.0,1.1505053143820054,-358.6071312776338,-289.49367697216553,-1.2855633864018985,1.0,False,False,,2x_cost_net<0
284,pair_trading,XLK_top20_cleaned,XLK-AAPL,sscore_ou_gate,sscore,ols,aggressive_cross,0.0,0.0,1.5,0.5,120.0,,0.13016682388301618,0.189768076937123,238.85365754927724,-245.96122067781354,145.997166142274,-391.9583868200875,62.0,0.5935779865620231,19.649027176544266,360.9044648447434,-341.2554376681992,140.0,18.367548764733133,-702.1599025129426,-620.1729724485739,-1.6238408001959672,1.0,False,False,,validation_net<=0
94,pair_trading,XLK_top20_cleaned,XLK-ADI,baseline,zscore,ols,aggressive_cross,0.0,0.0,2.0,0.5,120.0,4.0,0.14886946846089452,0.5528604935240394,221.44008876002798,-117.9693762391766,182.55826213053362,-300.52763836971013,40.0,1.5475055302522454,-351.8711020341847,433.5267889784814,-785.397891012666,106.0,1.232061361311688,-1218.9246799911477,-745.862200950679,-4.161887927378559,1.0,False,False,,validation_net<=0
249,pair_trading,XLK_top20_cleaned,XLK-ADI,kalman_lagged,zscore,kalman_lagged,aggressive_cross,0.0,0.0,2.0,0.5,120.0,4.0,0.12372706526092497,0.5528604935240394,198.7868898976452,-84.30691809390335,226.4929816175586,-310.799899711462,38.0,2.686529014917667,-411.08387538834285,477.89863513730336,-888.9825105256461,106.0,1.1625331562466221,-1366.8811456629496,-947.4959474803024,-4.805411274226296,1.0,False,False,,validation_net<=0
490,pair_trading,XLK_top20_cleaned,XLK-ADI,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,,0.14886946846089452,0.5528604935240394,221.44008876002798,-109.68126959467348,99.09433954595652,-208.77560914063,38.0,0.9034754968843732,-398.7846602196997,217.19680372035666,-615.9814639400563,104.0,0.5446468367180872,-833.178267660413,-749.9548861728,-3.303263948278069,1.0,False,False,,validation_net<=0
366,pair_trading,XLK_top20_cleaned,XLK-ADI,sscore_ou_gate,sscore,ols,aggressive_cross,0.0,0.0,1.0,0.5,120.0,,0.14886946846089452,0.5528604935240394,221.44008876002798,119.94547688960078,457.1960980174498,-337.25062112784906,112.0,3.8116993643558432,-30.037059404595528,1020.9896850965922,-1051.0267445011877,243.0,33.990999962545786,-2072.01642959778,-1252.934856053703,-4.2624003779694135,1.0,False,False,,validation_net<=0
60,pair_trading,XLK_top20_cleaned,XLK-AMAT,baseline,zscore,ols,aggressive_cross,0.0,0.0,1.0,0.5,120.0,4.0,0.14214655234172935,0.7005304277500676,198.62914056620676,399.8289768867106,413.2198669486203,-13.39089006190973,98.0,1.0334915447253936,-1359.4921880986683,1104.4415464073281,-2463.9337345059967,291.0,0.8123927125700929,-3568.375280913325,-2890.78124639464,-8.79908590600943,1.0,False,False,,validation_net<=0
217,pair_trading,XLK_top20_cleaned,XLK-AMAT,kalman_lagged,zscore,kalman_lagged,aggressive_cross,0.0,0.0,1.5,0.5,120.0,4.0,0.12605375310077455,0.7005304277500676,174.38330731912515,120.06088583607257,266.06561401663186,-146.00472818055923,58.0,2.2160890465185275,-678.6828146448634,909.848032606353,-1588.5308472512165,221.0,1.3406086215435589,-2498.3788798575692,-1727.8406427029424,-6.376144075631805,1.0,False,False,,validation_net<=0
