strategy,universe,entry_z,exit_z,max_holding_minutes,train_net_bps,validation_net_bps,test_net_bps,num_trades,avg_holding_minutes,max_drawdown_bps,turnover,cost_bps,gross_bps
pair_zscore,XLK-ORCL,2.5,1.25,240,154.58346310683208,265.4017005849484,-227.30958429262188,17,97.94117647058823,-756.8496489782083,34.0,736.9698464666058,509.66026217398405
pair_zscore,XLK-MSFT,2.5,1.25,240,141.0787053779053,234.74224154934456,-235.84176061779635,17,105.88235294117646,-744.530381293302,34.0,651.0404805898137,415.19871997201744
pair_zscore,XLK-AAPL,2.5,1.25,-1,14.065781562574838,279.57048444642413,-310.6971911036783,14,128.07142857142858,-749.5973991802844,28.0,669.3613284679755,358.66413736429723
pair_zscore,XLK-CRM,2.5,1.25,-1,30.694763742939646,236.04850278215835,-317.73893073969737,14,129.57142857142858,-749.1486641167514,28.0,635.7499062018645,318.01097546216727
pair_zscore,XLK-AVGO,2.25,1.25,-1,13.596160320587208,102.96959246193124,-402.0444903619085,19,123.89473684210526,-771.4875492686582,38.0,1155.6801300763677,753.6356397144592
pair_zscore,XLK-NVDA,2.0,1.0,240,-127.19730584822196,338.35331881751034,-482.4840625020683,32,97.03125,-857.1769476196438,62.0,1786.2180032393132,1303.7339407372447
pair_zscore,XLK-AMD,2.0,1.25,240,-68.28502865853869,266.40149441471425,-543.7115775243202,31,94.0,-888.1031839209738,62.0,1452.2993034832339,908.5877259589136
pair_zscore,XLK-CSCO,2.0,1.25,120,50.96282771265492,218.9250310874881,-635.4922363017963,38,80.34210526315789,-1083.3076386036084,76.0,1480.4431478301885,844.9509115283921
