entry_bps,0,10,15,20,25,30,40,50,60
20,-168.87202334367876,-151.01609205850977,-268.2675687362433,,,,,,
30,-155.01968727604066,-55.95960270329791,-81.57453223577645,-182.82928796578514,-312.1707858341207,,,,
40,-167.13086735767075,-21.428215825722713,-39.696871065562696,-41.138029103554686,-52.033088864463984,-12.932223909955816,,,
50,-112.59712997511505,55.39716526713673,139.34785632253335,138.7160179273961,114.6987619473337,213.98878879032978,36.35179223740121,,
60,-118.98209012997495,199.76052691746904,116.34063006935675,123.9460242746327,60.041094444512176,131.99670701015464,-57.70214078597829,-18.993234664696065,
75,-51.07556219324005,137.64671491170748,109.93729787599167,117.54269208126763,67.28402796239952,92.19000842433759,-55.78499896167561,-67.12217121685251,-246.34241788155393
100,-150.7511079143525,52.083694262756204,37.507950039093544,34.733982868517195,26.335301010213815,12.50208519531411,-68.06344504265704,-105.254659109035,-180.99222397729827
125,-175.28467945856107,-175.28467945856107,-175.28467945856107,-175.28467945856107,-175.28467945856107,-175.28467945856107,-175.28467945856107,-193.96398855527423,-224.47934617484484
150,-109.77373651745859,-109.77373651745859,-109.77373651745859,-109.77373651745859,-109.77373651745859,-109.77373651745859,-109.77373651745859,-109.77373651745859,-109.77373651745859
