control,train_gross_bps,train_cost_bps,train_net_bps,train_trades,train_avg_abs_position,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_avg_abs_position,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_avg_abs_position
selected,-962.3049082013235,1609.7329896853776,-2572.037897886701,388.0,0.836642180288921,96.74324329626671,141.87042428312074,-45.12718098685402,40.0,0.8821850794944965,-742.5645798297164,234.67450329636014,-977.2390831260766,83.0,0.9014887741625646
sign_flip,962.3049082013235,1609.7329896853776,-647.4280814840544,388.0,0.836642180288921,-96.74324329626671,141.87042428312074,-238.61366757938748,40.0,0.8821850794944965,742.5645798297164,234.67450329636014,507.8900765333563,83.0,0.9014887741625646
active_always_long,291.2220381810382,1609.7329896853776,-1318.5109515043398,388.0,0.836642180288921,-202.26299567971395,141.87042428312074,-344.13341996283475,40.0,0.8821850794944965,1042.5257168438318,234.67450329636014,807.8512135474716,83.0,0.9014887741625646
active_always_short,-291.2220381810382,1609.7329896853776,-1900.9550278664162,388.0,0.836642180288921,202.26299567971395,141.87042428312074,60.39257139659318,40.0,0.8821850794944965,-1042.5257168438318,234.67450329636014,-1277.2002201401922,83.0,0.9014887741625646
circular_shift_mean,,,,,,,,,,,,,-541.3240340278094,,
circular_shift_p95,,,,,,,,,,,,,668.0074878808643,,
selected_vs_circular_pvalue,,,,,,,,,,,,,0.66,,
