pair,stock,beta,entry_z,exit_z,max_holding_minutes,stop_z,execution_model,sample,gross_bps,cost_bps,net_bps,num_trades,turnover,win_rate,avg_holding_minutes,max_drawdown_bps,sharpe_or_tstat
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,-1,-1.0,actual_bidask_fills,train,163.98704303955293,440.98799326362405,-277.0009502240711,22,44.0,0.4090909090909091,265.8181818181818,-394.85516883750904,-0.9414086607008949
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,-1,-1.0,actual_bidask_fills,validation,955.4748551868553,955.829575346856,-0.35472016000070994,23,46.0,0.4782608695652174,225.1304347826087,-521.7145131868683,-0.0006898468923749239
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,-1,-1.0,actual_bidask_fills,test,589.2466377402084,1686.6707481218145,-1097.4241103816062,34,69.0,0.35294117647058826,196.8235294117647,-1097.4241103816062,-2.154198456796683
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,30,-1.0,actual_bidask_fills,train,326.40315595616084,1061.271917270945,-734.8687613147841,169,338.0,0.40828402366863903,28.497041420118343,-816.4537826096741,-1.9556828425149615
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,30,-1.0,actual_bidask_fills,validation,730.6532487006834,1499.8725345484854,-769.219285847802,137,272.0,0.46715328467153283,27.927007299270073,-970.7273840639541,-1.5351231543704285
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,30,-1.0,actual_bidask_fills,test,1322.869453060509,2651.964225490282,-1329.094772429773,221,443.0,0.40271493212669685,27.828054298642535,-1507.1488314839864,-2.371588815011268
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,60,-1.0,actual_bidask_fills,train,266.4804649339825,709.1558580684687,-442.6753931344862,93,186.0,0.40860215053763443,54.01075268817204,-560.7807417627697,-1.115783676329514
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,60,-1.0,actual_bidask_fills,validation,693.1635966762962,1098.4237150893516,-405.2601184130555,78,156.0,0.4358974358974359,51.85897435897436,-791.5582153774282,-0.8199766031178352
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,60,-1.0,actual_bidask_fills,test,1311.5364539106001,2427.6493224928863,-1116.1128685822864,127,253.0,0.3779527559055118,50.59842519685039,-1350.1508182991806,-2.0957163109813366
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,120,-1.0,actual_bidask_fills,train,237.0146550978891,580.210529597176,-343.1958744992869,56,110.0,0.4107142857142857,93.41071428571429,-465.3684527302815,-1.0085574726693665
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,120,-1.0,actual_bidask_fills,validation,846.446406251955,1019.8742662207749,-173.42785996881992,48,96.0,0.5208333333333334,90.35416666666667,-577.9088871231686,-0.33829624178227313
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,120,-1.0,actual_bidask_fills,test,794.6499438159815,2067.269938931844,-1272.6199951158624,77,155.0,0.4025974025974026,86.18181818181819,-1521.4273636807452,-2.105895941525239
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,240,-1.0,actual_bidask_fills,train,232.79947642090627,482.60432112703813,-249.80484470613186,36,72.0,0.4722222222222222,154.02777777777777,-443.7567490278216,-0.810857493513183
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,240,-1.0,actual_bidask_fills,validation,917.9214928449753,983.3132288803891,-65.39173603541393,32,64.0,0.5625,149.625,-535.6737022459246,-0.11537143449352942
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.0,240,-1.0,actual_bidask_fills,test,739.4202473705391,1786.7598060009636,-1047.3395586304246,49,99.0,0.3877551020408163,140.91836734693877,-1234.9620158759133,-1.8811337027197395
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,-1,-1.0,actual_bidask_fills,train,389.9451336371573,608.5822333693347,-218.63709973217738,24,48.0,0.4166666666666667,235.54166666666666,-354.23848239575227,-0.6433049987291868
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,-1,-1.0,actual_bidask_fills,validation,881.3780600040388,942.8100467221511,-61.43198671811234,23,46.0,0.5217391304347826,199.0,-521.7145131868683,-0.12246045119159128
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,-1,-1.0,actual_bidask_fills,test,1277.4184609599804,2112.958695479463,-835.5402345194829,40,80.0,0.35,171.8,-1108.1267883774437,-1.4747332487695455
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,30,-1.0,actual_bidask_fills,train,308.555281149463,1056.6644177255746,-748.1091365761117,169,338.0,0.40828402366863903,28.28994082840237,-829.6941578710016,-2.017102774195058
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,30,-1.0,actual_bidask_fills,validation,731.4076171559681,1497.8222535648467,-766.4146364088787,137,272.0,0.4744525547445255,27.62773722627737,-970.7273840639541,-1.5357141687336453
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,30,-1.0,actual_bidask_fills,test,1922.478297761847,3252.590457630511,-1330.1121598686639,225,450.0,0.39555555555555555,27.23111111111111,-1501.1249718725671,-2.3778535562128886
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,60,-1.0,actual_bidask_fills,train,366.0939518687911,839.3145113874034,-473.2205595186123,93,186.0,0.40860215053763443,52.82795698924731,-586.4492052236869,-1.2091703075978149
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,60,-1.0,actual_bidask_fills,validation,640.2681373478636,1094.250784303261,-453.98264695539757,78,156.0,0.44871794871794873,50.84615384615385,-791.558215377428,-0.9326413741596223
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,60,-1.0,actual_bidask_fills,test,1886.6879639274803,3039.8812942304867,-1153.1933303030062,132,262.0,0.3712121212121212,48.67424242424242,-1380.1900329695904,-2.1850576960699764
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,120,-1.0,actual_bidask_fills,train,404.4426690089331,733.0708799597296,-328.62821095079653,57,112.0,0.43859649122807015,89.0,-465.3684527302815,-0.9222884326884494
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,120,-1.0,actual_bidask_fills,validation,785.5631072504287,1021.5243799263441,-235.96127267591527,48,96.0,0.5416666666666666,86.89583333333333,-577.9088871231686,-0.4715019470407933
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,120,-1.0,actual_bidask_fills,test,1361.3720561321152,2671.6957201748137,-1310.3236640426985,81,162.0,0.38271604938271603,81.76543209876543,-1552.0897855572712,-2.139566021812451
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,240,-1.0,actual_bidask_fills,train,354.86081169181284,647.5516181668173,-292.6908064750045,37,74.0,0.5135135135135135,144.83783783783784,-443.75674902782157,-0.8229558613380281
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,240,-1.0,actual_bidask_fills,validation,791.7510312227093,971.0725648681162,-179.32153364540682,32,64.0,0.59375,137.53125,-541.862488892182,-0.32629363910649234
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.25,240,-1.0,actual_bidask_fills,test,1416.6024772269382,2390.928595581574,-974.3261183546359,54,108.0,0.37037037037037035,124.5925925925926,-1154.9073285498146,-1.737321958379656
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,-1,-1.0,actual_bidask_fills,train,324.8653693676662,603.5351429812863,-278.6697736136201,26,52.0,0.46153846153846156,207.46153846153845,-407.4895302545656,-0.8867040069869904
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,-1,-1.0,actual_bidask_fills,validation,749.3162378565277,938.919631494759,-189.6033936382313,25,50.0,0.56,168.04,-546.2987333683689,-0.41086467227082835
