pair,stock,spread_type,clipped_last_trade_proxy,exact_bidask_latency0,exact_bidask_latency1,exact_bidask_latency2,exact_bidask_latency5,passes_rescue_gate
XLK-AAPL,AAPL,cum_residual_return,182.42842772167955,26.12409883806878,1.4707757712571767,17.949854713805653,-33.37288431709693,True
XLK-AMD,AMD,direct_log_price,383.0414123886072,14.530340788700691,-266.9918249188701,-281.2382079119788,-308.3026335510888,False
XLK-INTC,INTC,direct_log_price,67.6261518104937,-0.6274409498820133,17.85385209662274,10.572174284445603,-10.622448931875937,False
XLK-PLTR,PLTR,price_regression_residual,244.59340544139786,-2.2489436884701175,-143.84180321073802,-280.0881182825972,-365.5477042116929,False
