pair,beta,ADF p-value,half-life,best validation entry_z,best validation exit_z,best validation max_holding_minutes,validation net bps,test net bps,test trades,test max drawdown,avg holding minutes
XLK-ORCL,0.029167841206824113,0.23254097847982264,276.7394620759751,2.5,1.25,240,265.4017005849484,-227.30958429262188,17,-756.8496489782083,97.94117647058823
XLK-MSFT,0.027740336084809893,0.35971689157350883,357.1156538070021,2.5,1.25,240,234.74224154934456,-235.84176061779635,17,-744.530381293302,105.88235294117646
XLK-AAPL,0.027742057074438543,0.3475142456381095,370.29131229024966,2.5,1.25,-1,279.57048444642413,-310.6971911036783,14,-749.5973991802844,128.07142857142858
XLK-CRM,0.010665698752082134,0.30412770531045424,350.8789939947035,2.5,1.25,-1,236.04850278215835,-317.73893073969737,14,-749.1486641167514,129.57142857142858
XLK-AVGO,0.03951067233953714,0.3531732403512977,338.73554775298453,2.25,1.25,-1,102.96959246193124,-402.0444903619085,19,-771.4875492686582,123.89473684210526
XLK-NVDA,0.1325445975680742,0.45493878711650815,241.14689946228836,2.0,1.0,240,338.35331881751034,-482.4840625020683,32,-857.1769476196438,97.03125
XLK-AMD,0.038143897640087764,0.37541369796256774,357.0935644952434,2.0,1.25,240,266.40149441471425,-543.7115775243202,31,-888.1031839209738,94.0
XLK-CSCO,0.06311069129999163,0.4875060842118248,357.8415132981589,2.0,1.25,120,218.9250310874881,-635.4922363017963,38,-1083.3076386036084,80.34210526315789
