symbol,start,end,minutes,avg_spread_bps,median_spread_bps,avg_volume,quote_updates,trade_count
AAPL,2026-01-02 09:30:00,2026-03-31 15:59:00,20861,10.205218129518439,2.9720994167248986,87114.83196417037,232515156,35436759
AMD,2026-01-02 09:31:00,2026-03-31 15:59:00,19553,15.523604782742732,9.333582228858905,83976.11036470864,107682189,24537293
AVGO,2026-01-02 09:30:00,2026-03-31 15:59:00,18860,16.398898461416916,10.190166491625408,51282.148799121744,62882084,22154477
CRM,2026-01-02 09:30:00,2026-03-31 15:59:00,18530,17.564428571042406,12.498662687473667,26884.156291516458,24112940,8300230
CSCO,2026-01-02 09:30:00,2026-03-31 15:59:00,22670,4.242450293775686,2.5572177470906556,43549.14245317935,127602931,11425050
MSFT,2026-01-02 09:30:00,2026-03-31 15:59:00,20797,12.280112520676827,5.15331100231899,71026.92240020256,103452457,41606645
NVDA,2026-01-02 09:30:00,2026-03-31 15:59:00,22693,5.3523367441268315,1.1943863839958335,390864.83247844724,1196430853,138130510
ORCL,2026-01-02 09:34:00,2026-03-31 15:59:00,18190,13.43014726919772,7.631403231984125,61075.38100153502,62603421,18803754
XLK,2026-01-02 09:30:00,2026-03-31 15:59:00,23748,3.1567967271805295,0.7330034817679549,48286.937878250596,864944185,15447039
