metric,train_avg,validation_avg,test_avg,test_minus_train
xlk_basket_corr_1m,0.6128071438977769,0.708435133962656,0.6341661550693509,0.021359011171574016
xlk_on_basket_beta_1m,0.5308015643867022,0.7113758634898226,0.6166365304009984,0.08583496601429619
residual_vol_bps_1m,4.216027212475854,5.561412745339065,5.123445661386246,0.9074184489103914
median_xlk_spread_bps,1.1349964899088618,0.7242440702530746,1.0227622785552988,-0.11223421135356304
signal_std_bps,351.9057319184511,135.2966073321277,150.3863825316508,-201.51934938680031
alpha_ic_5m,0.0006698932327201126,0.008633202355487193,0.02863235023313475,0.027962457000414637
contrarian_decile_edge_5m,0.3320845228003087,-1.9574652387859426,2.3787028344523753,2.0466183116520664
alpha_ic_15m,-0.00515070119946965,0.0007079483437723902,0.04136418113362445,0.0465148823330941
contrarian_decile_edge_15m,0.19932880640345,-6.890372715374205,5.883963810985678,5.684635004582228
alpha_ic_30m,-0.007014842019884695,-0.0060882038996257866,0.053976961825856706,0.060991803845741405
contrarian_decile_edge_30m,0.2417430338056753,-12.307809297468857,10.24187105220477,10.000128018399094
alpha_ic_60m,-0.007962964498364774,0.0035315663754654438,0.07894490907334135,0.08690787357170612
contrarian_decile_edge_60m,0.3058470423579599,-16.94712284126783,21.955068634282245,21.649221591924285
