symbol,latency_min,buy_taker_cost_bps_median,sell_taker_cost_bps_median,roundtrip_two_leg_cost_bps_median,buy_taker_cost_bps_p90,sell_taker_cost_bps_p90
AAPL,0,1.283155830111085,1.2831558301090011,2.5663116602200864,11.437271254736153,11.437271254736153
AAPL,1,2.218442653255395,2.388257123433979,2.5666410002564133,17.524644030668792,18.17347407067479
AAPL,2,2.495441848766997,2.673388344347444,2.5655121861826338,20.482004544572497,20.838888226921146
AAPL,5,2.7406914372966282,3.0743217277703834,2.56570025290449,26.79942383380057,25.93957307982341
ADI,0,12.861238087859936,12.861238087858176,25.722476175718114,27.76417227449931,27.76417227449818
ADI,1,12.495123220087901,12.46916487669052,25.72451362362199,33.896320005461575,33.9346666324714
ADI,2,12.582182920130366,12.46838374122841,25.7248746457381,37.26743336577541,36.99685599697859
ADI,5,12.91683710314216,12.24580523787476,25.736137464183805,44.89212357831803,44.17926178153274
AMAT,0,12.033407454106975,12.03340745410617,24.066814908213146,27.523590635133438,27.523590635133655
AMAT,1,11.8097096351836,11.724795597731855,24.06225137290686,36.07936437211717,36.471704044468105
AMAT,2,11.965281503086821,11.822288939956742,24.05823440904061,40.63680461910545,40.61863613245204
AMAT,5,12.319128056291628,11.63761479494977,24.067017386876458,51.112246094925894,50.7136191204922
AMD,0,4.585263491788309,4.585263491788929,9.170526983577238,18.429716711310896,18.429716711310498
AMD,1,5.689267073985658,5.696707303178762,9.172761725444648,28.91558321024212,28.98233241957903
AMD,2,5.980857124814058,5.749712517967237,9.170968575005908,34.8797966321487,35.07128623874516
AMD,5,6.112348916536906,6.105126336727303,9.163230455245902,47.13052193238753,47.20862947138511
ANET,0,9.714187035007463,9.714187035008486,19.42837407001595,25.504032281388845,25.504032281386866
ANET,1,9.869503235003174,9.927453226421953,19.43221496887768,35.011918951132216,35.04629800420514
ANET,2,10.109882118527235,10.083890796083057,19.425931370374286,39.86747966155569,39.94978746847882
ANET,5,10.374557292599023,10.26092055115702,19.439494573141836,50.41544701960335,51.6399499338041
APH,0,6.967618907917332,6.967618907917332,13.935237815834665,22.707737404683247,22.707737404683247
APH,1,7.384070117334186,7.384251870111654,13.938265250733105,30.631799270686297,30.718506826637682
APH,2,7.764237248082954,7.551512100400458,13.934854554954793,34.39735839141571,34.505189317299205
APH,5,8.16951144466163,7.567140769043812,13.935259120469073,43.56189554160796,43.840653642163886
AVGO,0,4.4996111052255685,4.499611105226421,8.99922221045199,17.859354456569978,17.859354456569807
AVGO,1,5.253219371603059,5.308111759880984,9.002468418760047,28.27483221000131,28.108406602165356
AVGO,2,5.585465379216998,5.459052197462444,9.004141911234791,33.18879457950134,32.91794328828335
AVGO,5,5.924543999193598,5.762028233939656,9.002729860022137,43.485153348405966,42.73890671297049
CSCO,0,1.2756729174646149,1.2756729174646149,2.5513458349292297,3.7960268252563756,3.7960268252563756
CSCO,1,1.7463181791706568,1.3945056477485867,2.5511831111672976,10.370870527598141,10.359568460842251
CSCO,2,1.898493869139588,1.6496211907899347,2.551183111167297,13.605442176871088,13.631744693611886
CSCO,5,1.9241870309776608,1.3140604467793568,2.5511831111672976,19.949803719673227,20.084224165858803
IBM,0,4.796656045499241,4.796656045499241,9.593312090998483,13.997174026680717,13.997174026682725
IBM,1,5.2163855574752525,5.137743394448885,9.593928415458295,21.816561685781085,22.160372151501537
IBM,2,5.4300154546591815,5.328199927810547,9.592126115605545,25.291397876918346,25.678136263788257
IBM,5,5.715545882123387,5.481543457929636,9.591866119611085,32.819970386362336,33.898305084745765
INTC,0,1.4253135979404061,1.425313597941419,2.8506271958818252,4.5558086560355395,4.555808656037158
INTC,1,2.1204410517398466,2.185792349726341,2.849814762041925,20.403536613013696,20.120724346077722
INTC,2,2.1927420502586354,2.254029105605261,2.850220892118573,27.180842562111003,26.718159847902353
INTC,5,2.127206977238462,2.592688618096451,2.8502208921185725,41.340449036030584,39.46760281689437
KLAC,0,20.43216768445472,20.432167684453937,40.864335368908655,37.830982297299904,37.830982297298924
KLAC,1,19.960242124647255,19.645173790708046,40.86400353089431,46.14453553944736,46.1750530755931
KLAC,2,19.903645359744843,19.715607736741024,40.87397811664259,50.21544610953199,49.88449532047447
KLAC,5,20.21874336114458,19.631404658442708,40.861431896981415,59.4935768916617,59.72534961382543
LRCX,0,8.03634909391874,8.03634909391874,16.07269818783748,22.572399463702574,22.57239946370361
LRCX,1,8.400840084007582,8.370356062069117,16.079891672308538,32.122572053443136,32.27347792094495
LRCX,2,8.520239346776014,8.406719632746835,16.078813673581266,37.81962099286536,38.49091358493213
LRCX,5,8.409368035992813,8.42459983150867,16.07035243175741,50.64073392980758,50.82589546026813
