pair,stock,spread_type,entry_z,exit_z,execution_scenario,month,gross_bps,cost_bps,net_bps,trades
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,2025-08,141.58042758730005,133.35584286224025,8.224584725059795,45
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,2025-09,169.75207662393467,117.57231012071043,52.17976650322425,43
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,2025-10,-148.1934170591881,218.36223780773946,-366.5556548669275,53
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,2025-11,-29.384197639590326,221.6629156310466,-251.0471132706369,39
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,2025-12,-489.2419345649657,183.79398081531093,-673.0359153802766,38
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,2026-01,-238.3994547297874,149.39199083274428,-387.7914455625317,40
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,2026-02,290.8667389050556,233.4484162322425,57.41832267281321,54
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,2026-03,409.75061870537564,219.02808784130306,190.72253086407264,73
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,2026-04,-369.8968288061355,129.12833560902604,-499.0251644151615,50
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,2025-05,84.90432433278627,0.0,84.90432433278627,52
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,2025-06,57.17057554291749,0.0,57.17057554291749,52
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,2025-07,123.87913088570457,0.0,123.87913088570457,68
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,2025-08,132.67651909518287,0.0,132.67651909518287,44
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,2025-09,313.69846254455604,0.0,313.69846254455604,44
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,2025-10,-107.73847153125793,0.0,-107.73847153125793,52
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,2025-11,104.73204010072124,0.0,104.73204010072124,42
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,2025-12,-547.9037028676537,0.0,-547.9037028676537,40
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,2026-01,-260.29369905109513,0.0,-260.29369905109513,40
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,2026-02,650.4295381192637,0.0,650.4295381192637,54
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,2026-03,658.724478034518,0.0,658.724478034518,74
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,2026-04,-275.6830656459108,0.0,-275.6830656459108,50
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,2025-05,-212.57527606562297,103.63981161577694,-316.2150876814,34
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,2025-06,62.74306767654281,278.07959770357365,-215.33653002703082,50
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,2025-07,549.9413239762152,205.76443658880282,344.17688738741236,60
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,2025-08,236.51710618995736,79.96585405205751,156.55125213789984,46
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,2025-09,417.1986482243906,169.74610393375806,247.45254429063255,52
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,2025-10,268.3235668788342,146.58918849410549,121.73437838472873,54
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,2025-11,-129.39668225249613,223.76919437114867,-353.1658766236448,36
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,2025-12,-701.1398415261106,105.97110405491446,-807.1109455810249,42
