entry_bps,0,10,15,20,25,30,40,50,60
20,-65.98783270097373,-244.61788436668255,-351.8147982115373,,,,,,
30,-157.20794628641195,-18.051038643497815,-40.27490986052991,-34.43344806807393,-105.13832454775242,,,,
40,-94.22942526347008,144.03664718801383,170.4236590419472,204.6701564001509,126.25593579987618,3.0548860760913272,,,
50,70.82394986918351,169.0891694388398,165.9001724747082,230.59499845086665,229.046819601628,115.74829669511136,80.13017667004702,,
60,19.138191383825628,65.38600535908732,87.0276968188962,161.7425896292958,207.53866825026495,168.1357002364673,164.6203026093996,175.11884685706812,
75,132.08357747111603,189.84637519814677,221.44185327218105,164.34744274099418,193.3147549769643,195.4587948548688,255.74801668685808,156.96393889260227,121.12147116280745
100,325.6081519872466,315.8673328124599,360.9941305556612,329.4878619427189,470.85143617237355,437.15945972345014,366.0374786367672,401.8091709728258,308.90363508953715
125,366.6011182210721,321.06697545713604,355.48058984624697,338.9759757638673,362.8136924875632,343.44836588823273,350.7921763528647,325.4159073421107,298.90423041714604
150,155.80673753118054,110.27259476724439,144.68620915635532,128.18159507397576,122.4471940804116,102.40274623092651,80.25760990793292,61.00965389278126,48.19440843020532
