strategy,month,gross_bps,cost_bps,net_bps,trades,long_gross_bps,short_gross_bps,long_minutes,short_minutes
baseline_no_gate,2025-11,-578.9522843899331,326.1610210101816,-905.1133054001148,62,-463.50876240673244,-115.44352198320063,4584,1342
baseline_no_gate,2025-12,-961.782558096882,285.36605242401316,-1247.1486105208949,84,-567.9372254147363,-393.8453326821456,4643,3426
baseline_no_gate,2026-01,-22.723235542825293,144.01277767073785,-166.7360132135631,58,-171.26362659981353,148.54039105698826,627,4973
baseline_no_gate,2026-02,167.88893502573288,143.34661994680297,24.542315078929825,70,-29.75409520487915,197.64303023061203,3852,2861
baseline_no_gate,2026-03,156.5678691378469,188.97238171266886,-32.40451257482201,76,101.56600717325048,55.00186196459644,4216,3046
baseline_no_gate,2026-04,-724.1592451693534,138.19526455258017,-862.3545097219337,75,126.88178749550971,-851.0410326648632,1010,6420
long_only_diagnostic,2025-11,-463.50876240673244,202.69893692292246,-666.2076993296549,48,-463.50876240673244,0.0,4584,0
long_only_diagnostic,2025-12,-567.9372254147363,170.01495870486553,-737.9521841196017,48,-567.9372254147363,0.0,4643,0
long_only_diagnostic,2026-01,-171.26362659981353,30.374852779821147,-201.6384793796347,6,-171.26362659981353,0.0,627,0
long_only_diagnostic,2026-02,-29.75409520487915,106.54293497418156,-136.29703017906084,40,-29.75409520487915,0.0,3852,0
long_only_diagnostic,2026-03,101.56600717325048,141.99751115691024,-40.431503983659795,44,101.56600717325048,0.0,4216,0
long_only_diagnostic,2026-04,126.88178749550971,24.263736586037048,102.61805090947266,10,126.88178749550971,0.0,1010,0
short_only_diagnostic,2025-11,-115.44352198320063,123.46208408725909,-238.9056060704597,14,0.0,-115.44352198320063,0,1342
short_only_diagnostic,2025-12,-393.8453326821456,115.35109371914757,-509.19642640129325,36,0.0,-393.8453326821456,0,3426
short_only_diagnostic,2026-01,148.54039105698826,113.6379248909167,34.90246616607158,52,0.0,148.54039105698826,0,4973
short_only_diagnostic,2026-02,197.64303023061203,36.80368497262144,160.83934525799057,30,0.0,197.64303023061203,0,2861
short_only_diagnostic,2026-03,55.00186196459644,46.9748705557586,8.026991408837878,32,0.0,55.00186196459644,0,3046
short_only_diagnostic,2026-04,-851.0410326648632,113.9315279665431,-964.9725606314064,65,0.0,-851.0410326648632,0,6420
two_sided_premium_persistence_lb780_thr75_flat,2025-11,162.08111897761944,186.56746469018879,-24.48634571256935,26,273.50777544636,-111.4266564687405,1081,1261
two_sided_premium_persistence_lb780_thr75_flat,2025-12,-195.4823890210289,73.81398440616734,-269.2963734271962,18,-164.02625853165097,-31.456130489377898,802,476
two_sided_premium_persistence_lb780_thr75_flat,2026-01,171.83785487222104,78.43909065424894,93.39876421797206,30,-171.26362659981353,343.10148147203455,627,2186
two_sided_premium_persistence_lb780_thr75_flat,2026-02,362.7330667182438,82.51832566656803,280.2147410516758,30,122.76049375457454,239.97257296366925,1040,1025
two_sided_premium_persistence_lb780_thr75_flat,2026-03,-142.55945889166455,52.81777440677577,-195.3772332984403,18,26.8515470282793,-169.41100591994385,575,1232
two_sided_premium_persistence_lb780_thr75_flat,2026-04,90.57910268298386,26.559585432682418,64.01951725030145,13,87.53560589662257,3.0434967863612883,539,439
flip_short_uptrend_multi_day_trend_premium_lb1950_thr100_flip,2025-11,-578.9522843899331,326.1610210101816,-905.1133054001148,62,-463.50876240673244,-115.44352198320063,4584,1342
flip_short_uptrend_multi_day_trend_premium_lb1950_thr100_flip,2025-12,-893.6732024996097,285.35198186074444,-1179.025184360354,84,-533.8825476161002,-359.7906548835095,5029,3040
flip_short_uptrend_multi_day_trend_premium_lb1950_thr100_flip,2026-01,-234.6982787542462,144.0207176029729,-378.71899635721905,58,-277.251148205524,42.552869451277786,772,4828
flip_short_uptrend_multi_day_trend_premium_lb1950_thr100_flip,2026-02,167.88893502573288,143.34661994680297,24.542315078929825,70,-29.75409520487915,197.64303023061203,3852,2861
flip_short_uptrend_multi_day_trend_premium_lb1950_thr100_flip,2026-03,156.5678691378469,188.97238171266886,-32.40451257482201,76,101.56600717325048,55.00186196459644,4216,3046
flip_short_uptrend_multi_day_trend_premium_lb1950_thr100_flip,2026-04,777.4735239248187,138.15683744306907,639.3166864817496,75,877.6981720425958,-100.2246481177771,6179,1251
