strategy,gate_mode,state_kind,lookback_min,trend_threshold_bps,gate_action,m2025_05_gross_bps,m2025_05_cost_bps,m2025_05_net_bps,m2025_05_trades,m2025_05_avg_abs_position,m2025_06_gross_bps,m2025_06_cost_bps,m2025_06_net_bps,m2025_06_trades,m2025_06_avg_abs_position,m2025_07_gross_bps,m2025_07_cost_bps,m2025_07_net_bps,m2025_07_trades,m2025_07_avg_abs_position,m2025_08_gross_bps,m2025_08_cost_bps,m2025_08_net_bps,m2025_08_trades,m2025_08_avg_abs_position,m2025_09_gross_bps,m2025_09_cost_bps,m2025_09_net_bps,m2025_09_trades,m2025_09_avg_abs_position,m2025_10_gross_bps,m2025_10_cost_bps,m2025_10_net_bps,m2025_10_trades,m2025_10_avg_abs_position,m2025_11_gross_bps,m2025_11_cost_bps,m2025_11_net_bps,m2025_11_trades,m2025_11_avg_abs_position,m2025_12_gross_bps,m2025_12_cost_bps,m2025_12_net_bps,m2025_12_trades,m2025_12_avg_abs_position,m2026_01_gross_bps,m2026_01_cost_bps,m2026_01_net_bps,m2026_01_trades,m2026_01_avg_abs_position,m2026_02_gross_bps,m2026_02_cost_bps,m2026_02_net_bps,m2026_02_trades,m2026_02_avg_abs_position,m2026_03_gross_bps,m2026_03_cost_bps,m2026_03_net_bps,m2026_03_trades,m2026_03_avg_abs_position,m2026_04_gross_bps,m2026_04_cost_bps,m2026_04_net_bps,m2026_04_trades,m2026_04_avg_abs_position,m2026_05_gross_bps,m2026_05_cost_bps,m2026_05_net_bps,m2026_05_trades,m2026_05_avg_abs_position,nov_gross_bps,nov_cost_bps,nov_net_bps,nov_trades,nov_avg_abs_position,dec_gross_bps,dec_cost_bps,dec_net_bps,dec_trades,dec_avg_abs_position,jan_gross_bps,jan_cost_bps,jan_net_bps,jan_trades,jan_avg_abs_position,feb_gross_bps,feb_cost_bps,feb_net_bps,feb_trades,feb_avg_abs_position,mar_gross_bps,mar_cost_bps,mar_net_bps,mar_trades,mar_avg_abs_position,apr_gross_bps,apr_cost_bps,apr_net_bps,apr_trades,apr_avg_abs_position,train_gross_bps,train_cost_bps,train_net_bps,train_trades,train_avg_abs_position,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_avg_abs_position,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_avg_abs_position,train_fold_positive_rate,train_worst_month_bps,all_net_bps,long_gross_bps,short_gross_bps,long_minutes,short_minutes,test_2x_cost_net_bps,train_selection_score,blocked_short_frac,blocked_long_frac
two_sided_premium_persistence_lb780_thr75_flat,two_sided,premium_persistence,780,75.0,flat,76.82222744416656,69.72744292469558,7.094784519470947,22,0.25698187163155317,54.076602959192144,64.46511781436739,-10.38851485517525,18,0.19753086419753085,30.07249545277979,81.13338197572529,-51.060886522945516,14,0.09966816781227779,-10.814538980330468,46.35674739443909,-57.171286374769586,18,0.20736648250460404,44.44659663923822,8.624967351562564,35.82162928767568,10,0.1047268262737876,132.73083646772045,23.60949723245909,109.12133923526135,12,0.10901162790697674,405.12933346001034,183.01571714518155,222.11361631482873,26,0.30025825744189205,-195.4823890210289,73.81398440616734,-269.2963734271962,18,0.15035294117647058,171.83785487222104,78.43909065424894,93.39876421797206,30,0.36208006178401336,362.7330667182438,82.51832566656803,280.2147410516758,30,0.2806087783666259,-142.55945889166455,52.81777440677577,-195.3772332984403,18,0.2123633799506405,90.57910268298386,26.559585432682418,64.01951725030145,13,0.1200147257332188,0.0,0.0,0.0,0,0.0,405.12933346001034,183.01571714518155,222.11361631482873,26,0.30025825744189205,-195.4823890210289,73.81398440616734,-269.2963734271962,18,0.15035294117647058,171.83785487222104,78.43909065424894,93.39876421797206,30,0.36208006178401336,362.7330667182438,82.51832566656803,280.2147410516758,30,0.2806087783666259,-142.55945889166455,52.81777440677577,-195.3772332984403,18,0.2123633799506405,90.57910268298386,26.559585432682418,64.01951725030145,13,0.1200147257332188,708.8190192939692,629.1859468988469,79.63307239512228,168,0.1951445970670963,362.7330667182438,82.51832566656803,280.2147410516758,30,0.2806087783666259,-51.98035620868069,79.37735983945818,-131.35771604813885,31,0.1671869372073478,0.5555555555555556,-269.2963734271962,228.4900973986592,114.38715292490187,-166.36750913358256,1114,1671,-210.73507588759705,288.6773861902566,0.47073158192380854,0.1885969873014241
two_sided_premium_persistence_lb120_thr0_flat,two_sided,premium_persistence,120,0.0,flat,-89.2093708628039,40.032130129366024,-129.24150099216993,6,0.008084272415482607,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,98.91205802948555,5.453433847107912,93.45862418237763,2,0.005402087170042971,0.0,0.0,0.0,0,0.0,-53.66305969746854,57.03226287847385,-110.69532257594237,10,0.021068370259616692,13.34134374594953,13.91450651691749,-0.57316277096796,6,0.0032941176470588237,198.5802783861601,6.8742519900555115,191.7060263961046,6,0.022654138241729953,264.4036757024626,24.814481257839024,239.5891944446236,4,0.011822258459029759,-46.15940995022605,9.655969346188428,-55.81537929641446,8,0.012104830179809614,64.16550387364772,21.81654427609095,42.348959597556764,6,0.008344582157319917,0.0,0.0,0.0,0,0.0,-53.66305969746854,57.03226287847385,-110.69532257594237,10,0.021068370259616692,13.34134374594953,13.91450651691749,-0.57316277096796,6,0.0032941176470588237,198.5802783861601,6.8742519900555115,191.7060263961046,6,0.022654138241729953,264.4036757024626,24.814481257839024,239.5891944446236,4,0.011822258459029759,-46.15940995022605,9.655969346188428,-55.81537929641446,8,0.012104830179809614,64.16550387364772,21.81654427609095,42.348959597556764,6,0.008344582157319917,167.96124960132275,123.3065853619208,44.65466423940198,30,0.006403779458750922,264.4036757024626,24.814481257839024,239.5891944446236,4,0.011822258459029759,18.006093923421673,31.47251362227938,-13.466419698857697,14,0.010265337975747389,0.2222222222222222,-129.24150099216993,270.77743898516786,46.49289199882389,-28.48679807540222,71,100,-44.938933321137085,269.4317520220496,0.5781193768957894,0.2693434784843967
two_sided_premium_persistence_lb390_thr0_flat,two_sided,premium_persistence,390,0.0,flat,17.082484283958976,34.512199481226,-17.429715197267033,6,0.03184713375796178,79.74271250549059,52.52989218092646,27.212820324564127,4,0.027391975308641976,0.0,0.0,0.0,0,0.0,-12.131967571376023,1.3070591162322185,-13.439026687608242,2,0.010435850214855739,126.99387371865711,5.091874044065903,121.90199967459121,2,0.021240024554941683,0.0,0.0,0.0,0,0.0,-68.65055004010578,54.98450301267803,-123.6350530527838,8,0.07557428299578632,-52.887711470805954,24.628110493377804,-77.51582196418376,6,0.019411764705882354,112.22821825833229,19.956435423452984,92.27178283487932,4,0.06178401338653623,149.74493526485054,25.177214830987932,124.56772043386263,6,0.04606604158173665,-177.99282460317477,16.06445870236468,-194.05728330553947,8,0.0408978728405218,-58.34828437293105,18.839818109092633,-77.1881024820237,4,0.040127623021229596,0.0,0.0,0.0,0,0.0,-68.65055004010578,54.98450301267803,-123.6350530527838,8,0.07557428299578632,-52.887711470805954,24.628110493377804,-77.51582196418376,6,0.019411764705882354,112.22821825833229,19.956435423452984,92.27178283487932,4,0.06178401338653623,149.74493526485054,25.177214830987932,124.56772043386263,6,0.04606604158173665,-177.99282460317477,16.06445870236468,-194.05728330553947,8,0.0408978728405218,-58.34828437293105,18.839818109092633,-77.1881024820237,4,0.040127623021229596,202.37705968415122,193.01007375195942,9.366985932191827,32,0.026379748218138124,149.74493526485054,25.177214830987932,124.56772043386263,6,0.04606604158173665,-236.34110897610583,34.90427681145731,-271.2453857875631,12,0.04052107095689759,0.3333333333333333,-123.6350530527838,-137.31067942150867,-39.18981180657255,-197.15129716953328,247,428,-306.1496625990205,112.11597750775972,0.5664181790139324,0.25944167394992546
two_sided_premium_persistence_lb780_thr50_flat,two_sided,premium_persistence,780,50.0,flat,-27.349423157581043,65.07591305474165,-92.4253362123227,22,0.22219500244977952,109.4553819627464,82.12796607518601,27.32741588756039,14,0.1297582304526749,13.931082105242965,5.415501950625559,8.515580154617407,2,0.028324247452002845,-180.41085775945652,27.381375173179325,-207.79223293263587,14,0.1607120933087784,61.044416914688426,8.9944065343428,52.050010380345626,10,0.09588704726826273,93.35228547283414,14.437605150160802,78.91468032267333,8,0.08620304114490161,424.2329136279199,148.41448870982597,275.8184249180939,24,0.28163653663177923,-139.75311791227796,72.77282583398492,-212.52594374626284,16,0.11105882352941177,1.5870699192532811,61.72808283631987,-60.1410129170666,24,0.23812588492727507,327.49408732184907,45.65747383764365,281.8366134842053,20,0.2378040494632423,-317.13821635260155,35.96975211146575,-353.10796846406726,18,0.17687154777294628,129.54471346675155,25.38982459536292,104.15488887138864,11,0.09461283593078905,0.0,0.0,0.0,0,0.0,424.2329136279199,148.41448870982597,275.8184249180939,24,0.28163653663177923,-139.75311791227796,72.77282583398492,-212.52594374626284,16,0.11105882352941177,1.5870699192532811,61.72808283631987,-60.1410129170666,24,0.23812588492727507,327.49408732184907,45.65747383764365,281.8366134842053,20,0.2378040494632423,-317.13821635260155,35.96975211146575,-353.10796846406726,18,0.17687154777294628,129.54471346675155,25.38982459536292,104.15488887138864,11,0.09461283593078905,356.0897511733696,486.3481653183669,-130.25841414499723,134,0.14731423577924027,327.49408732184907,45.65747383764365,281.8366134842053,20,0.2378040494632423,-187.59350288584997,61.359576706828676,-248.95307959267865,29,0.1366310481450354,0.5555555555555556,-212.52594374626284,-97.37488025347056,69.30076022694465,-256.89426311279465,933,1343,-310.31265629950735,98.37763542360702,0.500550100251915,0.20326975476839237
two_sided_premium_persistence_lb120_thr50_flat,two_sided,premium_persistence,120,50.0,flat,-12.341161206714801,47.72512077286477,-60.066281979579564,12,0.05940715335619794,201.64613217075635,64.40448915154506,137.24164301921127,8,0.03189300411522634,20.046952723014044,13.246676025388876,6.800276697625169,6,0.008414316188670301,-51.98050952605726,18.4604680066097,-70.44097753266698,10,0.08054020871700429,124.55648308458578,6.236715349356746,118.31976773522904,4,0.020257826887661142,32.30404111371321,4.017636995439569,28.28640411827364,6,0.0365608228980322,54.086022899566544,87.99116980185798,-33.905146902291435,14,0.09419600380589914,-50.11953829632709,28.44229355938937,-78.56183185571648,8,0.011529411764705882,152.50155469021644,51.85167024279033,100.64988444742613,18,0.09138885313425152,-35.091507896920504,29.09051182026911,-64.1820197171896,12,0.06087783666259003,-240.65088567807535,10.273108853521961,-250.9239945315973,10,0.03831237513221295,64.231239477337,6.7718521049762765,57.459387372360716,8,0.02380660203705976,0.0,0.0,0.0,0,0.0,54.086022899566544,87.99116980185798,-33.905146902291435,14,0.09419600380589914,-50.11953829632709,28.44229355938937,-78.56183185571648,8,0.011529411764705882,152.50155469021644,51.85167024279033,100.64988444742613,18,0.09138885313425152,-35.091507896920504,29.09051182026911,-64.1820197171896,12,0.06087783666259003,-240.65088567807535,10.273108853521961,-250.9239945315973,10,0.03831237513221295,64.231239477337,6.7718521049762765,57.459387372360716,8,0.02380660203705976,470.6999776527532,322.3762399052424,148.32373774751085,86,0.04714765558862885,-35.091507896920504,29.09051182026911,-64.1820197171896,12,0.06087783666259003,-176.41964620073836,17.04496095849824,-193.4646071592366,18,0.03121623244086925,0.5555555555555556,-78.56183185571648,-109.32288912891536,-35.60117154475684,-140.8184746559815,153,367,-210.50956811773483,48.99504285777009,0.5580381471389646,0.25219268932188577
two_sided_premium_persistence_lb120_thr75_flat,two_sided,premium_persistence,120,75.0,flat,25.662775493131562,55.10471853972774,-29.44194304659617,18,0.13008329250367467,262.29530143295324,66.48205699739377,195.81324443555945,16,0.18775720164609053,14.402043514003537,29.54100284048816,-15.138959326484624,16,0.03792367859682389,26.81738615994078,57.90132069606327,-31.08393453612246,22,0.20441988950276244,158.56496992629587,19.4553583956088,139.1096115306871,12,0.11712707182320442,51.56465677142563,4.361754721984078,47.202902049441555,6,0.046735241502683364,256.5426411914551,113.33812725254015,143.2045139389149,22,0.2191110507000136,-150.12729746270992,85.84752635346385,-235.97482381617377,14,0.08541176470588235,129.98568173028247,55.85765629036671,74.12802543991573,22,0.17917363882095508,-157.9286073611641,55.02066495716235,-212.94927231832645,28,0.2508493001766544,-327.8781532906194,22.613323032792493,-350.491476323412,14,0.10541779292513809,-12.046017519509178,43.38675943215648,-55.43277695166567,11,0.10185298809669899,0.0,0.0,0.0,0,0.0,256.5426411914551,113.33812725254015,143.2045139389149,22,0.2191110507000136,-150.12729746270992,85.84752635346385,-235.97482381617377,14,0.08541176470588235,129.98568173028247,55.85765629036671,74.12802543991573,22,0.17917363882095508,-157.9286073611641,55.02066495716235,-212.94927231832645,28,0.2508493001766544,-327.8781532906194,22.613323032792493,-350.491476323412,14,0.10541779292513809,-12.046017519509178,43.38675943215648,-55.43277695166567,11,0.10185298809669899,775.7081587567782,487.8895220876366,287.8186366691416,148,0.1312023812774789,-157.9286073611641,55.02066495716235,-212.94927231832645,28,0.2508493001766544,-339.9241708101286,66.00008246494897,-405.92425327507766,25,0.10367391043342539,0.5555555555555556,-235.97482381617377,-331.0548889242625,-149.45263154386268,-190.47153926626592,461,1266,-471.92433574002655,20.57834564633525,0.5082000925402292,0.21784998200606653
two_sided_premium_persistence_lb780_thr0_flat,two_sided,premium_persistence,780,0.0,flat,-0.5003460573060892,36.785289242913436,-37.285635300219504,14,0.14514943655071044,72.81963905089839,43.08377735087264,29.735861700025747,8,0.07098765432098765,0.0,0.0,0.0,0,0.0,-102.26045910094683,8.64352529102127,-110.90398439196808,6,0.07845303867403315,84.85633613074306,6.958031002533038,77.89830512821003,6,0.06936771025168816,18.573473542558006,2.799767287914918,15.773706254643088,4,0.030970483005366728,186.40439598629933,90.46530426442519,95.93909172187416,14,0.11240994970776132,-82.16912707589508,54.63461468589041,-136.8037417617855,10,0.07211764705882354,75.7814153249825,32.3064580736495,43.474957251333,10,0.10567640622988801,32.99298115413407,40.620707585312495,-7.627726431178421,12,0.12474520994700367,-136.5113105537752,31.30137872573877,-167.812689279514,12,0.10729815489481725,35.262509814897314,20.721955589063498,14.540554225833807,7,0.07264695054607927,0.0,0.0,0.0,0,0.0,186.40439598629933,90.46530426442519,95.93909172187416,14,0.11240994970776132,-82.16912707589508,54.63461468589041,-136.8037417617855,10,0.07211764705882354,75.7814153249825,32.3064580736495,43.474957251333,10,0.10567640622988801,32.99298115413407,40.620707585312495,-7.627726431178421,12,0.12474520994700367,-136.5113105537752,31.30137872573877,-167.812689279514,12,0.10729815489481725,35.262509814897314,20.721955589063498,14.540554225833807,7,0.07264695054607927,253.5053278013333,275.6767671992204,-22.171439397887074,72,0.07481089052131407,32.99298115413407,40.620707585312495,-7.627726431178421,12,0.12474520994700367,-101.24880073887788,52.02333431480226,-153.2721350536802,19,0.0903469804298235,0.5555555555555556,-136.8037417617855,-183.07130088274567,-35.19154458265561,-66.05725615622227,689,816,-205.2954693684824,-61.42891330751879,0.5397768752249241,0.23512415814096962
two_sided_premium_persistence_lb780_thr25_flat,two_sided,premium_persistence,780,25.0,flat,21.80734553865804,46.324412631308995,-24.51706709265096,18,0.18324350808427242,146.11292188816628,70.23825893686232,75.87466295130395,10,0.11008230452674897,0.0,0.0,0.0,0,0.0,-188.14530631748204,21.19733604896651,-209.3426423664486,10,0.11553100061387354,102.42006085919186,7.51589977861398,94.9041610805779,8,0.08532842234499693,60.67762237570662,3.1551950720999664,57.522427303606655,4,0.04785330948121646,233.08687724399311,122.1466396532067,110.94023759078641,20,0.1845861084681256,-72.60378477744744,68.99432186511795,-141.5981066425654,14,0.08788235294117647,-11.412941779589403,33.6776366729885,-45.090578452577915,16,0.17402497103874373,102.83622186520347,44.558400350396035,58.27782151480745,18,0.19608642478597635,-359.5005437164911,40.215005360402266,-399.71554907689335,16,0.13538606181689974,37.47219702357363,22.93837376987936,14.533823253694255,9,0.07890538716406921,0.0,0.0,0.0,0,0.0,233.08687724399311,122.1466396532067,110.94023759078641,20,0.1845861084681256,-72.60378477744744,68.99432186511795,-141.5981066425654,14,0.08788235294117647,-11.412941779589403,33.6776366729885,-45.090578452577915,16,0.17402497103874373,102.83622186520347,44.558400350396035,58.27782151480745,18,0.19608642478597635,-359.5005437164911,40.215005360402266,-399.71554907689335,16,0.13538606181689974,37.47219702357363,22.93837376987936,14.533823253694255,9,0.07890538716406921,291.942795031197,373.24970065916494,-81.30690562796796,100,0.10749883940031131,102.83622186520347,44.558400350396035,58.27782151480745,18,0.19608642478597635,-322.02834669291747,63.15337913028163,-385.18172582319903,25,0.10775603313723137,0.4444444444444444,-209.3426423664486,-408.21080993635957,-40.677421261410274,-281.3509254315072,780,1015,-448.33510495348077,-64.80989421411661,0.5216081435401779,0.22029715695851113
two_sided_premium_persistence_lb120_thr25_flat,two_sided,premium_persistence,120,25.0,flat,-47.5386988155968,51.46181715542855,-99.00051597102537,10,0.017760901518863302,80.96030568511381,7.306642715085869,73.65366297002794,2,0.003472222222222222,-12.560024065972897,7.5389313705160275,-20.098955436488925,2,0.0005925574780753733,-173.25056872641298,28.594557542560295,-201.84512626897327,8,0.01632903621853898,101.98648315647318,6.236424418591766,95.75005873788142,4,0.009085328422344998,-31.35531927704882,1.559392119207478,-32.9147113962563,2,0.0007826475849731664,-121.93144715183735,65.53824065856426,-187.46968781040164,10,0.04132119070273209,-42.01995083299437,4.488704737097291,-46.50865557009166,6,0.004352941176470588,160.6317202716312,27.970759675535856,132.66096059609538,10,0.045308276483459906,134.36496223484085,29.068499088305053,105.2964631465358,8,0.02269330072020655,-174.06098915350833,26.33298579088141,-200.39397494438975,8,0.021506640028205428,94.28415486001818,5.339922635023862,88.94423222499431,6,0.01313044545342987,0.0,0.0,0.0,0,0.0,-121.93144715183735,65.53824065856426,-187.46968781040164,10,0.04132119070273209,-42.01995083299437,4.488704737097291,-46.50865557009166,6,0.004352941176470588,160.6317202716312,27.970759675535856,132.66096059609538,10,0.045308276483459906,134.36496223484085,29.068499088305053,105.2964631465358,8,0.02269330072020655,-174.06098915350833,26.33298579088141,-200.39397494438975,8,0.021506640028205428,94.28415486001818,5.339922635023862,88.94423222499431,6,0.01313044545342987,-85.07749975664503,200.69547039258742,-285.77297014923244,54,0.0148010595592452,134.36496223484085,29.068499088305053,105.2964631465358,8,0.02269330072020655,-79.77683429349014,31.672908425905266,-111.44974271939546,14,0.017409052707407852,0.3333333333333333,-201.84512626897327,-291.92624972209205,0.3369842615530416,-80.11381855504318,112,178,-143.12265114530067,-203.45290395078587,0.5742121227700375,0.26507634568916766
two_sided_premium_persistence_lb120_thr100_flat,two_sided,premium_persistence,120,100.0,flat,127.77774627560134,85.4491618709248,42.328584404676576,24,0.2269720725134738,250.82349513077418,165.62806913626028,85.1954259945139,42,0.3506944444444444,-94.12314537575739,35.65162393851167,-129.77476931426907,18,0.13261436359326856,-47.18414634276691,53.80631751013073,-100.99046385289766,32,0.3138121546961326,169.84919118048225,36.678633597731675,133.17055758275058,22,0.18477593615715163,75.72396054081665,5.415139196396768,70.30882134441987,8,0.06082289803220036,395.0886386705843,163.35349349157352,231.73514517901083,32,0.35680304471931495,-269.8890165058376,81.23080791373923,-351.11982441957684,22,0.14635294117647057,172.85989034477643,58.08493654254686,114.77495380222956,28,0.24469043634959453,-201.2530310297489,89.7063797472747,-290.9594107770236,40,0.4209811115640712,-236.5058366064865,61.89523086685458,-298.401067473341,20,0.14055705723351744,124.48724167606784,39.56266171902313,84.92457995704467,23,0.19425696404466805,0.0,0.0,0.0,0,0.0,395.0886386705843,163.35349349157352,231.73514517901083,32,0.35680304471931495,-269.8890165058376,81.23080791373923,-351.11982441957684,22,0.14635294117647057,172.85989034477643,58.08493654254686,114.77495380222956,28,0.24469043634959453,-201.2530310297489,89.7063797472747,-290.9594107770236,40,0.4209811115640712,-236.5058366064865,61.89523086685458,-298.401067473341,20,0.14055705723351744,124.48724167606784,39.56266171902313,84.92457995704467,23,0.19425696404466805,780.9266139186732,685.2981831978154,95.62843072085764,228,0.2194762281875529,-201.2530310297489,89.7063797472747,-290.9594107770236,40,0.4209811115640712,-112.01859493041866,101.45789258587772,-213.47648751629632,43,0.16682674990995316,0.6666666666666666,-351.11982441957684,-408.8074675724623,33.194339710309606,-145.21293464072826,940,1839,-314.9343801021741,-272.831436350675,0.4492519664798725,0.18061796308673075
