strategy,month,gross_bps,cost_bps,net_bps,trades,long_gross_bps,short_gross_bps,long_minutes,short_minutes
train_all_rf_depth4_h60_edge5_p0.4,2025-05,587.9704566967714,228.02219053507613,359.94826616169524,104,300.47394148296826,287.49651521380315,1189,713
train_all_rf_depth4_h60_edge5_p0.4,2025-06,346.8854094506124,340.8805813132026,6.004828137409837,136,117.12286272673289,229.76254672387952,388,1650
train_all_rf_depth4_h60_edge5_p0.4,2025-07,302.7949901859106,260.5638594245439,42.23113076136671,136,164.61552806052106,138.17946212538956,1119,429
train_all_rf_depth4_h60_edge5_p0.4,2025-08,218.87068874968384,84.69689538932259,134.1737933603613,114,128.49617351993635,90.37451522974749,264,926
train_all_rf_depth4_h60_edge5_p0.4,2025-09,379.5082181195042,234.30833680973873,145.1998813097655,228,308.91428149971034,70.59393661979385,1491,262
train_all_rf_depth4_h60_edge5_p0.4,2025-10,643.4485736186879,567.2263142606218,76.22225935806618,278,329.3785595781884,314.0700140404995,2519,1398
train_all_rf_depth4_h60_edge5_p0.4,2025-11,938.6760693042539,336.8142429112586,601.8618263929955,132,342.25126049423517,596.4248088100188,856,939
train_all_rf_depth4_h60_edge5_p0.4,2025-12,576.3088935117455,368.49972341658946,207.80917009515596,188,543.3479351285087,32.96095838323687,2121,1535
train_all_rf_depth4_h60_edge5_p0.4,2026-01,301.0075209780805,245.40689026150045,55.60063071658003,146,141.9504581375186,159.05706284056185,682,883
train_all_rf_depth4_h60_edge5_p0.4,2026-02,239.80192464843066,135.48424429835637,104.31768035007427,148,167.82419872736654,71.9777259210641,278,842
train_all_rf_depth4_h60_edge5_p0.4,2026-03,283.03029588838234,301.5637729613621,-18.533477072979746,234,112.93381309383399,170.09648279454836,853,1100
train_all_rf_depth4_h60_edge5_p0.4,2026-04,104.88166993787296,358.0206186526552,-253.1389487147822,246,123.46957702225048,-18.58790708437752,1464,1457
