strategy,sample,observations,gross_bps,cost_bps,net_bps,turnover,trades,max_drawdown_bps,tstat_style
timing_extension_actual_bidask_boundary_cost,feb,7354,402.05472825238786,137.45341013058137,264.6013181218066,50.0,50,-776.1313194443909,0.46103888068813753
timing_extension_actual_bidask_boundary_cost,jan,7756,287.1849592791076,142.29320363541225,144.89175564369535,44.0,44,-263.85932523876045,0.36964368837964307
timing_extension_actual_bidask_boundary_cost,mar,8490,870.7429451645155,232.3206844087627,638.4222607557529,58.0,58,-586.0902912419044,1.0739810542475847
