signal_id,stock,spread_type,beta,alpha,entry_z,exit_z,median_stock_spread_bps,train_half_life_minutes,train_adf_p,validation_quarter_net_bps,validation_half_net_bps,validation_last_trade_net_bps,validation_trades
CSCO_price_regression_residual_e1.0_x0.0,CSCO,price_regression_residual,-1.4733000785673045,11.708813032109092,1.0,0.0,2.316423442204774,7391.234185010117,0.3717772526385203,1074.626907047092,928.5575850984578,1268.5385841257537,42
INTC_price_regression_residual_e1.0_x0.0,INTC,price_regression_residual,-0.3187280621499704,6.526560365056239,1.0,0.0,4.314994606255883,10856.184790389518,0.5897167392835012,1120.2227824661918,1054.3981858093257,1233.4301554946946,40
MU_price_regression_residual_e1.25_x0.5,MU,price_regression_residual,-0.2888047457074622,6.927083966875911,1.25,0.5,8.963859348897806,7607.930038454041,0.3596504106921576,1071.8766508441204,924.2510019025544,1179.2363924977778,42
MSFT_price_regression_residual_e1.5_x0.5,MSFT,price_regression_residual,2.665953694326311,-11.070050615534992,1.5,0.5,5.862155598358026,3347.222044882475,0.2130259674802997,785.8089365997959,332.9889909653112,515.690950945018,22
LRCX_price_regression_residual_e1.0_x0.0,LRCX,price_regression_residual,-0.3855669581542206,7.310598506669814,1.0,0.0,9.446167115016932,7924.151344920195,0.3880021810675746,624.419957193358,500.4926359425478,735.8577675822797,40
AAPL_price_regression_residual_e1.25_x0.5,AAPL,price_regression_residual,-0.4619260692598219,7.977908039733875,1.25,0.5,2.546769614412299,15909.511229187783,0.757881351547053,602.763072095387,519.636290376706,616.6555482607539,36
AAPL_direct_log_price_e1.0_x0.25,AAPL,direct_log_price,0.1301668238830161,0.0,1.0,0.25,2.546769614412299,23563.870755673703,0.8405966472918455,650.6378763631324,564.8286568010682,712.7232924645809,48
QCOM_price_regression_residual_e1.0_x0.5,QCOM,price_regression_residual,-0.516978634126997,8.081071228272378,1.0,0.5,10.114291493881236,18868.399421478374,0.8112186541728145,567.9232064403695,379.0512488022847,684.9733967943106,46
AVGO_price_regression_residual_e1.0_x0.5,AVGO,price_regression_residual,-0.1047121730604369,6.052311947694292,1.0,0.5,10.160862190033328,19803.333045808868,0.8062268132941632,571.2224993271349,484.7847363781578,640.4442634365015,44
APH_price_regression_residual_e1.0_x0.0,APH,price_regression_residual,-0.3990591379986461,7.347552933169431,1.0,0.0,8.251203300481633,12304.137184860369,0.6471842816495813,368.5273252391957,227.51954004393545,567.1533914794846,38
AVGO_direct_log_price_e1.0_x0.5,AVGO,direct_log_price,0.1460693017072228,0.0,1.0,0.5,10.160862190033328,23638.27525087847,0.842468572195451,535.8046981294195,422.42664590894873,628.5999712327417,54
PLTR_price_regression_residual_e1.0_x0.5,PLTR,price_regression_residual,-0.1104026760449724,6.012914223082181,1.0,0.5,4.272819526785905,20775.152264342138,0.8201073802128649,478.7038464114952,416.99723055428046,513.5133970022921,40
IBM_direct_log_price_e1.0_x0.25,IBM,direct_log_price,0.0988806988935217,0.0,1.0,0.25,11.112794880511773,23056.87382102122,0.837060467248444,496.30484804443574,418.88639551656746,568.7958153866912,44
QCOM_direct_log_price_e1.25_x0.0,QCOM,direct_log_price,0.1271294507611399,0.0,1.25,0.0,10.114291493881236,21643.95381561591,0.8242127966045728,470.67299510164713,410.96288833884984,520.1436489985767,36
AMD_direct_log_price_e1.0_x0.5,AMD,direct_log_price,0.144748344885386,0.0,1.0,0.5,6.831767719897378,29047.07547177975,0.8715168261313173,566.2527518957531,455.8692285919414,650.4295169221131,54
MSFT_direct_log_price_e1.0_x0.5,MSFT,direct_log_price,0.098901893129074,0.0,1.0,0.5,5.862155598358026,20436.152186131152,0.8149666885835986,418.3338132724129,349.27763524844715,471.120628389432,46
NVDA_price_regression_residual_e1.0_x0.5,NVDA,price_regression_residual,-0.032886248484465,5.621032961700136,1.0,0.5,1.4857001361892357,20884.58883437874,0.8182622975916429,423.51112942274193,370.9760172392143,467.52504550672927,40
NVDA_cum_residual_return_e1.0_x0.0,NVDA,cum_residual_return,0.3337749645659467,0.0,1.0,0.0,1.4857001361892357,2824.1409114889666,0.461858509371264,162.7542741248485,80.68765251958612,140.57322708332887,44
