sample,old_gross_bps,old_cost_bps,old_net_bps,new_gross_bps,new_bidask_cost_bps,new_bidask_net_bps,turnover
test,-550.2508222152436,302.1781744978589,-852.4289967131025,-550.2508222152436,302.0873683389893,-852.3381905542329,99.0
train,-125.87013543450709,557.2014418833724,-683.0715773178795,-125.87013543450709,607.4173393888051,-733.2874748233123,120.0
validation,407.96859257236304,202.22997206697428,205.7386205053887,407.96859257236304,202.20529160063145,205.76330097173158,46.0
