period,gross_bps,cost_bps,net_bps,trades,avg_abs_position,avg_position,long_minutes,short_minutes,long_gross_bps,short_gross_bps,xlk_buyhold_bps
train,760.4017624392334,1795.1623552696635,-1034.7605928304301,386,0.7522187935224883,-0.28904393893880226,16961,38130,686.6609149542758,73.74084748495768,-11.605817822797349
validation,407.96859257236304,202.22997206697428,205.7386205053887,46,0.9020247316211442,0.18806903111835846,4011,2627,2.0673357452860586,405.901256827077,-309.4288019569458
test,-550.2508222152436,302.1781744978589,-852.4289967131025,99,0.8060391403529835,-0.13885220314563573,5557,7870,-80.3617197464579,-469.88910246878567,969.9635314285438
all,618.1195327963529,2299.570501834497,-1681.4509690381435,531,0.7727726080921289,-0.22721710966017172,26529,48627,608.3665309531038,9.75300184324901,648.9289116488006
