trial_id,strategy_family,universe,pair_or_basket,method,signal,hedge_method,execution_mode,passive_fill_prob,adverse_selection_bps,entry_z,exit_z,max_hold,z_stop,beta,adf_p,ou_half_life_minutes,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_cost_share,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_cost_share,test_2x_cost_net_bps,test_latency1_net_bps,sharpe,dsr_pvalue,selected_flag,gate_selected_flag,skip_reason
0,pair_trading,XLK_top20_cleaned,XLK-NVDA,baseline,zscore,ols,aggressive_cross,0.0,0.0,1.0,0.5,120.0,4.0,0.3337749645659467,0.46185850937126405,162.55641808859653,214.40417233031545,283.9078262664404,-69.50365393612486,98.0,1.3241711818417703,-77.7918831264246,1238.4717708068667,-1316.2636539332916,355.0,15.920321260177577,-2554.735424740158,-1466.7731782318601,-5.6327970938572545,1.0,False,False,
1,pair_trading,XLK_top20_cleaned,XLK-NVDA,baseline,zscore,ols,aggressive_cross,0.0,0.0,1.0,0.5,120.0,,0.3337749645659467,0.46185850937126405,162.55641808859653,214.40417233031545,283.9078262664404,-69.50365393612486,98.0,1.3241711818417703,-45.78539867596883,961.9282871077988,-1007.7136857837677,281.0,21.009498987123198,-1969.6419728915662,-1225.6270044224548,-4.3303740198365155,1.0,False,False,
2,pair_trading,XLK_top20_cleaned,XLK-NVDA,baseline,zscore,ols,aggressive_cross,0.0,0.0,1.5,0.5,120.0,4.0,0.3337749645659467,0.46185850937126405,162.55641808859653,-94.89034490479526,221.70542867944442,-316.5957735842397,50.0,2.3364382214216253,-262.7986747651014,818.9969697144044,-1081.795644479506,249.0,3.116442540840255,-1900.79261419391,-1145.4680461964026,-5.427749752220726,1.0,False,False,
3,pair_trading,XLK_top20_cleaned,XLK-NVDA,baseline,zscore,ols,aggressive_cross,0.0,0.0,1.5,0.5,120.0,,0.3337749645659467,0.46185850937126405,162.55641808859653,-94.89034490479526,221.70542867944442,-316.5957735842397,50.0,2.3364382214216253,-230.79219031464558,542.4534860153364,-773.2456763299821,175.0,2.3503979284385403,-1315.6991623453184,-904.3218723869973,-3.9020077548290777,1.0,False,False,
4,pair_trading,XLK_top20_cleaned,XLK-NVDA,baseline,zscore,ols,aggressive_cross,0.0,0.0,2.0,0.5,120.0,4.0,0.3337749645659467,0.46185850937126405,162.55641808859653,36.689104694404755,98.77589291158331,-62.086788217178494,36.0,2.6922404821354786,-524.6634684299216,564.0108896561833,-1088.674358086105,177.0,1.0749955420834054,-1652.6852477422879,-1006.2143502984876,-6.7348488369669255,1.0,True,False,
5,pair_trading,XLK_top20_cleaned,XLK-NVDA,baseline,zscore,ols,aggressive_cross,0.0,0.0,2.0,0.5,120.0,,0.3337749645659467,0.46185850937126405,162.55641808859653,36.689104694404755,98.77589291158331,-62.086788217178494,36.0,2.6922404821354786,-492.65698397946574,287.4674059571152,-780.1243899365809,103.0,0.5835041728934407,-1067.5917958936961,-765.0681764890822,-4.868546813990948,1.0,False,False,
6,pair_trading,XLK_top20_cleaned,XLK-AAPL,baseline,zscore,ols,aggressive_cross,0.0,0.0,1.0,0.5,120.0,4.0,0.13016682388301618,0.189768076937123,238.85365754927724,-283.7884420028184,226.93441657175725,-510.7228585745753,90.0,0.7996605322266912,-841.9279023639336,770.1515475914993,-1612.0794499554331,293.0,0.9147476231980156,-2382.230997546932,-1826.4035731484762,-5.693570931952728,1.0,False,False,
7,pair_trading,XLK_top20_cleaned,XLK-AAPL,baseline,zscore,ols,aggressive_cross,0.0,0.0,1.0,0.5,120.0,,0.13016682388301618,0.189768076937123,238.85365754927724,-283.7884420028184,226.93441657175725,-510.7228585745753,90.0,0.7996605322266912,-841.9279023639336,770.1515475914993,-1612.0794499554331,293.0,0.9147476231980156,-2382.230997546932,-1826.4035731484762,-5.693570931952728,1.0,False,False,
8,pair_trading,XLK_top20_cleaned,XLK-AAPL,baseline,zscore,ols,aggressive_cross,0.0,0.0,1.5,0.5,120.0,4.0,0.13016682388301618,0.189768076937123,238.85365754927724,-81.43224161352192,176.44795525518705,-257.880196868709,66.0,2.166807050364774,-186.81578941349346,598.966627823426,-785.7824172369196,207.0,3.206188458180524,-1384.7490450603457,-709.1442018592649,-3.181314222022728,1.0,False,False,
9,pair_trading,XLK_top20_cleaned,XLK-AAPL,baseline,zscore,ols,aggressive_cross,0.0,0.0,1.5,0.5,120.0,,0.13016682388301618,0.189768076937123,238.85365754927724,-81.43224161352192,176.44795525518705,-257.880196868709,66.0,2.166807050364774,-186.81578941349346,598.966627823426,-785.7824172369196,207.0,3.206188458180524,-1384.7490450603457,-709.1442018592649,-3.181314222022728,1.0,False,False,
