symbol,notional_usd,median_minute_dollar_volume,p25_minute_dollar_volume,participation_median_minute,participation_p25_minute,median_halfspread_bps,sqrt_impact_proxy_bps,all_in_oneway_cost_proxy_bps
AAPL,100000.0,14650850.040000003,10074793.70335935,0.006825542526677857,0.009925761553475371,1.2831558301100432,0.8261684166486792,2.1093242467587223
AAPL,500000.0,14650850.040000003,10074793.70335935,0.03412771263338928,0.04962880776737686,1.2831558301100432,1.8473687404898156,3.130524570599859
AAPL,1000000.0,14650850.040000003,10074793.70335935,0.06825542526677857,0.09925761553475372,1.2831558301100432,2.6125739275048,3.895729757614843
AAPL,5000000.0,14650850.040000003,10074793.70335935,0.34127712633389284,0.4962880776737686,1.2831558301100432,5.841892898144341,7.125048728254384
ADI,100000.0,1240765.6404000001,702300.9750000001,0.08059539750614131,0.1423890946470635,12.861238087859055,2.8389328541925978,15.700170942051653
ADI,500000.0,1240765.6404000001,702300.9750000001,0.40297698753070654,0.7119454732353175,12.861238087859055,6.348046845532148,19.209284933391203
ADI,1000000.0,1240765.6404000001,702300.9750000001,0.8059539750614131,1.423890946470635,12.861238087859055,8.977493943531307,21.838732031390364
ADI,5000000.0,1240765.6404000001,702300.9750000001,4.029769875307066,7.119454732353176,12.861238087859055,20.074286725328662,32.93552481318772
AMAT,100000.0,2461016.77126221,1465319.04815702,0.040633611752556996,0.06824452335194393,12.033407454106573,2.0157780570429127,14.049185511149485
AMAT,500000.0,2461016.77126221,1465319.04815702,0.203168058762785,0.34122261675971965,12.033407454106573,4.507416763100402,16.540824217206975
AMAT,1000000.0,2461016.77126221,1465319.04815702,0.40633611752557,0.6824452335194393,12.033407454106573,6.374449917644424,18.407857371750996
AMAT,5000000.0,2461016.77126221,1465319.04815702,2.0316805876278496,3.4122261675971965,12.033407454106573,14.253703335020866,26.28711078912744
AMD,100000.0,13357265.020732298,8213513.418749999,0.007486562544412075,0.0121750577252017,4.585263491788619,0.8652492441147853,5.450512735903405
AMD,500000.0,13357265.020732298,8213513.418749999,0.03743281272206037,0.060875288626008495,4.585263491788619,1.93475612732097,6.520019619109589
AMD,1000000.0,13357265.020732298,8213513.418749999,0.07486562544412075,0.12175057725201699,4.585263491788619,2.7361583551417623,7.321421846930381
AMD,5000000.0,13357265.020732298,8213513.418749999,0.3743281272206037,0.608752886260085,4.585263491788619,6.118236079300992,10.703499571089612
ANET,100000.0,1396569.253979575,838124.325,0.0716040394810686,0.11931404090914556,9.714187035007974,2.675893112235027,12.390080147243001
ANET,500000.0,1396569.253979575,838124.325,0.358020197405343,0.5965702045457277,9.714187035007974,5.983478899480995,15.69766593448897
ANET,1000000.0,1396569.253979575,838124.325,0.716040394810686,1.1931404090914555,9.714187035007974,8.461917009819263,18.176104044827238
ANET,5000000.0,1396569.253979575,838124.325,3.58020197405343,5.965702045457278,9.714187035007974,18.921421653917633,28.635608688925608
APH,100000.0,1574685.4204004002,950341.82840736,0.063504747490818,0.10522529579444695,6.967618907917332,2.5200148311233805,9.487633739040714
APH,500000.0,1574685.4204004002,950341.82840736,0.31752373745409,0.5261264789722347,6.967618907917332,5.634924466699531,12.602543374616864
APH,1000000.0,1574685.4204004002,950341.82840736,0.63504747490818,1.0522529579444695,6.967618907917332,7.968986603754457,14.93660551167179
APH,5000000.0,1574685.4204004002,950341.82840736,3.1752373745409,5.261264789722348,6.967618907917332,17.81919575778015,24.786814665697484
AVGO,100000.0,11728323.717500001,7559749.221653303,0.008526367655659825,0.013227952021684945,4.499611105225995,0.9233833253670886,5.422994430593083
AVGO,500000.0,11728323.717500001,7559749.221653303,0.04263183827829912,0.06613976010842472,4.499611105225995,2.0647478848106156,6.56435899003661
AVGO,1000000.0,11728323.717500001,7559749.221653303,0.08526367655659824,0.13227952021684944,4.499611105225995,2.9199944615803335,7.419605566806329
AVGO,5000000.0,11728323.717500001,7559749.221653303,0.4263183827829912,0.6613976010842473,4.499611105225995,6.529306110016525,11.028917215242519
CSCO,100000.0,1922191.9249812001,1253121.1510656,0.05202394136630141,0.079800743858616,1.2756729174646149,2.280875738971797,3.556548656436412
CSCO,500000.0,1922191.9249812001,1253121.1510656,0.2601197068315071,0.39900371929308,1.2756729174646149,5.100193200571005,6.37586611803562
CSCO,1000000.0,1922191.9249812001,1253121.1510656,0.5202394136630142,0.79800743858616,1.2756729174646149,7.212762394970557,8.488435312435172
CSCO,5000000.0,1922191.9249812001,1253121.1510656,2.6011970683150705,3.9900371929308,1.2756729174646149,16.12822702070835,17.403899938172966
IBM,100000.0,1627647.2100000002,975602.6175,0.0614383752115423,0.10250075000439407,4.796656045499241,2.4786765664673216,7.275332611966563
IBM,500000.0,1627647.2100000002,975602.6175,0.30719187605771153,0.5125037500219704,4.796656045499241,5.542489296856708,10.339145342355948
