stock,pair,spread_type,execution_scenario,beta,entry_z,exit_z,sample,gross_bps,cost_bps,net_bps,trades,avg_abs_position
NVDA,XLK-NVDA,cum_residual_return,no_cost_midpoint,0.3337749645659467,1.0,0.0,train,1349.1014795076444,0.0,1349.1014795076444,502,0.7430630579405243
NVDA,XLK-NVDA,cum_residual_return,no_cost_midpoint,0.3337749645659467,1.0,0.0,validation,244.82089573011095,0.0,244.82089573011095,44,0.7201524132091448
NVDA,XLK-NVDA,cum_residual_return,no_cost_midpoint,0.3337749645659467,1.0,0.0,test,-421.04595823153375,0.0,-421.04595823153375,103,0.7730724118772764
NVDA,XLK-NVDA,cum_residual_return,quarter_spread_cost,0.3337749645659467,1.0,0.0,train,1349.1014795076444,1254.6225550413062,94.47892446633847,502,0.7430630579405243
NVDA,XLK-NVDA,cum_residual_return,quarter_spread_cost,0.3337749645659467,1.0,0.0,validation,244.82089573011095,82.0666216052624,162.7542741248485,44,0.7201524132091448
NVDA,XLK-NVDA,cum_residual_return,quarter_spread_cost,0.3337749645659467,1.0,0.0,test,-421.04595823153375,191.46066171876828,-612.5066199503019,103,0.7730724118772764
NVDA,XLK-NVDA,cum_residual_return,half_spread_taker_cost,0.3337749645659467,1.0,0.0,train,1349.1014795076444,2509.2451100826124,-1160.143630574968,502,0.7430630579405243
NVDA,XLK-NVDA,cum_residual_return,half_spread_taker_cost,0.3337749645659467,1.0,0.0,validation,244.82089573011095,164.1332432105248,80.68765251958612,44,0.7201524132091448
NVDA,XLK-NVDA,cum_residual_return,half_spread_taker_cost,0.3337749645659467,1.0,0.0,test,-421.04595823153375,382.92132343753656,-803.9672816690703,103,0.7730724118772764
NVDA,XLK-NVDA,cum_residual_return,clipped_last_trade_proxy,0.3337749645659467,1.0,0.0,train,340.67011542825946,0.0,340.67011542825946,502,0.7430630579405243
NVDA,XLK-NVDA,cum_residual_return,clipped_last_trade_proxy,0.3337749645659467,1.0,0.0,validation,140.57322708332887,0.0,140.57322708332887,44,0.7201524132091448
NVDA,XLK-NVDA,cum_residual_return,clipped_last_trade_proxy,0.3337749645659467,1.0,0.0,test,-463.75169016855887,0.0,-463.75169016855887,103,0.7730724118772764
NVDA,XLK-NVDA,direct_log_price,no_cost_midpoint,0.3337749645659467,1.0,0.5,train,586.0940043904517,0.0,586.0940043904517,424,0.679223289930062
NVDA,XLK-NVDA,direct_log_price,no_cost_midpoint,0.3337749645659467,1.0,0.5,validation,583.7526085305323,0.0,583.7526085305323,56,0.5179226644086932
NVDA,XLK-NVDA,direct_log_price,no_cost_midpoint,0.3337749645659467,1.0,0.5,test,409.07501261822523,0.0,409.07501261822523,129,0.7180072844002716
NVDA,XLK-NVDA,direct_log_price,quarter_spread_cost,0.3337749645659467,1.0,0.5,train,586.0940043904517,1114.9531205318506,-528.8591161413985,424,0.679223289930062
NVDA,XLK-NVDA,direct_log_price,quarter_spread_cost,0.3337749645659467,1.0,0.5,validation,583.7526085305323,102.07250427391828,481.6801042566139,56,0.5179226644086932
NVDA,XLK-NVDA,direct_log_price,quarter_spread_cost,0.3337749645659467,1.0,0.5,test,409.07501261822523,261.0819394649785,147.99307315324654,129,0.7180072844002716
NVDA,XLK-NVDA,direct_log_price,half_spread_taker_cost,0.3337749645659467,1.0,0.5,train,586.0940043904517,2229.906241063701,-1643.8122366732491,424,0.679223289930062
NVDA,XLK-NVDA,direct_log_price,half_spread_taker_cost,0.3337749645659467,1.0,0.5,validation,583.7526085305323,204.14500854783657,379.60759998269566,56,0.5179226644086932
NVDA,XLK-NVDA,direct_log_price,half_spread_taker_cost,0.3337749645659467,1.0,0.5,test,409.07501261822523,522.163878929957,-113.08886631173188,129,0.7180072844002716
NVDA,XLK-NVDA,direct_log_price,clipped_last_trade_proxy,0.3337749645659467,1.0,0.5,train,-161.06330917363908,0.0,-161.06330917363908,424,0.679223289930062
NVDA,XLK-NVDA,direct_log_price,clipped_last_trade_proxy,0.3337749645659467,1.0,0.5,validation,472.08478667279064,0.0,472.08478667279064,56,0.5179226644086932
NVDA,XLK-NVDA,direct_log_price,clipped_last_trade_proxy,0.3337749645659467,1.0,0.5,test,280.1829151620394,0.0,280.1829151620394,129,0.7180072844002716
NVDA,XLK-NVDA,price_regression_residual,no_cost_midpoint,-0.032886248484465,1.0,0.5,train,1013.6537395089018,0.0,1013.6537395089018,418,0.6864587479388184
NVDA,XLK-NVDA,price_regression_residual,no_cost_midpoint,-0.032886248484465,1.0,0.5,validation,476.0462416062694,0.0,476.0462416062694,40,0.5684448207733559
NVDA,XLK-NVDA,price_regression_residual,no_cost_midpoint,-0.032886248484465,1.0,0.5,test,-210.00082343159755,0.0,-210.00082343159755,90,0.6465831224149639
NVDA,XLK-NVDA,price_regression_residual,quarter_spread_cost,-0.032886248484465,1.0,0.5,train,1013.6537395089018,648.1649233917622,365.48881611713944,418,0.6864587479388184
NVDA,XLK-NVDA,price_regression_residual,quarter_spread_cost,-0.032886248484465,1.0,0.5,validation,476.0462416062694,52.53511218352753,423.51112942274193,40,0.5684448207733559
NVDA,XLK-NVDA,price_regression_residual,quarter_spread_cost,-0.032886248484465,1.0,0.5,test,-210.00082343159755,83.67537836347697,-293.67620179507435,90,0.6465831224149639
NVDA,XLK-NVDA,price_regression_residual,half_spread_taker_cost,-0.032886248484465,1.0,0.5,train,1013.6537395089018,1296.3298467835243,-282.67610727462306,418,0.6864587479388184
NVDA,XLK-NVDA,price_regression_residual,half_spread_taker_cost,-0.032886248484465,1.0,0.5,validation,476.0462416062694,105.07022436705506,370.9760172392143,40,0.5684448207733559
NVDA,XLK-NVDA,price_regression_residual,half_spread_taker_cost,-0.032886248484465,1.0,0.5,test,-210.00082343159755,167.35075672695393,-377.3515801585514,90,0.6465831224149639
NVDA,XLK-NVDA,price_regression_residual,clipped_last_trade_proxy,-0.032886248484465,1.0,0.5,train,712.5966011579887,0.0,712.5966011579887,418,0.6864587479388184
NVDA,XLK-NVDA,price_regression_residual,clipped_last_trade_proxy,-0.032886248484465,1.0,0.5,validation,467.52504550672927,0.0,467.52504550672927,40,0.5684448207733559
NVDA,XLK-NVDA,price_regression_residual,clipped_last_trade_proxy,-0.032886248484465,1.0,0.5,test,-200.46329137556995,0.0,-200.46329137556995,90,0.6465831224149639
AAPL,XLK-AAPL,cum_residual_return,no_cost_midpoint,0.13016682388301618,2.0,0.0,train,440.9766706781678,0.0,440.9766706781678,182,0.33683971115028144
AAPL,XLK-AAPL,cum_residual_return,no_cost_midpoint,0.13016682388301618,2.0,0.0,validation,53.29132854279459,0.0,53.29132854279459,22,0.521732994637313
AAPL,XLK-AAPL,cum_residual_return,no_cost_midpoint,0.13016682388301618,2.0,0.0,test,200.0991344556501,0.0,200.0991344556501,56,0.4445953453916908
AAPL,XLK-AAPL,cum_residual_return,quarter_spread_cost,0.13016682388301618,2.0,0.0,train,440.9766706781678,329.39997580521623,111.57669487295189,182,0.33683971115028144
AAPL,XLK-AAPL,cum_residual_return,quarter_spread_cost,0.13016682388301618,2.0,0.0,validation,53.29132854279459,37.19822837747397,16.09310016532063,22,0.521732994637313
AAPL,XLK-AAPL,cum_residual_return,quarter_spread_cost,0.13016682388301618,2.0,0.0,test,200.0991344556501,86.98514144904921,113.11399300660091,56,0.4445953453916908
AAPL,XLK-AAPL,cum_residual_return,half_spread_taker_cost,0.13016682388301618,2.0,0.0,train,440.9766706781678,658.7999516104325,-217.82328093226434,182,0.33683971115028144
AAPL,XLK-AAPL,cum_residual_return,half_spread_taker_cost,0.13016682388301618,2.0,0.0,validation,53.29132854279459,74.39645675494793,-21.105128212153353,22,0.521732994637313
AAPL,XLK-AAPL,cum_residual_return,half_spread_taker_cost,0.13016682388301618,2.0,0.0,test,200.0991344556501,173.97028289809842,26.12885155755161,56,0.4445953453916908
AAPL,XLK-AAPL,cum_residual_return,clipped_last_trade_proxy,0.13016682388301618,2.0,0.0,train,299.9450963982577,0.0,299.9450963982577,182,0.33683971115028144
AAPL,XLK-AAPL,cum_residual_return,clipped_last_trade_proxy,0.13016682388301618,2.0,0.0,validation,18.225721186882403,0.0,18.225721186882403,22,0.521732994637313
AAPL,XLK-AAPL,cum_residual_return,clipped_last_trade_proxy,0.13016682388301618,2.0,0.0,test,182.42653180677647,0.0,182.42653180677647,56,0.4445953453916908
AAPL,XLK-AAPL,direct_log_price,no_cost_midpoint,0.13016682388301618,1.0,0.25,train,672.839214809402,0.0,672.839214809402,362,0.7246545744015466
AAPL,XLK-AAPL,direct_log_price,no_cost_midpoint,0.13016682388301618,1.0,0.25,validation,736.4470959251968,0.0,736.4470959251968,48,0.6268698842788597
AAPL,XLK-AAPL,direct_log_price,no_cost_midpoint,0.13016682388301618,1.0,0.25,test,-239.36296174061232,0.0,-239.36296174061232,88,0.6988703006358418
AAPL,XLK-AAPL,direct_log_price,quarter_spread_cost,0.13016682388301618,1.0,0.25,train,672.839214809402,693.500351756616,-20.66113694721372,362,0.7246545744015466
AAPL,XLK-AAPL,direct_log_price,quarter_spread_cost,0.13016682388301618,1.0,0.25,validation,736.4470959251968,85.80921956206429,650.6378763631324,48,0.6268698842788597
AAPL,XLK-AAPL,direct_log_price,quarter_spread_cost,0.13016682388301618,1.0,0.25,test,-239.36296174061232,92.76441514425818,-332.1273768848705,88,0.6988703006358418
AAPL,XLK-AAPL,direct_log_price,half_spread_taker_cost,0.13016682388301618,1.0,0.25,train,672.839214809402,1387.000703513232,-714.1614887038301,362,0.7246545744015466
AAPL,XLK-AAPL,direct_log_price,half_spread_taker_cost,0.13016682388301618,1.0,0.25,validation,736.4470959251968,171.61843912412857,564.8286568010682,48,0.6268698842788597
AAPL,XLK-AAPL,direct_log_price,half_spread_taker_cost,0.13016682388301618,1.0,0.25,test,-239.36296174061232,185.52883028851636,-424.89179202912885,88,0.6988703006358418
AAPL,XLK-AAPL,direct_log_price,clipped_last_trade_proxy,0.13016682388301618,1.0,0.25,train,350.34088618327354,0.0,350.34088618327354,362,0.7246545744015466
AAPL,XLK-AAPL,direct_log_price,clipped_last_trade_proxy,0.13016682388301618,1.0,0.25,validation,712.7232924645809,0.0,712.7232924645809,48,0.6268698842788597
AAPL,XLK-AAPL,direct_log_price,clipped_last_trade_proxy,0.13016682388301618,1.0,0.25,test,-255.48032549953524,0.0,-255.48032549953524,88,0.6988703006358418
AAPL,XLK-AAPL,price_regression_residual,no_cost_midpoint,-0.46192606925982194,1.25,0.5,train,245.059182630909,0.0,245.059182630909,320,0.58150906919884
AAPL,XLK-AAPL,price_regression_residual,no_cost_midpoint,-0.46192606925982194,1.25,0.5,validation,685.8898538140679,0.0,685.8898538140679,36,0.5649167372283376
AAPL,XLK-AAPL,price_regression_residual,no_cost_midpoint,-0.46192606925982194,1.25,0.5,test,-60.243658404361966,0.0,-60.243658404361966,73,0.6079387616519538
AAPL,XLK-AAPL,price_regression_residual,quarter_spread_cost,-0.46192606925982194,1.25,0.5,train,245.059182630909,948.2455633495281,-703.1863807186189,320,0.58150906919884
AAPL,XLK-AAPL,price_regression_residual,quarter_spread_cost,-0.46192606925982194,1.25,0.5,validation,685.8898538140679,83.1267817186809,602.763072095387,36,0.5649167372283376
AAPL,XLK-AAPL,price_regression_residual,quarter_spread_cost,-0.46192606925982194,1.25,0.5,test,-60.243658404361966,187.28301665347752,-247.52667505783936,73,0.6079387616519538
AAPL,XLK-AAPL,price_regression_residual,half_spread_taker_cost,-0.46192606925982194,1.25,0.5,train,245.059182630909,1896.4911266990562,-1651.4319440681468,320,0.58150906919884
AAPL,XLK-AAPL,price_regression_residual,half_spread_taker_cost,-0.46192606925982194,1.25,0.5,validation,685.8898538140679,166.2535634373618,519.636290376706,36,0.5649167372283376
AAPL,XLK-AAPL,price_regression_residual,half_spread_taker_cost,-0.46192606925982194,1.25,0.5,test,-60.243658404361966,374.56603330695503,-434.809691711317,73,0.6079387616519538
AAPL,XLK-AAPL,price_regression_residual,clipped_last_trade_proxy,-0.46192606925982194,1.25,0.5,train,-304.4104010981563,0.0,-304.4104010981563,320,0.58150906919884
AAPL,XLK-AAPL,price_regression_residual,clipped_last_trade_proxy,-0.46192606925982194,1.25,0.5,validation,616.6555482607539,0.0,616.6555482607539,36,0.5649167372283376
