cost_multiplier,latency_min,2025_05_gross_bps,2025_05_cost_bps,2025_05_net_bps,2025_05_trades,2025_06_gross_bps,2025_06_cost_bps,2025_06_net_bps,2025_06_trades,2025_07_gross_bps,2025_07_cost_bps,2025_07_net_bps,2025_07_trades,2025_08_gross_bps,2025_08_cost_bps,2025_08_net_bps,2025_08_trades,2025_09_gross_bps,2025_09_cost_bps,2025_09_net_bps,2025_09_trades,2025_10_gross_bps,2025_10_cost_bps,2025_10_net_bps,2025_10_trades,2025_11_gross_bps,2025_11_cost_bps,2025_11_net_bps,2025_11_trades,2025_12_gross_bps,2025_12_cost_bps,2025_12_net_bps,2025_12_trades,2026_01_gross_bps,2026_01_cost_bps,2026_01_net_bps,2026_01_trades,2026_02_gross_bps,2026_02_cost_bps,2026_02_net_bps,2026_02_trades,2026_03_gross_bps,2026_03_cost_bps,2026_03_net_bps,2026_03_trades,2026_04_gross_bps,2026_04_cost_bps,2026_04_net_bps,2026_04_trades,2026_05_gross_bps,2026_05_cost_bps,2026_05_net_bps,2026_05_trades,train_gross_bps,train_cost_bps,train_net_bps,train_trades,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,test_gross_bps,test_cost_bps,test_net_bps,test_trades
1.0,0,587.9704566967714,228.04736505378386,359.92309164298746,104,346.8854094506124,340.85224376726086,6.0331656833515455,136,302.7949901859106,260.57617208130284,42.21881810460777,136,218.87068874968384,84.69378540151101,134.17690334817286,114,379.5082181195042,234.30283850293566,145.20537961656854,228,643.4485736186879,567.2436309123259,76.20494270636199,278,938.6760693042539,336.68954927638356,601.9865200278705,132,576.3088935117455,368.5022013567048,207.80669215504082,188,301.0075209780805,245.37754558662684,55.62997539145364,146,239.80192464843066,135.49790696072142,104.3040176877092,148,283.03029588838234,301.59196132052773,-18.561665432145386,234,104.88166993787296,358.01792219977654,-253.13625226190354,246,0.0,0.0,0.0,0,4295.47082061525,2666.285331938835,1629.1854886764152,1462,239.80192464843066,135.49790696072142,104.3040176877092,148,387.9119658262553,659.6098835203043,-271.697917694049,480
1.0,1,594.6427971391532,190.33027922953895,404.3125179096143,103,402.3698387401886,455.3243523837816,-52.95451364359294,137,317.35538106795855,262.79503405931877,54.56034700863984,136,216.73666326953446,158.69714775587914,58.0395155136553,114,407.4137102149766,265.8882157987154,141.52549441626124,228,552.551483530781,615.329362961402,-62.77787943062119,278,828.2046780024199,353.3774759366379,474.82720206578205,132,509.0652531156792,330.93843556850834,178.12681754717082,188,349.5966527636973,231.5080633259463,118.08858943775101,146,222.7372206288436,154.24095249203106,68.49626813681256,148,457.7767668068855,323.42535289230847,134.3514139145771,233,43.45502153096703,339.8324362675108,-296.37741473654376,247,0.0,0.0,0.0,0,4177.936457844389,2864.188367019728,1313.7480908246603,1462,222.7372206288436,154.24095249203106,68.49626813681256,148,501.23178833785255,663.2577891598191,-162.02600082196665,480
1.0,2,570.3425211229263,189.27612597738425,381.066395145542,103,324.7232712596748,356.4737784130777,-31.750507153402847,137,262.1172201799826,311.0513468787336,-48.93412669875103,136,217.80368625853976,118.26245210707891,99.54123415146083,114,492.3903584312672,335.3761194139974,157.0142390172699,228,658.8107227446294,523.6985015875565,135.1122211570728,275,767.0773103843497,303.6633761304762,463.41393425387366,133,569.5694776980176,245.72107780502193,323.8483998929956,186,345.78644773479715,199.22363389723293,146.56281383756422,146,134.64708434861805,184.71377530514977,-50.06669095653173,148,459.90141153944285,423.1707509684404,36.73066057100233,233,-50.3227340795398,358.3715683761259,-408.6943024556656,247,0.0,0.0,0.0,0,4208.621015814185,2582.7464122105594,1625.8746036036252,1458,134.64708434861805,184.71377530514977,-50.06669095653173,148,409.5786774599031,781.5423193445663,-371.9636418846633,480
1.5,0,587.9704566967714,342.07104758067584,245.89940911609557,104,346.8854094506124,511.2783656508913,-164.3929562002789,136,302.7949901859106,390.8642581219542,-88.06926793604367,136,218.87068874968384,127.04067810226653,91.83001064741735,114,379.5082181195042,351.45425775440344,28.053960365100743,228,643.4485736186879,850.865446368489,-207.41687274980092,278,938.6760693042539,505.0343239145753,433.6417453896786,132,576.3088935117455,552.7533020350571,23.55559147668834,188,301.0075209780805,368.0663183799402,-67.05879740185983,146,239.80192464843066,203.24686044108216,36.555064207348515,148,283.03029588838234,452.3879419807915,-169.35764609240917,234,104.88166993787296,537.0268832996649,-432.1452133617919,246,0.0,0.0,0.0,0,4295.47082061525,3999.4279979082535,296.0428227069976,1462,239.80192464843066,203.24686044108216,36.555064207348515,148,387.9119658262553,989.4148252804563,-601.5028594542009,480
1.5,1,594.6427971391532,285.4954188443084,309.14737829484477,103,402.3698387401886,682.9865285756723,-280.6166898354837,137,317.35538106795855,394.1925510889781,-76.83717002101956,136,216.73666326953446,238.04572163381866,-21.309058364284233,114,407.4137102149766,398.832323698073,8.58138651690354,228,552.551483530781,922.9940444421032,-370.4425609113222,278,828.2046780024199,530.0662139049568,298.13846409746304,132,509.0652531156792,496.4076533527624,12.657599762916659,188,349.5966527636973,347.26209498891933,2.3345577747779442,146,222.7372206288436,231.36142873804658,-8.624208109202948,148,457.7767668068855,485.1380293384627,-27.36126253157712,233,43.45502153096703,509.74865440126615,-466.29363287029906,247,0.0,0.0,0.0,0,4177.936457844389,4296.282550529592,-118.34609268520362,1462,222.7372206288436,231.36142873804658,-8.624208109202948,148,501.23178833785255,994.8866837397287,-493.6548954018762,480
1.5,2,570.3425211229263,283.9141889660763,286.4283321568499,103,324.7232712596748,534.7106676196166,-209.98739635994167,137,262.1172201799826,466.57702031810044,-204.45980013811788,136,217.80368625853976,177.39367816061835,40.410008097921384,114,492.3903584312672,503.064179120996,-10.673820689728746,228,658.8107227446294,785.5477523813348,-126.73702963670542,275,767.0773103843497,455.49506419571424,311.58224618863557,133,569.5694776980176,368.58161670753293,200.98786099048462,186,345.78644773479715,298.83545084584944,46.95099688894772,146,134.64708434861805,277.07066295772466,-142.42357860910658,148,459.90141153944285,634.7561264526606,-174.85471491321792,233,-50.3227340795398,537.5573525641888,-587.8800866437285,247,0.0,0.0,0.0,0,4208.621015814185,3874.1196183158395,334.50139749834545,1458,134.64708434861805,277.07066295772466,-142.42357860910658,148,409.5786774599031,1172.3134790168494,-762.7348015569464,480
2.0,0,587.9704566967714,456.0947301075677,131.87572658920365,104,346.8854094506124,681.7044875345217,-334.8190780839093,136,302.7949901859106,521.1523441626057,-218.3573539766951,136,218.87068874968384,169.38757080302202,49.483117946661814,114,379.5082181195042,468.6056770058713,-89.09745888636711,228,643.4485736186879,1134.4872618246518,-491.03868820596387,278,938.6760693042539,673.3790985527671,265.2969707514869,132,576.3088935117455,737.0044027134096,-160.69550920166395,188,301.0075209780805,490.7550911732537,-189.7475701951732,146,239.80192464843066,270.99581392144285,-31.193889273012225,148,283.03029588838234,603.1839226410555,-320.15362675267306,234,104.88166993787296,716.0358443995531,-611.1541744616801,246,0.0,0.0,0.0,0,4295.47082061525,5332.57066387767,-1037.0998432624203,1462,239.80192464843066,270.99581392144285,-31.193889273012225,148,387.9119658262553,1319.2197670406085,-931.3078012143532,480
2.0,1,594.6427971391532,380.6605584590779,213.98223868007528,103,402.3698387401886,910.6487047675632,-508.27886602737453,137,317.35538106795855,525.5900681186375,-208.23468705067899,136,216.73666326953446,317.3942955117583,-100.6576322422238,114,407.4137102149766,531.7764315974308,-124.36272138245414,228,552.551483530781,1230.658725922804,-678.1072423920232,278,828.2046780024199,706.7549518732758,121.44972612914418,132,509.0652531156792,661.8768711370167,-152.81161802133755,188,349.5966527636973,463.0161266518926,-113.41947388819523,146,222.7372206288436,308.4819049840621,-85.7446843552185,148,457.7767668068855,646.8507057846169,-189.07393897773133,233,43.45502153096703,679.6648725350216,-636.2098510040545,247,0.0,0.0,0.0,0,4177.936457844389,5728.376734039456,-1550.4402761950685,1462,222.7372206288436,308.4819049840621,-85.7446843552185,148,501.23178833785255,1326.5155783196383,-825.2837899817858,480
2.0,2,570.3425211229263,378.5522519547685,191.79026916815778,103,324.7232712596748,712.9475568261554,-388.22428556648055,137,262.1172201799826,622.1026937574673,-359.9854735774847,136,217.80368625853976,236.52490421415783,-18.721217955618066,114,492.3903584312672,670.7522388279948,-178.36188039672743,228,658.8107227446294,1047.397003175113,-388.58628043048367,275,767.0773103843497,607.3267522609524,159.75055812339747,133,569.5694776980176,491.44215561004387,78.12732208797368,186,345.78644773479715,398.44726779446586,-52.66082005966871,146,134.64708434861805,369.42755061029953,-234.78046626168148,148,459.90141153944285,846.3415019368808,-386.44009039743804,233,-50.3227340795398,716.7431367522518,-767.0658708317914,247,0.0,0.0,0.0,0,4208.621015814185,5165.492824421119,-956.8718086069345,1458,134.64708434861805,369.42755061029953,-234.78046626168148,148,409.5786774599031,1563.0846386891326,-1153.5059612292296,480
3.0,0,587.9704566967714,684.1420951613517,-96.17163846458027,104,346.8854094506124,1022.5567313017826,-675.6713218511702,136,302.7949901859106,781.7285162439084,-478.93352605799794,136,218.87068874968384,254.08135620453305,-35.21066745484919,114,379.5082181195042,702.9085155088069,-323.4002973893027,228,643.4485736186879,1701.730892736978,-1058.28231911829,278,938.6760693042539,1010.0686478291506,-71.39257852489646,132,576.3088935117455,1105.5066040701142,-529.1977105583688,188,301.0075209780805,736.1326367598804,-435.12511578180005,146,239.80192464843066,406.4937208821643,-166.69179623373367,148,283.03029588838234,904.775883961583,-621.7455880732007,234,104.88166993787296,1074.0537665993297,-969.1720966614567,246,0.0,0.0,0.0,0,4295.47082061525,7998.855995816507,-3703.385175201255,1462,239.80192464843066,406.4937208821643,-166.69179623373367,148,387.9119658262553,1978.8296505609126,-1590.9176847346573,480
