control,m2025_05_gross_bps,m2025_05_cost_bps,m2025_05_net_bps,m2025_05_trades,m2025_05_avg_abs_position,m2025_06_gross_bps,m2025_06_cost_bps,m2025_06_net_bps,m2025_06_trades,m2025_06_avg_abs_position,m2025_07_gross_bps,m2025_07_cost_bps,m2025_07_net_bps,m2025_07_trades,m2025_07_avg_abs_position,m2025_08_gross_bps,m2025_08_cost_bps,m2025_08_net_bps,m2025_08_trades,m2025_08_avg_abs_position,m2025_09_gross_bps,m2025_09_cost_bps,m2025_09_net_bps,m2025_09_trades,m2025_09_avg_abs_position,m2025_10_gross_bps,m2025_10_cost_bps,m2025_10_net_bps,m2025_10_trades,m2025_10_avg_abs_position,m2025_11_gross_bps,m2025_11_cost_bps,m2025_11_net_bps,m2025_11_trades,m2025_11_avg_abs_position,m2025_12_gross_bps,m2025_12_cost_bps,m2025_12_net_bps,m2025_12_trades,m2025_12_avg_abs_position,m2026_01_gross_bps,m2026_01_cost_bps,m2026_01_net_bps,m2026_01_trades,m2026_01_avg_abs_position,m2026_02_gross_bps,m2026_02_cost_bps,m2026_02_net_bps,m2026_02_trades,m2026_02_avg_abs_position,m2026_03_gross_bps,m2026_03_cost_bps,m2026_03_net_bps,m2026_03_trades,m2026_03_avg_abs_position,m2026_04_gross_bps,m2026_04_cost_bps,m2026_04_net_bps,m2026_04_trades,m2026_04_avg_abs_position,m2026_05_gross_bps,m2026_05_cost_bps,m2026_05_net_bps,m2026_05_trades,m2026_05_avg_abs_position,nov_gross_bps,nov_cost_bps,nov_net_bps,nov_trades,nov_avg_abs_position,dec_gross_bps,dec_cost_bps,dec_net_bps,dec_trades,dec_avg_abs_position,jan_gross_bps,jan_cost_bps,jan_net_bps,jan_trades,jan_avg_abs_position,feb_gross_bps,feb_cost_bps,feb_net_bps,feb_trades,feb_avg_abs_position,mar_gross_bps,mar_cost_bps,mar_net_bps,mar_trades,mar_avg_abs_position,apr_gross_bps,apr_cost_bps,apr_net_bps,apr_trades,apr_avg_abs_position,train_gross_bps,train_cost_bps,train_net_bps,train_trades,train_avg_abs_position,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_avg_abs_position,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_avg_abs_position,train_fold_positive_rate,train_worst_month_bps,all_net_bps
target,-454.10506274045304,215.02004747080454,-669.1251102112575,66,0.7964233219010289,26.49732964960627,237.21035029458636,-210.71302064498013,76,0.9412294238683128,37.457257548947354,246.4940151123126,-209.03675756336526,82,0.9173974875562929,100.10513118720255,168.67403062540288,-68.56889943820032,60,0.7138121546961326,195.41724321366695,161.28132694717723,34.1359162664897,68,0.8011049723756906,456.81944215039573,273.89761220439726,182.92182994599844,86,0.9274373881932021,12.463530508890486,353.63319735841566,-341.1696668495252,62,0.7929862715780889,-961.782558096882,285.43822117037104,-1247.2207792672532,84,0.9492941176470588,-22.723235542825293,143.97523516309377,-166.69847070591914,58,0.7208134895095893,167.88893502573288,143.35009768798622,24.5388373377467,70,0.9122163337409974,156.5678691378469,189.01300736724212,-32.44513822939526,76,0.8534492889881302,-724.1592451693534,138.18653759818895,-862.3457827675423,75,0.9117683151306909,0.0,0.0,0.0,0,0.0,12.463530508890486,353.63319735841566,-341.1696668495252,62,0.7929862715780889,-961.782558096882,285.43822117037104,-1247.2207792672532,84,0.9492941176470588,-22.723235542825293,143.97523516309377,-166.69847070591914,58,0.7208134895095893,167.88893502573288,143.35009768798622,24.5388373377467,70,0.9122163337409974,156.5678691378469,189.01300736724212,-32.44513822939526,76,0.8534492889881302,-724.1592451693534,138.18653759818895,-862.3457827675423,75,0.9117683151306909,-609.8509221214509,2085.6240363465613,-2695.474958468012,642,0.842445178732352,167.88893502573288,143.35009768798622,24.5388373377467,70,0.9122163337409974,-567.5913760315066,327.1995449654311,-894.7909209969378,151,0.8819786288870213,0.2222222222222222,-1247.2207792672532,-3565.7270421272033
target_sign_flip,454.10506274045304,215.02004747080454,239.08501526964847,66,0.7964233219010289,-26.49732964960627,237.21035029458636,-263.70767994419265,76,0.9412294238683128,-37.457257548947354,246.4940151123126,-283.95127266125996,82,0.9173974875562929,-100.10513118720255,168.67403062540288,-268.7791618126054,60,0.7138121546961326,-195.41724321366695,161.28132694717723,-356.69857016084416,68,0.8011049723756906,-456.81944215039573,273.89761220439726,-730.717054354793,86,0.9274373881932021,-12.463530508890486,353.63319735841566,-366.096727867306,62,0.7929862715780889,961.782558096882,285.43822117037104,676.3443369265108,84,0.9492941176470588,22.723235542825293,143.97523516309377,-121.25199962026848,58,0.7208134895095893,-167.88893502573288,143.35009768798622,-311.23903271371904,70,0.9122163337409974,-156.5678691378469,189.01300736724212,-345.5808765050891,76,0.8534492889881302,724.1592451693534,138.18653759818895,585.9727075711646,75,0.9117683151306909,0.0,0.0,0.0,0,0.0,-12.463530508890486,353.63319735841566,-366.096727867306,62,0.7929862715780889,961.782558096882,285.43822117037104,676.3443369265108,84,0.9492941176470588,22.723235542825293,143.97523516309377,-121.25199962026848,58,0.7208134895095893,-167.88893502573288,143.35009768798622,-311.23903271371904,70,0.9122163337409974,-156.5678691378469,189.01300736724212,-345.5808765050891,76,0.8534492889881302,724.1592451693534,138.18653759818895,585.9727075711646,75,0.9117683151306909,609.8509221214509,2085.6240363465613,-1475.7731142251102,642,0.842445178732352,-167.88893502573288,143.35009768798622,-311.23903271371904,70,0.9122163337409974,567.5913760315066,327.1995449654311,240.39183106607533,151,0.8819786288870213,0.2222222222222222,-730.717054354793,-1546.620315872754
target_active_always_long,706.7166757311405,215.02004747080454,491.6966282603359,66,0.7964233219010289,281.2529243673634,237.21035029458636,44.042574072777,76,0.9412294238683128,-37.457257548947354,246.4940151123126,-283.95127266125996,82,0.9173974875562929,-7.338233959330864,168.67403062540288,-176.0122645847337,60,0.7138121546961326,368.04227763457044,161.28132694717723,206.76095068739318,68,0.8011049723756906,-333.43849903659793,273.89761220439726,-607.3361112409953,86,0.9274373881932021,-192.7309828039281,353.63319735841566,-546.3641801623437,62,0.7929862715780889,-174.09189273259074,285.43822117037104,-459.5301139029618,84,0.9492941176470588,-319.80401765680176,143.97523516309377,-463.7792528198956,58,0.7208134895095893,-227.39712543549118,143.35009768798622,-370.7472231234775,70,0.9122163337409974,46.56414520865404,189.01300736724212,-142.44886215858816,76,0.8534492889881302,977.9228201603729,138.18653759818895,839.736282562184,75,0.9117683151306909,0.0,0.0,0.0,0,0.0,-192.7309828039281,353.63319735841566,-546.3641801623437,62,0.7929862715780889,-174.09189273259074,285.43822117037104,-459.5301139029618,84,0.9492941176470588,-319.80401765680176,143.97523516309377,-463.7792528198956,58,0.7208134895095893,-227.39712543549118,143.35009768798622,-370.7472231234775,70,0.9122163337409974,46.56414520865404,189.01300736724212,-142.44886215858816,76,0.8534492889881302,977.9228201603729,138.18653759818895,839.736282562184,75,0.9117683151306909,291.1509939948775,2085.6240363465613,-1794.4730423516835,642,0.842445178732352,-227.39712543549118,143.35009768798622,-370.7472231234775,70,0.9122163337409974,1024.4869653690268,327.1995449654311,697.2874204035958,151,0.8819786288870213,0.3333333333333333,-607.3361112409953,-1467.9328450715652
target_active_always_short,-706.7166757311405,215.02004747080454,-921.7367232019451,66,0.7964233219010289,-281.2529243673634,237.21035029458636,-518.4632746619498,76,0.9412294238683128,37.457257548947354,246.4940151123126,-209.03675756336526,82,0.9173974875562929,7.338233959330864,168.67403062540288,-161.335796666072,60,0.7138121546961326,-368.04227763457044,161.28132694717723,-529.3236045817476,68,0.8011049723756906,333.43849903659793,273.89761220439726,59.540886832200634,86,0.9274373881932021,192.7309828039281,353.63319735841566,-160.90221455448756,62,0.7929862715780889,174.09189273259074,285.43822117037104,-111.34632843778034,84,0.9492941176470588,319.80401765680176,143.97523516309377,175.82878249370805,58,0.7208134895095893,227.39712543549118,143.35009768798622,84.04702774750493,70,0.9122163337409974,-46.56414520865404,189.01300736724212,-235.57715257589624,76,0.8534492889881302,-977.9228201603729,138.18653759818895,-1116.1093577585618,75,0.9117683151306909,0.0,0.0,0.0,0,0.0,192.7309828039281,353.63319735841566,-160.90221455448756,62,0.7929862715780889,174.09189273259074,285.43822117037104,-111.34632843778034,84,0.9492941176470588,319.80401765680176,143.97523516309377,175.82878249370805,58,0.7208134895095893,227.39712543549118,143.35009768798622,84.04702774750493,70,0.9122163337409974,-46.56414520865404,189.01300736724212,-235.57715257589624,76,0.8534492889881302,-977.9228201603729,138.18653759818895,-1116.1093577585618,75,0.9117683151306909,-291.1509939948775,2085.6240363465613,-2376.7750303414387,642,0.842445178732352,227.39712543549118,143.35009768798622,84.04702774750493,70,0.9122163337409974,-1024.4869653690268,327.1995449654311,-1351.6865103344583,151,0.8819786288870213,0.2222222222222222,-921.7367232019451,-3644.4145129283916
