cost_multiplier,latency_min,train_gross_bps,train_cost_bps,train_net_bps,train_trades,train_avg_abs_position,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_avg_abs_position,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_avg_abs_position
1.0,0,89.12887866010522,104.02976448021705,-14.900885820111858,42,0.0011203911183540437,-15.71691545391829,197.61369539245254,-213.33061084637083,138,0.01897411159350378,15.844317527848872,63.14434661833672,-47.30002909048786,40,0.0022020173320073874
1.0,1,-59.498515397553575,99.1640716369653,-158.66258703451888,42,0.0011203911183540437,184.726415990637,225.95112735763283,-41.2247113669959,138,0.01897411159350378,-22.92233763821372,67.442685535336,-90.36502317354972,40,0.0022020173320073874
1.5,0,89.12887866010522,156.0446467203256,-66.9157680602204,42,0.0011203911183540437,-15.71691545391829,296.4205430886788,-312.13745854259713,138,0.01897411159350378,15.844317527848872,94.71651992750512,-78.87220239965625,40,0.0022020173320073874
1.5,1,-59.498515397553575,148.74610745544797,-208.24462285300154,42,0.0011203911183540437,184.726415990637,338.92669103644926,-154.20027504581228,138,0.01897411159350378,-22.92233763821372,101.164028303004,-124.0863659412177,40,0.0022020173320073874
2.0,0,89.12887866010522,208.0595289604341,-118.93065030032892,42,0.0011203911183540437,-15.71691545391829,395.2273907849051,-410.9443062388234,138,0.01897411159350378,15.844317527848872,126.28869323667344,-110.44437570882458,40,0.0022020173320073874
2.0,1,-59.498515397553575,198.3281432739306,-257.8266586714842,42,0.0011203911183540437,184.726415990637,451.90225471526566,-267.17583872462876,138,0.01897411159350378,-22.92233763821372,134.885371070672,-157.8077087088857,40,0.0022020173320073874
3.0,0,89.12887866010522,312.0892934406512,-222.96041478054602,42,0.0011203911183540437,-15.71691545391829,592.8410861773576,-608.558001631276,138,0.01897411159350378,15.844317527848872,189.43303985501024,-173.58872232716135,40,0.0022020173320073874
3.0,1,-59.498515397553575,297.49221491089594,-356.9907303084495,42,0.0011203911183540437,184.726415990637,677.8533820728985,-493.1269660822615,138,0.01897411159350378,-22.92233763821372,202.328056606008,-225.25039424422175,40,0.0022020173320073874
