control,mar_net_bps,train_net_bps,avg_pos_mar
selected,638.3527055661631,409.5305955803679,0.2888103651354535
sign_flip,-1103.1331847628678,-968.9487794826232,-0.2888103651354535
active_always_long,-1.391266235657336,-943.5251778035964,0.7571260306242639
active_always_short,-463.3892129610472,384.1069939013414,-0.7571260306242639
circular_shift_mean,-195.85467373392385,,
circular_shift_p95,699.5161321322652,,
selected_vs_circular_pvalue,0.063,,
