strategy,candidate_set,spread_fraction,participation_rate,execution_horizon_min,markowitz_gamma,active_signals,gross_leverage,largest_weight,train_gross_bps,train_cost_bps,train_net_bps,train_trades,train_max_drawdown_bps,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_max_drawdown_bps,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_max_drawdown_bps,validation_score
liquid_validation_sf0.35_pr0.001_h5_g0.005,liquid_validation,0.35,0.001,5,0.005,0,2.9770734811735304e-12,7.774921753387113e-13,4.162652881303481e-09,6.4665274292641496e-09,-2.3038745479606677e-09,1352.0,-4.894132242842829e-09,1.9668319525947644e-09,6.802697691863252e-10,1.2865621834084386e-09,180.0,-2.2112239704424244e-09,-8.6043269857967e-10,1.3851557717574755e-09,-2.2455884703371463e-09,301.0,-4.983477996208817e-09,2.3433526387047054e-10
core_liquid_pairs_sf0.35_pr0.005_h5_g0.005,core_liquid_pairs,0.35,0.005,5,0.005,0,4.5901615841614785e-12,1.7735257706874563e-12,2.5269300175508007e-09,1.0452793404058495e-08,-7.925863386507697e-09,1051.0,-9.379907490786848e-09,3.871291859614628e-09,1.1165706861854907e-09,2.7547211734291383e-09,150.0,-2.490023240269357e-09,-2.0144220822873524e-09,2.3477814585015328e-09,-4.3622035407888864e-09,293.0,-9.104875696569825e-09,2.1942214443906812e-10
liquid_validation_sf0.35_pr0.001_h1_g0.05,liquid_validation,0.35,0.001,1,0.05,0,9.4663306706842e-13,2.543038305278328e-13,1.3544879018531246e-09,1.7908720733425359e-09,-4.363841714894116e-10,1352.0,-1.4823562361414736e-09,6.182452535694237e-10,1.8669067331449182e-10,4.315545802549318e-10,180.0,-6.88186484883853e-10,-2.7182949539072993e-10,3.774560340263243e-10,-6.492855294170544e-10,301.0,-1.5503186608627106e-09,1.7548670674008372e-10
core_liquid_pairs_sf0.25_pr0.001_h15_g0,core_liquid_pairs,0.25,0.001,15,0.0,0,1.8803292256563964e-12,4.2704728642206646e-13,9.945087420447614e-10,3.688250172652559e-09,-2.6937414306077972e-09,1051.0,-3.2146703802553826e-09,1.3872749432216271e-09,4.045996159601329e-10,9.826753272614943e-10,150.0,-8.915410724235622e-10,-1.4807413067557966e-10,8.823367431045834e-10,-1.0304108737801636e-09,293.0,-2.8299149457941432e-09,1.1070177432682594e-10
liquid_validation_sf0.35_pr0.001_h5_g0.001,liquid_validation,0.35,0.001,5,0.001,0,1.270449708127058e-12,3.4514170425393226e-13,1.7935231881223114e-09,2.7357211166933147e-09,-9.421979285710027e-10,1352.0,-2.050760988547721e-09,8.192455783854952e-10,2.8880961475116365e-10,5.304359636343317e-10,180.0,-9.665436938184021e-10,-3.436054759336574e-10,5.881731254556049e-10,-9.317786013892623e-10,301.0,-2.0933548693901905e-09,8.713726199034243e-11
core_liquid_pairs_sf0.50_pr0.001_h1_g0.01,core_liquid_pairs,0.5,0.001,1,0.01,0,2.3446240700099777e-13,1.7216863449868146e-13,1.4313267985457655e-10,4.694135692009176e-10,-3.26280889346341e-10,668.0,-5.39320054810397e-10,2.449832590084176e-10,4.631463418513202e-11,1.9866862482328553e-10,89.0,-1.424823886966584e-10,-2.475291522898008e-10,9.102951093169675e-11,-3.385586632214976e-10,168.0,-6.309775638080266e-10,8.6286193038112e-11
core_liquid_pairs_sf0.25_pr0.001_h1_g0,core_liquid_pairs,0.25,0.001,1,0.0,0,3.047007091083742e-13,7.888134589961737e-14,1.5907169419693706e-10,4.257142680388546e-10,-2.666425738419176e-10,1051.0,-4.421328313892882e-10,2.1570760326816243e-10,4.556038411309823e-11,1.701472191550642e-10,150.0,-1.3460732102439848e-10,8.520642904406955e-12,9.869010029647337e-11,-9.016945739206642e-11,293.0,-3.989894106238644e-10,7.428709228405018e-11
core_liquid_pairs_sf0.35_pr0.001_h1_g0.01,core_liquid_pairs,0.35,0.001,1,0.01,0,1.210676541140824e-13,9.124272443085034e-14,7.779053098345503e-11,1.8804978786849836e-10,-1.1025925688504338e-10,668.0,-2.6201087907943085e-10,1.2977388350959339e-10,1.934326816234811e-11,1.1043061534724528e-10,89.0,-7.190873266851881e-11,-1.3618494538125372e-10,3.709136751182624e-11,-1.7327631289307988e-10,168.0,-3.2818279022672454e-10,6.751689118416327e-11
liquid_validation_sf0.25_pr0.001_h15_g0.001,liquid_validation,0.25,0.001,15,0.001,0,6.870425398190935e-13,1.885431905153247e-13,9.982326243091294e-10,1.4706209213620046e-09,-4.723882970528754e-10,1352.0,-1.072010272769108e-09,4.330739177354999e-10,1.557490180516208e-10,2.7732489968387906e-10,180.0,-5.160261300927117e-10,-1.7551589851960723e-10,3.1686429710752937e-10,-4.923801956271364e-10,301.0,-1.1174306927326703e-09,4.823514849953684e-11
core_liquid_pairs_sf0.35_pr0.001_h5_g0.005,core_liquid_pairs,0.35,0.001,5,0.005,0,1.1294473923917877e-13,7.999621623496957e-14,7.22548253213798e-11,2.080894396900986e-10,-1.3583461436871878e-10,668.0,-2.4913555828473874e-10,1.184925334378801e-10,2.2017089507575555e-11,9.647544393030457e-11,89.0,-6.646134435907597e-11,-1.2028821578794748e-10,4.263301679319739e-11,-1.6292123258114484e-10,168.0,-3.0280005467145354e-10,4.812366699093091e-11
